recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,12:00:00 AM,16.11,27.01,34.87,1500.75,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,12:30:00 AM,15.92,27.03,34.75,1500.2,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,1:00:00 AM,15.83,27.07,34.72,1499.96,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,1:30:00 AM,15.96,27.03,34.77,1500.29,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,2:00:00 AM,16.02,27.01,34.79,1500.46,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,2:30:00 AM,15.89,27.05,34.75,1500.13,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,3:00:00 AM,15.86,27.03,34.7,1500,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,3:30:00 AM,15.83,27.05,34.7,1499.93,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,4:00:00 AM,15.83,27.03,34.67,1499.91,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,4:30:00 AM,15.74,27.05,34.63,1499.64,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,5:00:00 AM,15.71,27.07,34.63,1499.57,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,5:30:00 AM,15.74,27.05,34.63,1499.64,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,6:00:00 AM,15.44,27.09,34.43,1498.71,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,6:30:00 AM,14.85,27.23,34.13,1496.99,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,7:00:00 AM,14.54,27.3,33.97,1496.07,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,7:30:00 AM,14.45,27.31,33.9,1495.76,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,8:00:00 AM,14.6,27.28,33.99,1496.24,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,8:30:00 AM,14.6,27.28,33.99,1496.24,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,9:00:00 AM,14.51,27.3,33.94,1495.97,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,9:30:00 AM,13.86,27.42,33.56,1493.94,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,10:00:00 AM,13.83,27.42,33.53,1493.84,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,10:30:00 AM,14.51,27.33,33.97,1495.99,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,11:00:00 AM,15.19,27.22,34.39,1498.08,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,11:30:00 AM,15.86,27.16,34.85,1500.16,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,12:00:00 PM,16.41,27.06,35.17,1501.77,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,12:30:00 PM,16.14,27.01,34.89,1500.85,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,1:00:00 PM,16.26,27.08,35.07,1501.31,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,1:30:00 PM,16.93,26.99,35.5,1503.29,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,2:00:00 PM,17.17,26.98,35.68,1504.02,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,2:30:00 PM,17.5,26.91,35.86,1504.95,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,3:00:00 PM,17.47,26.91,35.83,1504.85,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,3:30:00 PM,14.91,27.32,34.28,1497.29,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,4:00:00 PM,13.98,27.45,33.7,1494.4,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,4:30:00 PM,13.89,27.46,33.63,1494.1,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,5:00:00 PM,13.83,27.48,33.61,1493.92,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,5:30:00 PM,13.83,27.46,33.58,1493.89,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,6:00:00 PM,14.57,27.32,34.02,1496.19,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, P.E.I.",7,B,7,46.11194,63.07472,2023,7,5,7/5/2023,6:30:00 PM,15.1,27.25,34.34,1497.81,collecteur
