"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"08:00:00 PM",18.17,5.47,8.43,1482.23
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"08:30:00 PM",18.14,5.48,8.43,1482.14
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"09:00:00 PM",18.14,5.46,8.4,1482.12
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"09:30:00 PM",18.14,5.46,8.4,1482.12
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"10:00:00 PM",18.14,5.46,8.4,1482.12
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"10:30:00 PM",18.14,5.46,8.4,1482.12
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"11:00:00 PM",18.11,5.47,8.4,1482.03
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"11:30:00 PM",18.11,5.47,8.4,1482.03
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"12:00:00 AM",18.08,5.48,8.43,1481.96
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"12:30:00 AM",18.08,5.47,8.4,1481.94
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"01:00:00 AM",18.05,5.47,8.4,1481.85
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"01:30:00 AM",18.02,5.49,8.43,1481.77
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"02:00:00 AM",18.02,5.49,8.43,1481.77
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"02:30:00 AM",17.99,5.51,8.45,1481.7
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"03:00:00 AM",17.99,5.51,8.45,1481.7
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"03:30:00 AM",17.99,5.5,8.43,1481.68
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"04:00:00 AM",17.96,5.5,8.43,1481.59
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"04:30:00 AM",17.96,5.51,8.45,1481.61
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"05:00:00 AM",17.96,5.5,8.43,1481.59
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"05:30:00 AM",17.96,5.5,8.43,1481.59
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"06:00:00 AM",17.99,5.5,8.43,1481.68
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"06:30:00 AM",18.05,5.47,8.4,1481.85
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"07:00:00 AM",18.11,5.47,8.4,1482.03
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"07:30:00 AM",18.17,5.47,8.43,1482.23
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"08:00:00 AM",18.2,5.47,8.43,1482.32
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"08:30:00 AM",18.2,5.47,8.43,1482.32
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"09:00:00 AM",18.23,5.46,8.43,1482.41
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"09:30:00 AM",18.26,5.45,8.4,1482.48
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"10:00:00 AM",18.35,5.43,8.4,1482.76
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"10:30:00 AM",18.41,5.43,8.4,1482.94
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"11:00:00 AM",18.47,5.42,8.4,1483.12
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"11:30:00 AM",18.5,5.4,8.38,1483.19
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"12:00:00 PM",18.5,5.4,8.38,1483.19
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"12:30:00 PM",18.53,5.4,8.38,1483.28
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"01:00:00 PM",18.56,5.39,8.38,1483.37
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"01:30:00 PM",18.59,5.39,8.38,1483.46
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"02:00:00 PM",18.65,5.38,8.38,1483.64
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"02:30:00 PM",18.65,5.38,8.38,1483.64
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"03:00:00 PM",18.68,5.38,8.38,1483.73
"Star-Oddi DST CT","S11843","Nine Mile Creek, P.E.I. ",7,"B",7,46.1225,63.2575,2022,7,1,2022-07-01,"03:30:00 PM",18.68,5.38,8.38,1483.73
