"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"08:00:00 PM",18.08,0.01,0,1475.63
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"08:30:00 PM",18.08,0.01,0,1475.63
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"09:00:00 PM",18.05,0.01,0,1475.53
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"09:30:00 PM",18.05,0.01,0,1475.53
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"10:00:00 PM",18.05,0.01,0,1475.53
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"10:30:00 PM",18.05,0.01,0,1475.53
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"11:00:00 PM",18.02,0.01,0,1475.43
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"11:30:00 PM",17.99,0.01,0,1475.34
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"12:00:00 AM",17.99,0.01,0,1475.34
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"12:30:00 AM",17.99,0.01,0,1475.34
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"01:00:00 AM",17.96,0.01,0,1475.24
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"01:30:00 AM",17.93,0.01,0,1475.14
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"02:00:00 AM",17.93,0.01,0,1475.14
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"02:30:00 AM",17.93,0.01,0,1475.14
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"03:00:00 AM",17.9,0.01,0,1475.04
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"03:30:00 AM",17.9,0.01,0,1475.04
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"04:00:00 AM",17.87,0.01,0,1474.94
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"04:30:00 AM",17.87,0.01,0,1474.94
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"05:00:00 AM",17.9,0.01,0,1475.04
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"05:30:00 AM",17.93,0.01,0,1475.14
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"06:00:00 AM",17.99,0.01,0,1475.34
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"06:30:00 AM",18.14,0.01,0,1475.82
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"07:00:00 AM",18.2,0.01,0,1476.02
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"07:30:00 AM",18.2,0.01,0,1476.02
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"08:00:00 AM",18.2,0.01,0,1476.02
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"08:30:00 AM",18.17,0.01,0,1475.92
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"09:00:00 AM",18.2,0.01,0,1476.02
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"09:30:00 AM",18.29,0.01,0,1476.31
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"10:00:00 AM",18.38,0.01,0,1476.6
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"10:30:00 AM",18.44,0.01,0,1476.79
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"11:00:00 AM",18.47,0.01,0,1476.89
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"11:30:00 AM",18.47,0.01,0,1476.89
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"12:00:00 PM",18.47,0.01,0,1476.89
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"12:30:00 PM",18.5,0.01,0,1476.99
"Star-Oddi DST CT","S11842","Nine Mile Creek, P.E.I. ",7,"B",7,46.10353,63.22673,2022,7,1,2022-07-01,"01:00:00 PM",18.53,0.01,0,1477.08
