"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","12:00:00 AM",2.21,29.91,26.85,1452.15,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","12:30:00 AM",2.52,30.47,27.55,1454.24,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","01:00:00 AM",2.52,29.88,27.07,1453.47,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","01:30:00 AM",2.06,30.48,27.2,1452.22,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","02:00:00 AM",1.94,30.38,27.03,1451.58,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","02:30:00 AM",1.86,30.37,26.95,1451.21,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","03:00:00 AM",1.83,30.34,26.9,1451,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","03:30:00 AM",1.75,30.3,26.81,1450.6,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","04:00:00 AM",1.75,30.34,26.85,1450.66,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","04:30:00 AM",1.79,30.21,26.77,1450.66,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","05:00:00 AM",1.86,29.81,26.51,1450.49,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","05:30:00 AM",1.9,29.91,26.62,1450.79,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","06:00:00 AM",1.94,29.54,26.34,1450.47,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","06:30:00 AM",1.9,30.05,26.73,1450.97,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","07:00:00 AM",1.9,30.03,26.71,1450.94,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","07:30:00 AM",1.9,30.03,26.71,1450.94,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","08:00:00 AM",1.94,29.47,26.29,1450.38,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","08:30:00 AM",1.94,29.81,26.56,1450.82,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","09:00:00 AM",1.98,30,26.75,1451.24,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","09:30:00 AM",1.98,29.75,26.54,1450.91,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","10:00:00 AM",2.02,29.98,26.76,1451.4,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","10:30:00 AM",2.06,29.97,26.78,1451.55,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","11:00:00 AM",2.1,29.59,26.5,1451.22,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","11:30:00 AM",2.21,30.14,27.04,1452.46,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","12:00:00 PM",2.29,29.99,26.98,1452.61,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","12:30:00 PM",2.25,30.03,26.98,1452.49,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","01:00:00 PM",2.25,29.98,26.94,1452.43,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","01:30:00 PM",2.25,29.96,26.92,1452.39,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","02:00:00 PM",2.25,30.07,27.02,1452.55,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","02:30:00 PM",2.25,29.57,26.61,1451.89,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","03:00:00 PM",2.21,29.95,26.89,1452.21,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","03:30:00 PM",2.06,29.97,26.78,1451.55,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","04:00:00 PM",1.94,29.94,26.67,1451,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","04:30:00 PM",1.94,29.92,26.65,1450.97,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","05:00:00 PM",1.94,29.69,26.47,1450.67,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","05:30:00 PM",1.94,29.92,26.65,1450.97,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","06:00:00 PM",1.94,29.92,26.65,1450.97,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","06:30:00 PM",1.94,29.92,26.65,1450.97,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","07:00:00 PM",1.75,29.91,26.49,1450.09,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","07:30:00 PM",1.55,29.94,26.37,1449.25,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","08:00:00 PM",1.55,29.94,26.37,1449.25,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","08:30:00 PM",1.59,29.9,26.37,1449.38,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","09:00:00 PM",1.67,29.92,26.44,1449.75,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","09:30:00 PM",1.83,29.92,26.57,1450.45,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","10:00:00 PM",1.98,29.9,26.67,1451.12,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","10:30:00 PM",2.06,29.63,26.5,1451.1,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","11:00:00 PM",2.14,29.89,26.78,1451.79,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,21,"2023-04-21","11:30:00 PM",2.21,29.68,26.66,1451.85,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,22,"2023-04-22","12:00:00 AM",2.37,29.91,26.98,1452.85,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,22,"2023-04-22","12:30:00 AM",2.44,29.91,27.03,1453.18,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,22,"2023-04-22","01:00:00 AM",2.52,29.93,27.1,1453.53,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,22,"2023-04-22","01:30:00 AM",2.48,29.89,27.05,1453.32,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,22,"2023-04-22","02:00:00 AM",2.33,29.68,26.75,1452.37,"DS"
"Star-Oddi DST CT","s11895","North Cape, PEI",18,"B",17,47.08333,64.00083,2023,4,22,"2023-04-22","02:30:00 AM",2.21,29.88,26.83,1452.12,"DS"
