"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"08:00:00 PM",-0.47,0,0,1399.71
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"08:30:00 PM",-0.47,0,0,1399.71
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"09:00:00 PM",-0.47,0,0,1399.71
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"09:30:00 PM",-0.51,0,0,1399.5
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"10:00:00 PM",-0.8,0,0,1398.06
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"10:30:00 PM",-1.01,0,0,1397.02
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"11:00:00 PM",-1.26,0,0,1395.75
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"11:30:00 PM",-1.22,0,0,1395.96
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"12:00:00 AM",-0.93,0,0,1397.43
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"12:30:00 AM",-0.68,0,0,1398.68
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"01:00:00 AM",-0.35,0,0,1400.32
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"01:30:00 AM",-0.11,0,0,1401.53
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"02:00:00 AM",0.06,0,0,1402.33
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"02:30:00 AM",0.22,0,0,1403.13
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"03:00:00 AM",0.38,0,0,1403.92
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"03:30:00 AM",0.62,0,0,1405.09
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"04:00:00 AM",0.62,0,0,1405.09
"Star-Oddi DST CT","S11192","North Tracadie, P.E.I.",12,"B",11,46.43422,63.03378,2022,4,4,2022-04-04,"04:30:00 AM",0.06,0,0,1402.33
