"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"12:00:00 AM",0.46,28.58,24.48,1442.47,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"12:29:59 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"01:00:00 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"01:30:00 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"01:59:59 AM",0.46,28.6,24.5,1442.5,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"02:30:00 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"03:00:00 AM",0.5,28.58,24.51,1442.66,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"03:29:59 AM",0.5,28.58,24.51,1442.66,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"04:00:00 AM",0.5,28.58,24.51,1442.66,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"04:30:00 AM",0.5,28.58,24.51,1442.66,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"04:59:59 AM",0.5,28.56,24.49,1442.63,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"05:30:00 AM",0.5,28.58,24.51,1442.66,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"06:00:00 AM",0.5,28.56,24.49,1442.63,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"06:29:59 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"07:00:00 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"07:30:00 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"07:59:59 AM",0.5,28.52,24.46,1442.58,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"08:30:00 AM",0.5,28.5,24.45,1442.55,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"09:00:00 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"09:29:59 AM",0.5,28.52,24.46,1442.58,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"10:00:00 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"10:30:00 AM",0.5,28.52,24.46,1442.58,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"10:59:59 AM",0.5,28.54,24.48,1442.6,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"11:30:00 AM",0.54,28.5,24.48,1442.74,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"12:00:00 PM",0.54,28.5,24.48,1442.74,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"12:29:59 PM",0.54,28.5,24.48,1442.74,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"01:00:00 PM",0.54,28.46,24.45,1442.68,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"01:30:00 PM",0.54,28.48,24.46,1442.71,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"01:59:59 PM",0.62,28.5,24.54,1443.11,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"02:30:00 PM",0.62,28.5,24.54,1443.11,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"03:00:00 PM",0.66,28.55,24.6,1443.35,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"03:29:59 PM",0.7,28.57,24.65,1443.56,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"04:00:00 PM",0.7,28.55,24.63,1443.53,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"04:30:00 PM",0.62,28.54,24.57,1443.16,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"04:59:59 PM",0.58,28.56,24.56,1443,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"05:30:00 PM",0.58,28.56,24.56,1443,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"06:00:00 PM",0.58,28.52,24.52,1442.95,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"06:29:59 PM",0.54,28.56,24.52,1442.82,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"07:00:00 PM",0.58,28.54,24.54,1442.98,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"07:30:00 PM",0.62,28.54,24.57,1443.16,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"07:59:59 PM",0.7,28.53,24.61,1443.51,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"08:30:00 PM",0.7,28.53,24.61,1443.51,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"09:00:00 PM",0.7,28.53,24.61,1443.51,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"09:29:59 PM",0.7,28.51,24.6,1443.48,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"10:00:00 PM",0.7,28.49,24.58,1443.45,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"10:30:00 PM",0.7,28.51,24.6,1443.48,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"10:59:59 PM",0.7,28.47,24.57,1443.42,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,1,2024-04-01,"11:30:00 PM",0.7,28.47,24.57,1443.42,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,2,2024-04-02,"12:00:00 AM",0.7,28.45,24.55,1443.4,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,2,2024-04-02,"12:29:59 AM",0.7,28.41,24.52,1443.34,"JH"
"Star-Oddi DST CT","s11192","North Tracadie, PEI",12,"B",11,46.43422,63.03378,2024,4,2,2024-04-02,"01:00:00 AM",0.66,28.43,24.51,1443.19,"JH"
