"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","12:00:00 AM",0.29,25.14,21.67,1437.12,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","12:30:00 AM",0.25,25.18,21.68,1437,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","01:00:00 AM",0.25,25.18,21.68,1437,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","01:30:00 AM",0.25,25.2,21.69,1437.02,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","02:00:00 AM",0.25,25.2,21.69,1437.02,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","02:30:00 AM",0.25,25.21,21.7,1437.03,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","03:00:00 AM",0.25,25.21,21.7,1437.03,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","03:30:00 AM",0.25,25.21,21.7,1437.03,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","04:00:00 AM",0.25,25.21,21.7,1437.03,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","04:30:00 AM",0.29,25.16,21.69,1437.16,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","05:00:00 AM",0.29,25.15,21.68,1437.14,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","05:30:00 AM",0.29,25.15,21.68,1437.14,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","06:00:00 AM",0.29,25.15,21.68,1437.14,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","06:30:00 AM",0.29,25.16,21.69,1437.16,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","07:00:00 AM",0.29,25.15,21.68,1437.14,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","07:30:00 AM",0.34,25.14,21.7,1437.32,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","08:00:00 AM",0.38,25.15,21.73,1437.52,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","08:30:00 AM",0.38,25.12,21.71,1437.48,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","09:00:00 AM",0.46,25.12,21.76,1437.85,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","09:30:00 AM",0.46,25.12,21.76,1437.85,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","10:00:00 AM",0.46,25.12,21.76,1437.85,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","10:30:00 AM",0.5,25.1,21.77,1438.01,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","11:00:00 AM",0.54,25.08,21.78,1438.17,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","11:30:00 AM",0.54,25.08,21.78,1438.17,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","12:00:00 PM",0.5,25.09,21.76,1438,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","12:30:00 PM",0.5,25.08,21.75,1437.98,"VC"
"Star-Oddi DST CT","s11898","Pleasant Bay 2, NS",27,"B",26,46.84169,60.80489,2023,4,30,"2023-04-30","01:00:00 PM",0.46,25.1,21.74,1437.82,"VC"
