"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","12:00:00 AM",1.41,29.22,25.68,1447.64,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","12:30:00 AM",1.29,29.25,25.62,1447.16,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","01:00:00 AM",1.29,29.25,25.62,1447.16,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","01:30:00 AM",1.33,29.27,25.67,1447.37,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","02:00:00 AM",1.25,29.35,25.67,1447.11,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","02:30:00 AM",1.29,29.29,25.66,1447.21,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","03:00:00 AM",1.29,29.31,25.67,1447.24,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","03:30:00 AM",1.25,29.29,25.62,1447.03,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","04:00:00 AM",1.21,29.31,25.61,1446.88,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","04:30:00 AM",1.17,29.29,25.56,1446.67,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","05:00:00 AM",1.17,29.27,25.55,1446.64,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","05:30:00 AM",1.25,29.33,25.66,1447.09,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","06:00:00 AM",1.17,29.29,25.56,1446.67,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","06:30:00 AM",1.29,29.19,25.57,1447.08,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","07:00:00 AM",1.44,29.22,25.72,1447.82,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","07:30:00 AM",1.99,29.16,26.08,1450.19,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","08:00:00 AM",1.84,29,25.83,1449.29,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","08:30:00 AM",2.15,29.18,26.21,1450.9,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","09:00:00 AM",2.07,29.21,26.17,1450.6,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","09:30:00 AM",1.91,29.01,25.89,1449.64,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","10:00:00 AM",1.76,29.16,25.9,1449.15,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","10:30:00 AM",1.56,29.21,25.79,1448.34,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","11:00:00 AM",1.37,29.17,25.62,1447.41,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","11:30:00 AM",1.56,29.13,25.73,1448.23,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","12:00:00 PM",1.52,29.14,25.71,1448.08,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","12:30:00 PM",1.25,29.23,25.58,1446.95,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","01:00:00 PM",1.29,29.29,25.66,1447.21,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","01:30:00 PM",1.21,29.35,25.64,1446.93,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","02:00:00 PM",1.21,29.35,25.64,1446.93,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","02:30:00 PM",1.29,29.31,25.67,1447.24,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","03:00:00 PM",1.37,29.34,25.75,1447.63,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","03:30:00 PM",1.37,29.3,25.72,1447.57,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","04:00:00 PM",1.44,29.3,25.78,1447.93,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","04:30:00 PM",1.37,29.32,25.73,1447.6,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","05:00:00 PM",1.33,29.3,25.69,1447.39,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","05:30:00 PM",1.41,29.24,25.7,1447.67,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","06:00:00 PM",1.44,29.22,25.72,1447.82,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","06:30:00 PM",1.52,29.16,25.73,1448.1,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","07:00:00 PM",1.56,29.15,25.74,1448.26,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","07:30:00 PM",1.48,29.18,25.71,1447.95,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","08:00:00 PM",1.48,29.18,25.71,1447.95,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","08:30:00 PM",1.41,29.18,25.65,1447.59,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","09:00:00 PM",1.33,29.21,25.62,1447.28,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","09:30:00 PM",1.29,29.23,25.61,1447.13,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","10:00:00 PM",1.33,29.21,25.62,1447.28,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","10:30:00 PM",1.37,29.17,25.62,1447.41,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","11:00:00 PM",1.29,29.23,25.61,1447.13,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,4,30,"2023-04-30","11:30:00 PM",1.29,29.23,25.61,1447.13,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,5,1,"2023-05-01","12:00:00 AM",1.33,29.19,25.61,1447.26,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,5,1,"2023-05-01","12:30:00 AM",1.33,29.21,25.62,1447.28,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,5,1,"2023-05-01","01:00:00 AM",1.37,29.17,25.62,1447.41,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,5,1,"2023-05-01","01:30:00 AM",1.44,29.12,25.63,1447.69,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,5,1,"2023-05-01","02:00:00 AM",1.48,29.1,25.65,1447.84,"VC"
"Star-Oddi DST CT","s11899","Pleasant Bay 2, NS",27,"S",2,46.84169,60.80489,2023,5,1,"2023-05-01","02:30:00 AM",1.52,29.12,25.7,1448.05,"VC"
