"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"02:00:00 PM",11.33,24.55,28.58,1481.73
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"03:59:59 PM",11.59,24.35,28.55,1482.4
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"02:29:59 PM",11.46,24.48,28.59,1482.1
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"03:00:00 PM",11.46,24.5,28.61,1482.13
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"03:30:00 PM",11.49,24.48,28.61,1482.21
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"06:00:00 PM",11.65,24.48,28.72,1482.78
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"06:30:00 PM",11.65,24.48,28.72,1482.78
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"06:59:59 PM",11.65,24.48,28.72,1482.78
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"07:30:00 PM",11.56,24.51,28.69,1482.48
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"08:00:00 PM",11.43,24.52,28.61,1482.04
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"08:29:59 PM",9.63,25.44,28.29,1476.61
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"09:00:00 PM",9.44,25.55,28.26,1476.01
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"09:30:00 PM",9.3,25.61,28.23,1475.58
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"09:59:59 PM",9.2,25.63,28.18,1475.23
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"10:30:00 PM",9.14,25.62,28.12,1474.97
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"04:30:00 PM",11.62,24.28,28.49,1482.42
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"05:00:00 PM",11.75,24.33,28.64,1482.95
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,3,2022-06-03,"05:29:59 PM",11.68,24.43,28.7,1482.85
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"12:30:00 AM",9.04,25.64,28.07,1474.62
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"12:59:59 AM",9.04,25.64,28.07,1474.62
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"01:30:00 AM",9.04,25.66,28.09,1474.64
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"02:00:00 AM",9.04,25.66,28.09,1474.64
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"02:29:59 AM",9.1,25.63,28.11,1474.85
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"03:00:00 AM",9.14,25.62,28.12,1474.97
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"03:30:00 AM",9.14,25.64,28.14,1475
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"03:59:59 AM",9.14,25.64,28.14,1475
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"04:30:00 AM",9.14,25.62,28.12,1474.97
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"05:00:00 AM",9.17,25.62,28.14,1475.09
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"05:29:59 AM",9.1,25.61,28.09,1474.83
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"06:00:00 AM",9.17,25.64,28.16,1475.11
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"06:30:00 AM",9.2,25.59,28.14,1475.18
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"06:59:59 AM",9.24,25.59,28.16,1475.3
"Star-Oddi DST CT","S11424","Pointe Sapin, N.B.",10,"B",9,46.97333,64.74389,2022,6,4,2022-06-04,"07:30:00 AM",9.3,25.59,28.21,1475.56
