"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","12:00:00 AM",0.98,28.87,25.09,1445.26,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","12:30:00 AM",0.78,29.12,25.14,1444.69,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","01:00:00 AM",0.58,29.64,25.4,1444.47,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","01:30:00 AM",0.34,29.99,25.49,1443.82,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","02:00:00 AM",0.26,30.13,25.54,1443.64,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","02:30:00 AM",0.26,30.11,25.53,1443.62,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","03:00:00 AM",0.22,30.16,25.53,1443.48,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","03:30:00 AM",0.26,30.09,25.51,1443.59,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","04:00:00 AM",0.26,30.09,25.51,1443.59,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","04:30:00 AM",0.26,30.07,25.49,1443.56,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","05:00:00 AM",0.26,30.11,25.53,1443.62,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","05:30:00 AM",0.34,29.99,25.49,1443.82,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","06:00:00 AM",0.3,30.03,25.49,1443.69,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","06:30:00 AM",0.3,30.03,25.49,1443.69,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","07:00:00 AM",0.3,30.03,25.49,1443.69,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","07:30:00 AM",0.3,30.05,25.51,1443.72,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","08:00:00 AM",0.34,29.99,25.49,1443.82,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","08:30:00 AM",0.38,29.93,25.47,1443.93,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","09:00:00 AM",0.42,29.87,25.46,1444.03,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","09:30:00 AM",0.5,29.76,25.44,1444.26,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","10:00:00 AM",0.62,29.54,25.35,1444.52,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","10:30:00 AM",0.78,29.22,25.22,1444.83,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","11:00:00 AM",0.82,29.14,25.19,1444.9,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","11:30:00 AM",0.86,29.06,25.16,1444.98,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","12:00:00 PM",0.94,28.89,25.08,1445.11,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","12:30:00 PM",0.98,28.81,25.04,1445.19,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","01:00:00 PM",0.94,28.87,25.06,1445.08,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","01:30:00 PM",0.86,28.96,25.08,1444.85,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","02:00:00 PM",0.9,28.87,25.03,1444.9,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","02:30:00 PM",0.94,28.81,25.02,1445.01,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","03:00:00 PM",1.02,28.6,24.91,1445.09,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","03:30:00 PM",1.14,28.23,24.7,1445.15,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","04:00:00 PM",1.14,28.18,24.66,1445.07,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","04:30:00 PM",1.18,28.07,24.6,1445.1,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","05:00:00 PM",1.22,27.96,24.54,1445.14,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","05:30:00 PM",1.22,27.97,24.55,1445.16,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","06:00:00 PM",1.3,27.72,24.4,1445.18,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","06:30:00 PM",1.26,27.83,24.46,1445.14,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","07:00:00 PM",1.06,28.42,24.8,1445.04,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","07:30:00 PM",1.02,28.56,24.88,1445.03,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","08:00:00 PM",1.5,27.75,24.57,1446.11,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","08:30:00 PM",1.46,27.82,24.6,1446.03,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","09:00:00 PM",1.46,27.88,24.65,1446.11,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","09:30:00 PM",1.54,27.81,24.64,1446.36,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","10:00:00 PM",1.26,28.27,24.82,1445.74,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","10:30:00 PM",1.46,27.88,24.65,1446.11,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","11:00:00 PM",1.54,27.7,24.56,1446.22,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,18,"2022-04-18","11:30:00 PM",0.66,29.4,25.27,1444.51,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","12:00:00 AM",0.58,29.54,25.32,1444.33,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","12:30:00 AM",0.54,29.62,25.36,1444.26,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","01:00:00 AM",0.46,29.74,25.39,1444.05,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","01:30:00 AM",0.42,29.76,25.38,1443.89,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","02:00:00 AM",0.42,29.78,25.39,1443.92,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","02:30:00 AM",0.42,29.76,25.38,1443.89,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","03:00:00 AM",0.42,29.76,25.38,1443.89,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","03:30:00 AM",0.42,29.8,25.41,1443.95,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","04:00:00 AM",0.42,29.78,25.39,1443.92,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","04:30:00 AM",0.38,29.83,25.39,1443.79,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","05:00:00 AM",0.42,29.8,25.41,1443.95,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","05:30:00 AM",0.42,29.76,25.38,1443.89,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","06:00:00 AM",0.42,29.76,25.38,1443.89,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","06:30:00 AM",0.5,29.66,25.36,1444.13,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","07:00:00 AM",0.58,29.56,25.34,1444.36,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","07:30:00 AM",0.62,29.56,25.37,1444.54,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","08:00:00 AM",0.66,29.5,25.35,1444.65,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","08:30:00 AM",0.62,29.54,25.35,1444.52,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","09:00:00 AM",0.62,29.54,25.35,1444.52,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","09:30:00 AM",0.62,29.54,25.35,1444.52,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","10:00:00 AM",0.62,29.56,25.37,1444.54,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","10:30:00 AM",0.62,29.56,25.37,1444.54,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","11:00:00 AM",0.58,29.62,25.39,1444.44,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","11:30:00 AM",0.62,29.56,25.37,1444.54,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","12:00:00 PM",0.62,29.54,25.35,1444.52,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","12:30:00 PM",0.46,29.68,25.34,1443.97,"X25"
"Star-Oddi DST CT","s11424","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2022,4,19,"2022-04-19","01:00:00 PM",0.58,29.6,25.37,1444.41,"X25"
