"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","12:00:00 AM",1.71,27.74,24.72,1447.07,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","12:30:00 AM",1.67,27.76,24.7,1446.91,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","01:00:00 AM",1.63,27.81,24.72,1446.81,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","01:30:00 AM",1.48,27.91,24.68,1446.23,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","02:00:00 AM",1.4,27.93,24.64,1445.9,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","02:30:00 AM",1.4,27.93,24.64,1445.9,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","03:00:00 AM",1.36,27.96,24.64,1445.77,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","03:30:00 AM",1.36,27.96,24.64,1445.77,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","04:00:00 AM",1.4,27.93,24.64,1445.9,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","04:30:00 AM",1.4,27.94,24.66,1445.92,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","05:00:00 AM",1.44,27.89,24.64,1446.03,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","05:30:00 AM",1.44,27.92,24.67,1446.08,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","06:00:00 AM",1.44,27.92,24.67,1446.08,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","06:30:00 AM",1.56,27.96,24.78,1446.65,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","07:00:00 AM",1.75,27.81,24.8,1447.34,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","07:30:00 AM",1.83,27.74,24.8,1447.59,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","08:00:00 AM",1.83,27.74,24.8,1447.59,"X25"
"Star-Oddi DST CT","s11858","Pointe Sapin, NB",10,"B",9,46.97333,64.74389,2023,4,23,"2023-04-23","08:30:00 AM",1.83,27.7,24.77,1447.54,"X25"
