"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"05:29:59 PM",2.37,27.52,25,1449.69
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"04:30:00 PM",2.33,27.51,24.97,1449.52
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"05:00:00 PM",2.33,27.53,24.99,1449.54
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"12:00:00 AM",2.18,27.59,24.93,1448.94
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"06:00:00 PM",2.37,27.56,25.04,1449.74
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"06:30:00 PM",2.41,27.52,25.03,1449.87
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"06:59:59 PM",2.41,27.52,25.03,1449.87
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"07:30:00 PM",2.41,27.5,25.02,1449.84
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"08:00:00 PM",2.37,27.52,25,1449.69
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"08:29:59 PM",2.29,27.53,24.96,1449.36
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"09:00:00 PM",2.25,27.56,24.96,1449.24
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"09:30:00 PM",2.25,27.54,24.94,1449.21
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"09:59:59 PM",2.18,27.59,24.93,1448.94
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"10:30:00 PM",2.18,27.57,24.91,1448.91
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"11:00:00 PM",2.18,27.57,24.91,1448.91
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,13,2022-05-13,"11:29:59 PM",2.18,27.57,24.91,1448.91
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"10:30:00 AM",2.21,27.58,24.94,1449.09
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"11:00:00 AM",2.21,27.58,24.94,1449.09
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"11:29:59 AM",2.21,27.58,24.94,1449.09
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"12:00:00 PM",2.21,27.58,24.94,1449.09
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"12:30:00 PM",2.25,27.56,24.96,1449.24
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"12:59:59 PM",2.25,27.56,24.96,1449.24
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"01:30:00 PM",2.25,27.56,24.96,1449.24
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"02:00:00 PM",2.25,27.58,24.97,1449.27
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"02:29:59 PM",2.25,27.56,24.96,1449.24
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"03:00:00 PM",2.29,27.53,24.96,1449.36
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"03:30:00 PM",2.29,27.53,24.96,1449.36
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,12,2022-05-12,"03:59:59 PM",2.29,27.55,24.97,1449.39
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,14,2022-05-14,"08:29:59 AM",2.44,27.45,25,1449.94
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,14,2022-05-14,"09:00:00 AM",2.33,27.43,24.91,1449.41
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,14,2022-05-14,"09:30:00 AM",2.33,27.45,24.92,1449.44
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,14,2022-05-14,"09:59:59 AM",2.29,27.47,24.91,1449.29
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,14,2022-05-14,"10:30:00 AM",2.25,27.46,24.88,1449.11
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,14,2022-05-14,"11:00:00 AM",2.21,27.5,24.88,1448.98
"Star-Oddi DST CT","S11190","Richibucto, N.B.",12,"B",10,46.72506,64.74103,2022,5,14,2022-05-14,"11:29:59 AM",2.18,27.53,24.88,1448.86
