"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","12:00:00 AM",3.13,28.17,26.1,1453.9,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","12:30:00 AM",3.21,28.08,26.09,1454.11,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","01:00:00 AM",3.28,28.03,26.1,1454.37,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","01:30:00 AM",3.32,27.98,26.08,1454.46,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","02:00:00 AM",3.43,27.86,26.06,1454.79,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","02:30:00 AM",3.62,27.69,26.05,1455.37,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","03:00:00 AM",3.73,27.57,26.03,1455.7,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","03:30:00 AM",3.85,27.48,26.04,1456.07,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","04:00:00 AM",3.81,27.5,26.02,1455.93,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","04:30:00 AM",3.81,27.54,26.06,1455.98,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","05:00:00 AM",3.81,27.61,26.12,1456.08,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","05:30:00 AM",3.32,27.92,26.03,1454.39,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","06:00:00 AM",3.06,28.05,25.95,1453.41,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","06:30:00 AM",2.98,28.08,25.92,1453.12,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","07:00:00 AM",2.94,28.1,25.9,1452.97,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","07:30:00 AM",2.83,28.15,25.86,1452.54,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","08:00:00 AM",2.79,28.16,25.85,1452.39,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","08:30:00 AM",2.71,28.18,25.8,1452.08,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","09:00:00 AM",2.67,28.2,25.79,1451.93,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","09:30:00 AM",2.67,28.18,25.77,1451.9,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","10:00:00 AM",2.75,28.1,25.77,1452.15,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","10:30:00 AM",2.79,28.07,25.77,1452.27,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","11:00:00 AM",2.87,28.04,25.79,1452.56,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","11:30:00 AM",3.06,27.96,25.87,1453.28,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","12:00:00 PM",3.25,27.88,25.94,1454,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","12:30:00 PM",3.4,27.66,25.87,1454.37,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","01:00:00 PM",3.51,27.36,25.69,1454.46,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","01:30:00 PM",3.55,27.3,25.67,1454.55,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","02:00:00 PM",3.62,27.18,25.62,1454.72,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","02:30:00 PM",3.66,27.02,25.51,1454.67,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","03:00:00 PM",3.66,27,25.49,1454.64,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","03:30:00 PM",3.58,27.23,25.63,1454.62,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","04:00:00 PM",3.58,27.23,25.63,1454.62,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","04:30:00 PM",3.62,27.14,25.59,1454.67,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","05:00:00 PM",3.7,27.02,25.53,1454.83,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","05:30:00 PM",3.55,27.27,25.64,1454.5,"Q"
"Star-Oddi DST CT","s11859","Richibucto, NB",12,"B",10,46.72506,64.74103,2023,4,23,"2023-04-23","06:00:00 PM",3.43,27.46,25.72,1454.27,"Q"
