"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","12:00:00 AM",1.04,28.52,24.86,1445.06,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","12:30:00 AM",0.96,28.54,24.81,1444.71,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","01:00:00 AM",0.92,28.58,24.81,1444.58,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","01:30:00 AM",0.84,28.59,24.77,1444.24,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","02:00:00 AM",0.76,28.63,24.74,1443.92,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","02:30:00 AM",0.72,28.66,24.74,1443.79,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","03:00:00 AM",0.72,28.66,24.74,1443.79,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","03:30:00 AM",0.72,28.64,24.72,1443.76,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","04:00:00 AM",0.72,28.66,24.74,1443.79,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","04:30:00 AM",0.72,28.66,24.74,1443.79,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","05:00:00 AM",0.76,28.65,24.75,1443.95,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","05:30:00 AM",0.76,28.65,24.75,1443.95,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","06:00:00 AM",0.8,28.63,24.77,1444.1,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","06:30:00 AM",0.8,28.65,24.78,1444.13,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","07:00:00 AM",0.8,28.65,24.78,1444.13,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","07:30:00 AM",0.8,28.67,24.8,1444.16,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","08:00:00 AM",0.8,28.67,24.8,1444.16,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","08:30:00 AM",0.84,28.65,24.82,1444.32,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","09:00:00 AM",0.84,28.69,24.85,1444.37,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","09:30:00 AM",0.84,28.67,24.83,1444.35,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","10:00:00 AM",0.8,28.71,24.83,1444.21,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","10:30:00 AM",0.8,28.71,24.83,1444.21,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","11:00:00 AM",0.8,28.71,24.83,1444.21,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","11:30:00 AM",0.8,28.71,24.83,1444.21,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","12:00:00 PM",0.8,28.71,24.83,1444.21,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","12:30:00 PM",0.8,28.69,24.82,1444.19,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","01:00:00 PM",0.8,28.69,24.82,1444.19,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","01:30:00 PM",0.8,28.67,24.8,1444.16,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","02:00:00 PM",0.76,28.69,24.79,1444,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","02:30:00 PM",0.76,28.69,24.79,1444,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","03:00:00 PM",0.8,28.67,24.8,1444.16,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","03:30:00 PM",0.8,28.65,24.78,1444.13,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","04:00:00 PM",0.8,28.61,24.75,1444.08,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","04:30:00 PM",0.8,28.61,24.75,1444.08,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","05:00:00 PM",0.8,28.61,24.75,1444.08,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","05:30:00 PM",0.8,28.57,24.72,1444.02,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","06:00:00 PM",0.76,28.58,24.7,1443.86,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","06:30:00 PM",0.76,28.56,24.69,1443.84,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","07:00:00 PM",0.72,28.58,24.67,1443.68,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","07:30:00 PM",0.72,28.54,24.64,1443.62,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","08:00:00 PM",0.68,28.56,24.63,1443.46,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","08:30:00 PM",0.64,28.58,24.61,1443.3,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","09:00:00 PM",0.64,28.58,24.61,1443.3,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","09:30:00 PM",0.64,28.6,24.63,1443.33,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","10:00:00 PM",0.68,28.58,24.64,1443.49,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","10:30:00 PM",0.68,28.58,24.64,1443.49,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","11:00:00 PM",0.68,28.58,24.64,1443.49,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,15,"2022-04-15","11:30:00 PM",0.68,28.58,24.64,1443.49,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","12:00:00 AM",0.72,28.58,24.67,1443.68,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","12:30:00 AM",0.72,28.58,24.67,1443.68,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","01:00:00 AM",0.68,28.6,24.66,1443.52,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","01:30:00 AM",0.64,28.6,24.63,1443.33,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","02:00:00 AM",0.6,28.59,24.6,1443.14,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","02:30:00 AM",0.6,28.59,24.6,1443.14,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","03:00:00 AM",0.6,28.57,24.58,1443.11,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","03:30:00 AM",0.6,28.57,24.58,1443.11,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","04:00:00 AM",0.6,28.55,24.56,1443.09,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","04:30:00 AM",0.6,28.53,24.55,1443.06,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","05:00:00 AM",0.6,28.53,24.55,1443.06,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","05:30:00 AM",0.64,28.52,24.56,1443.22,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","06:00:00 AM",0.68,28.48,24.56,1443.35,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","06:30:00 AM",0.68,28.48,24.56,1443.35,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","07:00:00 AM",0.68,28.48,24.56,1443.35,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","07:30:00 AM",0.68,28.48,24.56,1443.35,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","08:00:00 AM",0.72,28.44,24.56,1443.49,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","08:30:00 AM",0.72,28.44,24.56,1443.49,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","09:00:00 AM",0.72,28.46,24.58,1443.51,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","09:30:00 AM",0.76,28.44,24.59,1443.67,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","10:00:00 AM",0.8,28.42,24.61,1443.83,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","10:30:00 AM",0.68,28.44,24.53,1443.3,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","11:00:00 AM",0.6,28.45,24.48,1442.95,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","11:30:00 AM",0.6,28.45,24.48,1442.95,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","12:00:00 PM",0.56,28.45,24.45,1442.76,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","12:30:00 PM",0.52,28.43,24.41,1442.55,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","01:00:00 PM",0.48,28.45,24.39,1442.39,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","01:30:00 PM",0.44,28.47,24.38,1442.23,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","02:00:00 PM",0.44,28.49,24.39,1442.25,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","02:30:00 PM",0.48,28.47,24.41,1442.42,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","03:00:00 PM",0.52,28.45,24.42,1442.58,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","03:30:00 PM",0.56,28.43,24.44,1442.74,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","04:00:00 PM",0.56,28.45,24.45,1442.76,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","04:30:00 PM",0.56,28.45,24.45,1442.76,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","05:00:00 PM",0.56,28.45,24.45,1442.76,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","05:30:00 PM",0.52,28.47,24.44,1442.6,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","06:00:00 PM",0.48,28.47,24.41,1442.42,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","06:30:00 PM",0.52,28.49,24.45,1442.63,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","07:00:00 PM",0.6,28.47,24.5,1442.98,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","07:30:00 PM",0.68,28.48,24.56,1443.35,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","08:00:00 PM",0.6,28.49,24.52,1443.01,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","08:30:00 PM",0.44,28.51,24.41,1442.28,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","09:00:00 PM",0.36,28.52,24.36,1441.93,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","09:30:00 PM",0.32,28.56,24.36,1441.8,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","10:00:00 PM",0.36,28.54,24.38,1441.96,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","10:30:00 PM",0.48,28.51,24.44,1442.47,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","11:00:00 PM",0.52,28.49,24.45,1442.63,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,16,"2022-04-16","11:30:00 PM",0.52,28.51,24.47,1442.66,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","12:00:00 AM",0.52,28.51,24.47,1442.66,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","12:30:00 AM",0.52,28.51,24.47,1442.66,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","01:00:00 AM",0.52,28.49,24.45,1442.63,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","01:30:00 AM",0.44,28.51,24.41,1442.28,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","02:00:00 AM",0.4,28.54,24.41,1442.15,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","02:30:00 AM",0.36,28.54,24.38,1441.96,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","03:00:00 AM",0.36,28.56,24.4,1441.99,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","03:30:00 AM",0.4,28.54,24.41,1442.15,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","04:00:00 AM",0.4,28.54,24.41,1442.15,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","04:30:00 AM",0.44,28.55,24.44,1442.34,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","05:00:00 AM",0.44,28.55,24.44,1442.34,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","05:30:00 AM",0.48,28.49,24.42,1442.44,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","06:00:00 AM",0.44,28.55,24.44,1442.34,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","06:30:00 AM",0.44,28.57,24.46,1442.36,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","07:00:00 AM",0.48,28.53,24.46,1442.5,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","07:30:00 AM",0.48,28.51,24.44,1442.47,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","08:00:00 AM",0.48,28.47,24.41,1442.42,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","08:30:00 AM",0.48,28.47,24.41,1442.42,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","09:00:00 AM",0.48,28.47,24.41,1442.42,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","09:30:00 AM",0.52,28.45,24.42,1442.58,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","10:00:00 AM",0.6,28.43,24.47,1442.93,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","10:30:00 AM",0.76,28.38,24.54,1443.59,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","11:00:00 AM",0.76,28.36,24.53,1443.56,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","11:30:00 AM",0.8,28.36,24.56,1443.75,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","12:00:00 PM",0.76,28.38,24.54,1443.59,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","12:30:00 PM",0.76,28.36,24.53,1443.56,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","01:00:00 PM",0.76,28.38,24.54,1443.59,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","01:30:00 PM",0.76,28.36,24.53,1443.56,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","02:00:00 PM",0.76,28.36,24.53,1443.56,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","02:30:00 PM",0.76,28.36,24.53,1443.56,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","03:00:00 PM",0.8,28.34,24.54,1443.72,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","03:30:00 PM",1.04,28.28,24.66,1444.73,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","04:00:00 PM",1.04,28.28,24.66,1444.73,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","04:30:00 PM",1.04,28.28,24.66,1444.73,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","05:00:00 PM",1.08,28.26,24.68,1444.89,"JK"
"Star-Oddi DST CT","s11193","Rustico, PEI",11,"B",10,46.465,63.275,2022,4,17,"2022-04-17","05:30:00 PM",1.08,28.26,24.68,1444.89,"JK"
