"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","12:00:00 AM",0.51,29.41,25.16,1443.81,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","12:30:00 AM",0.51,29.37,25.13,1443.76,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","01:00:00 AM",0.51,29.37,25.13,1443.76,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","01:30:00 AM",0.51,29.37,25.13,1443.76,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","02:00:00 AM",0.51,29.37,25.13,1443.76,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","02:30:00 AM",0.51,29.37,25.13,1443.76,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","03:00:00 AM",0.51,29.37,25.13,1443.76,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","03:30:00 AM",0.51,29.37,25.13,1443.76,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","04:00:00 AM",0.55,29.33,25.13,1443.89,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","04:30:00 AM",0.55,29.35,25.15,1443.92,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","05:00:00 AM",0.59,29.32,25.16,1444.07,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","05:30:00 AM",0.59,29.3,25.14,1444.05,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","06:00:00 AM",0.59,29.32,25.16,1444.07,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","06:30:00 AM",0.63,29.3,25.17,1444.23,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","07:00:00 AM",0.63,29.3,25.17,1444.23,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","07:30:00 AM",0.63,29.3,25.17,1444.23,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","08:00:00 AM",0.67,29.3,25.2,1444.41,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","08:30:00 AM",0.67,29.28,25.19,1444.38,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","09:00:00 AM",0.67,29.32,25.22,1444.43,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","09:30:00 AM",0.71,29.28,25.21,1444.56,"JK"
"Star-Oddi DST CT","s11860","Rustico, PEI",11,"B",10,46.465,63.275,2023,4,20,"2023-04-20","10:00:00 AM",0.71,29.34,25.26,1444.64,"JK"
