"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","12:00:00 AM",3.57,24.53,23.3,1451.06,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","12:30:00 AM",3.57,24.53,23.3,1451.06,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","01:00:00 AM",3.57,24.52,23.28,1451.04,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","01:30:00 AM",3.57,24.48,23.26,1450.99,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","02:00:00 AM",3.57,24.48,23.26,1450.99,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","02:30:00 AM",3.69,24.4,23.25,1451.37,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","03:00:00 AM",3.8,24.34,23.28,1451.78,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","03:30:00 AM",3.84,24.33,23.29,1451.92,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","04:00:00 AM",3.84,24.31,23.28,1451.9,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","04:30:00 AM",3.8,24.33,23.27,1451.76,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","05:00:00 AM",3.76,24.34,23.25,1451.61,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","05:30:00 AM",3.76,24.32,23.24,1451.59,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","06:00:00 AM",3.76,24.31,23.23,1451.57,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","06:30:00 AM",3.76,24.31,23.23,1451.57,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","07:00:00 AM",3.8,24.28,23.22,1451.69,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","07:30:00 AM",3.84,24.31,23.28,1451.9,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","08:00:00 AM",3.84,24.33,23.29,1451.92,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","08:30:00 AM",3.84,24.31,23.28,1451.9,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","09:00:00 AM",3.84,24.27,23.24,1451.84,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","09:30:00 AM",3.84,24.22,23.2,1451.78,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","10:00:00 AM",3.87,24.02,23.05,1451.68,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","10:30:00 AM",3.91,23.7,22.79,1451.43,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","11:00:00 AM",3.91,23.61,22.71,1451.31,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","11:30:00 AM",3.91,23.54,22.65,1451.21,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","12:00:00 PM",3.95,23.36,22.52,1451.15,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","12:30:00 PM",3.91,23.72,22.81,1451.45,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","01:00:00 PM",3.91,22.73,21.94,1450.17,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","01:30:00 PM",3.91,22.54,21.77,1449.92,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","02:00:00 PM",3.91,22.76,21.96,1450.2,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","02:30:00 PM",3.95,22.86,22.07,1450.49,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","03:00:00 PM",3.98,22.23,21.54,1449.83,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","03:30:00 PM",4.02,21.85,21.22,1449.5,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","04:00:00 PM",4.06,21.71,21.12,1449.48,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","04:30:00 PM",4.06,21.58,21.01,1449.31,"XN"
"Star-Oddi DST CT","s11194","Shediac, NB",6,"B",5,46.28167,64.50153,2022,4,19,"2022-04-19","05:00:00 PM",4.06,21.46,20.89,1449.15,"XN"
