"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"02:00:00 PM",12.85,12.43,15.92,1472.45
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"02:29:59 PM",12.73,12.44,15.87,1472
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"03:00:00 PM",12.73,12.44,15.88,1472
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"03:30:00 PM",12.79,12.43,15.89,1472.22
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"03:59:59 PM",12.92,12.43,15.93,1472.67
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"04:30:00 PM",13.04,12.4,15.95,1473.09
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"05:00:00 PM",13.17,12.4,15.99,1473.52
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"05:29:59 PM",13.36,12.39,16.06,1474.18
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"06:00:00 PM",13.39,12.4,16.08,1474.3
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"06:30:00 PM",13.36,12.38,16.05,1474.18
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"06:59:59 PM",13.29,12.22,15.83,1473.76
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,3,2022-06-03,"07:30:00 PM",13.23,12.29,15.89,1473.62
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"08:00:00 PM",13.17,12.29,15.87,1473.4
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"08:29:59 PM",13.17,12.3,15.88,1473.41
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"09:00:00 PM",13.2,12.31,15.9,1473.53
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"09:30:00 PM",13.23,12.31,15.92,1473.65
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"09:59:59 PM",13.2,12.32,15.91,1473.54
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"10:30:00 PM",13.11,12.33,15.88,1473.22
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"11:00:00 PM",13.07,12.33,15.88,1473.11
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"11:29:59 PM",13.04,12.34,15.87,1473
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"12:00:00 AM",13.17,12.33,15.92,1473.45
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"12:30:00 AM",13.2,12.33,15.93,1473.56
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"12:59:59 AM",13.17,12.34,15.92,1473.46
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"01:30:00 AM",13.11,12.34,15.9,1473.24
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"02:00:00 AM",13.04,12.36,15.9,1473.03
"Star-Oddi DST CT","S11194","Shediac, N.B.",6,"B",5,46.28167,64.50153,2022,6,4,2022-06-04,"02:29:59 AM",12.98,12.35,15.86,1472.79
