"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"08:00:00 PM",0.03,10.52,9.62,1416.3
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"08:30:00 PM",0.03,10.52,9.62,1416.3
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"09:00:00 PM",0.03,10.52,9.62,1416.3
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"09:30:00 PM",-0.05,10.55,9.62,1415.94
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"10:00:00 PM",-0.26,10.63,9.63,1415.06
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"10:30:00 PM",-0.46,10.71,9.64,1414.16
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"11:00:00 PM",-0.55,10.74,9.64,1413.8
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"11:30:00 PM",-0.42,10.7,9.64,1414.35
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"12:00:00 AM",-0.26,10.63,9.63,1415.06
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"12:30:00 AM",-0.18,10.6,9.63,1415.42
"Star-Oddi DST CT","s11422","Shippagan, NB",18,"S",2,47.88728,64.76322,2022,4,4,2022-04-04,"01:00:00 AM",0.15,10.48,9.62,1416.83
