"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","12:00:00 AM",3.05,28.18,26.05,1453.54,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","12:30:00 AM",2.63,28.39,25.92,1451.99,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","01:00:00 AM",3.01,28.22,26.05,1453.42,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","01:30:00 AM",3.35,27.94,26.07,1454.53,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","02:00:00 AM",3.42,27.87,26.06,1454.76,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","02:30:00 AM",3.01,28.06,25.92,1453.21,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","03:00:00 AM",2.93,28.11,25.9,1452.95,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","03:30:00 AM",2.97,28.07,25.9,1453.07,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","04:00:00 AM",3.01,28.06,25.92,1453.21,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","04:30:00 AM",3.01,28.06,25.92,1453.21,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","05:00:00 AM",2.97,28.07,25.9,1453.07,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","05:30:00 AM",2.86,28.18,25.91,1452.71,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","06:00:00 AM",2.78,28.28,25.94,1452.52,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","06:30:00 AM",2.74,28.32,25.94,1452.4,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","07:00:00 AM",2.67,28.36,25.92,1452.11,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","07:30:00 AM",2.63,28.39,25.92,1451.99,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","08:00:00 AM",2.51,28.46,25.89,1451.58,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","08:30:00 AM",2.4,28.57,25.9,1451.22,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","09:00:00 AM",2.25,28.72,25.9,1450.73,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","09:30:00 AM",1.82,29.06,25.86,1449.29,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","10:00:00 AM",1.74,29.13,25.87,1449.04,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","10:30:00 AM",1.82,29.06,25.86,1449.29,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","11:00:00 AM",2.4,28.66,25.97,1451.34,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","11:30:00 AM",2.59,28.55,26.02,1452.04,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","12:00:00 PM",2.78,28.34,25.99,1452.59,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","12:30:00 PM",2.74,28.28,25.91,1452.35,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","01:00:00 PM",2.71,28.23,25.84,1452.11,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","01:30:00 PM",2.97,28.8,26.51,1454.02,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","02:00:00 PM",3.05,27.93,25.84,1453.21,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","02:30:00 PM",3.05,27.95,25.85,1453.24,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","03:00:00 PM",3.12,27.86,25.84,1453.45,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","03:30:00 PM",3.08,27.91,25.85,1453.35,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","04:00:00 PM",2.97,28.04,25.87,1453.02,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","04:30:00 PM",2.86,28.3,26.01,1452.87,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","05:00:00 PM",2.9,28.18,25.94,1452.88,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","05:30:00 PM",2.82,28.43,26.09,1452.87,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","06:00:00 PM",2.63,28.61,26.1,1452.28,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","06:30:00 PM",2.63,28.59,26.08,1452.25,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","07:00:00 PM",2.63,28.59,26.08,1452.25,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","07:30:00 PM",2.59,28.61,26.07,1452.11,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","08:00:00 PM",2.59,28.61,26.07,1452.11,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","08:30:00 PM",2.63,28.59,26.08,1452.25,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","09:00:00 PM",2.67,28.54,26.07,1452.35,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","09:30:00 PM",2.59,28.57,26.04,1452.06,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","10:00:00 PM",2.51,28.64,26.04,1451.82,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","10:30:00 PM",2.55,28.66,26.09,1452.01,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","11:00:00 PM",2.51,28.68,26.07,1451.87,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,24,"2023-04-24","11:30:00 PM",2.48,28.7,26.06,1451.72,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,25,"2023-04-25","12:00:00 AM",2.51,28.64,26.04,1451.82,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,25,"2023-04-25","12:30:00 AM",2.32,28.77,26,1451.14,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,25,"2023-04-25","01:00:00 AM",2.4,28.74,26.03,1451.43,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,25,"2023-04-25","01:30:00 AM",2.4,28.75,26.05,1451.46,"EE"
"Star-Oddi DST CT","s11864","Shippagan, NB",18,"S",2,47.88728,64.76322,2023,4,25,"2023-04-25","02:00:00 AM",2.44,28.72,26.05,1451.58,"EE"
