"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","12:00:00 AM",1.16,22.16,19.8,1437.17,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","12:30:00 AM",1.12,22.19,19.81,1437.02,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","01:00:00 AM",1.04,22.24,19.8,1436.72,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","01:30:00 AM",0.96,22.74,20.16,1437.03,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","02:00:00 AM",0.88,22.64,20.04,1436.53,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","02:30:00 AM",0.85,22.64,20.01,1436.34,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","03:00:00 AM",0.81,22.69,20.03,1436.23,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","03:30:00 AM",0.69,22.66,19.93,1435.63,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","04:00:00 AM",0.65,22.64,19.9,1435.43,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","04:30:00 AM",0.61,22.64,19.87,1435.24,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","05:00:00 AM",0.57,22.75,19.94,1435.2,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","05:30:00 AM",0.57,22.74,19.93,1435.18,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","06:00:00 AM",0.57,22.74,19.93,1435.18,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","06:30:00 AM",0.57,22.75,19.94,1435.2,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","07:00:00 AM",0.53,23.53,20.54,1436.05,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","07:30:00 AM",0.53,23.43,20.46,1435.92,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","08:00:00 AM",0.53,23.34,20.38,1435.79,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","08:30:00 AM",0.57,23.28,20.36,1435.9,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","09:00:00 AM",0.57,23.23,20.32,1435.84,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","09:30:00 AM",0.37,23.24,20.21,1434.91,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","10:00:00 AM",0.33,23.23,20.18,1434.72,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","10:30:00 AM",0.33,23.19,20.14,1434.66,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","11:00:00 AM",0.29,23.19,20.12,1434.48,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","11:30:00 AM",0.29,23.17,20.11,1434.45,"EE"
"Star-Oddi DST CT","s11863","Shippagan, NB",18,"B",17,47.88728,64.76322,2023,4,24,"2023-04-24","12:00:00 PM",0.25,23.17,20.08,1434.26,"EE"
