"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"08:00:00 PM",25.37
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"10:00:00 PM",24.56
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"12:00:00 AM",23.72
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"02:00:00 AM",23.01
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"04:00:00 AM",23.23
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"06:00:00 AM",25.79
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"08:00:00 AM",27.89
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"10:00:00 AM",31.14
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"12:00:00 PM",33.31
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"02:00:00 PM",33.13
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"04:00:00 PM",28.82
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"06:00:00 PM",23.67
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"08:00:00 PM",21.5
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"10:00:00 PM",20.75
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"12:00:00 AM",19.94
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"02:00:00 AM",19.18
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"04:00:00 AM",19.65
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"06:00:00 AM",23.02
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"08:00:00 AM",24.67
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"10:00:00 AM",26.53
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"12:00:00 PM",34.81
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"02:00:00 PM",32.66
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"04:00:00 PM",28.63
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"06:00:00 PM",24.24
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"08:00:00 PM",22.75
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"10:00:00 PM",22.73
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"12:00:00 AM",22.5
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"02:00:00 AM",22.45
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"04:00:00 AM",23.77
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"06:00:00 AM",28.48
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"08:00:00 AM",36.57
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"10:00:00 AM",35.7
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"12:00:00 PM",35.19
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"02:00:00 PM",32.08
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"04:00:00 PM",26.44
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"06:00:00 PM",24.42
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"08:00:00 PM",23.49
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"10:00:00 PM",21.9
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"12:00:00 AM",20.92
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"02:00:00 AM",20.06
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"04:00:00 AM",23.56
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"06:00:00 AM",23.35
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"08:00:00 AM",26.36
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"10:00:00 AM",26.99
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"12:00:00 PM",27.22
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"02:00:00 PM",25.41
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"04:00:00 PM",21.58
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"06:00:00 PM",19.42
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"08:00:00 PM",18.9
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"10:00:00 PM",17.6
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"12:00:00 AM",17.6
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"02:00:00 AM",17.04
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"04:00:00 AM",17.2
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"06:00:00 AM",17.38
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"08:00:00 AM",18.51
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"10:00:00 AM",20.11
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"12:00:00 PM",21.95
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"02:00:00 PM",21.72
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"04:00:00 PM",20.17
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"06:00:00 PM",18.75
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"08:00:00 PM",18.46
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"10:00:00 PM",18.28
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"12:00:00 AM",18.25
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"02:00:00 AM",18.29
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"04:00:00 AM",18.78
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"06:00:00 AM",21.3
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"08:00:00 AM",22.73
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"10:00:00 AM",24.23
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"12:00:00 PM",24.52
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"02:00:00 PM",23.76
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"04:00:00 PM",22.14
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"06:00:00 PM",20.7
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"08:00:00 PM",19.93
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"10:00:00 PM",19.46
