"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","12:00:00 AM",11,24.38,28.16,1480.31,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","12:30:00 AM",11.13,24.37,28.25,1480.78,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","01:00:00 AM",11.22,24.31,28.24,1481.04,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","01:30:00 AM",11.29,24.29,28.28,1481.26,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","02:00:00 AM",11.32,24.31,28.31,1481.39,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","02:30:00 AM",11.42,24.26,28.33,1481.68,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","03:00:00 AM",11.51,24.24,28.38,1482,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","03:30:00 AM",11.55,24.23,28.39,1482.11,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","04:00:00 AM",11.55,24.25,28.41,1482.13,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","04:30:00 AM",11.58,24.23,28.41,1482.22,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","05:00:00 AM",11.61,24.17,28.37,1482.27,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","05:30:00 AM",11.48,24.18,28.29,1481.81,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","06:00:00 AM",11.48,24.16,28.27,1481.79,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","06:30:00 AM",11.61,24.16,28.35,1482.24,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","07:00:00 AM",12.06,24.1,28.61,1483.77,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","07:30:00 AM",12.41,24.09,28.83,1484.97,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","08:00:00 AM",12.6,24.03,28.9,1485.56,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","08:30:00 AM",12.69,24.05,28.99,1485.92,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","09:00:00 AM",12.66,24.02,28.93,1485.77,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","09:30:00 AM",12.63,24.04,28.93,1485.69,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","10:00:00 AM",12.6,24.04,28.92,1485.58,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","10:30:00 AM",12.66,24.02,28.93,1485.77,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","11:00:00 AM",12.66,24.05,28.97,1485.81,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","11:30:00 AM",12.47,24.06,28.85,1485.16,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","12:00:00 PM",12.34,24.06,28.76,1484.72,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","12:30:00 PM",12.34,24.06,28.76,1484.72,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","01:00:00 PM",12.41,24.05,28.79,1484.93,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","01:30:00 PM",12.47,24.08,28.87,1485.18,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","02:00:00 PM",12.47,24.03,28.81,1485.12,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","02:30:00 PM",12.47,24.03,28.81,1485.12,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","03:00:00 PM",12.47,24.03,28.81,1485.12,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","03:30:00 PM",12.6,24.03,28.9,1485.56,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","04:00:00 PM",12.72,24.01,28.97,1485.98,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","04:30:00 PM",12.69,24.01,28.95,1485.88,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","05:00:00 PM",12.47,24.04,28.83,1485.14,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","05:30:00 PM",12.41,24.05,28.79,1484.93,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","06:00:00 PM",12.44,24.05,28.81,1485.04,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","06:30:00 PM",12.57,24.05,28.9,1485.48,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","07:00:00 PM",12.53,24.04,28.86,1485.35,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","07:30:00 PM",12.5,24.07,28.88,1485.29,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","08:00:00 PM",12.69,24.05,28.99,1485.92,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","08:30:00 PM",12.98,24.1,29.24,1486.96,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","09:00:00 PM",13.26,24.04,29.38,1487.87,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","09:30:00 PM",13.35,24.03,29.43,1488.18,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","10:00:00 PM",13.45,24.02,29.48,1488.48,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","10:30:00 PM",13.45,24.01,29.47,1488.46,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","11:00:00 PM",13.38,24.01,29.43,1488.26,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,27,"2023-06-27","11:30:00 PM",13.2,24,29.29,1487.6,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","12:00:00 AM",13.2,24,29.29,1487.6,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","12:30:00 AM",13.23,24,29.3,1487.7,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","01:00:00 AM",13.23,24.01,29.32,1487.72,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","01:30:00 AM",13.26,24.01,29.34,1487.83,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","02:00:00 AM",13.29,23.99,29.34,1487.91,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","02:30:00 AM",13.29,24.01,29.36,1487.93,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","03:00:00 AM",13.32,23.99,29.36,1488.01,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","03:30:00 AM",13.32,24.02,29.39,1488.05,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","04:00:00 AM",13.2,24.02,29.3,1487.62,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","04:30:00 AM",13.13,23.97,29.21,1487.35,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","05:00:00 AM",13.16,24,29.27,1487.5,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","05:30:00 AM",13.16,24.06,29.32,1487.56,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","06:00:00 AM",13.23,24,29.3,1487.7,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","06:30:00 AM",13.23,24.03,29.34,1487.74,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","07:00:00 AM",13.29,24.01,29.36,1487.93,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","07:30:00 AM",13.26,24.03,29.36,1487.85,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","08:00:00 AM",13.32,24.04,29.41,1488.07,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","08:30:00 AM",13.42,24.04,29.49,1488.4,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","09:00:00 AM",13.57,23.99,29.54,1488.87,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","09:30:00 AM",13.57,23.99,29.54,1488.87,"collecteur"
"Star-Oddi DST CT","s11844","Skinners Pond, PEI",7,"B",7,46.94236,64.1868,2023,6,28,"2023-06-28","10:00:00 AM",13.63,24.02,29.61,1489.11,"collecteur"
