"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"08:00:00 PM",18.11,2.43,3.94,1478.52
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"08:30:00 PM",18.11,2.43,3.94,1478.52
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"09:00:00 PM",18.11,2.43,3.94,1478.52
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"09:30:00 PM",18.11,2.46,3.98,1478.55
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"10:00:00 PM",18.11,2.46,3.98,1478.55
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"10:30:00 PM",18.08,2.46,3.98,1478.45
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"11:00:00 PM",18.05,2.46,3.98,1478.36
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"11:30:00 PM",18.05,2.46,3.98,1478.36
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"12:00:00 AM",18.05,2.46,3.98,1478.36
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"12:30:00 AM",18.02,2.46,3.98,1478.26
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"01:00:00 AM",17.99,2.44,3.94,1478.14
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"01:30:00 AM",17.99,2.47,3.98,1478.17
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"02:00:00 AM",17.96,2.44,3.94,1478.04
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"02:30:00 AM",17.96,2.47,3.98,1478.07
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"03:00:00 AM",17.93,2.47,3.98,1477.98
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"03:30:00 AM",17.93,2.44,3.94,1477.95
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"04:00:00 AM",17.93,2.47,3.98,1477.98
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"04:30:00 AM",17.9,2.44,3.94,1477.85
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"05:00:00 AM",17.93,2.44,3.94,1477.95
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"05:30:00 AM",17.96,2.44,3.94,1478.04
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"06:00:00 AM",18.02,2.46,3.98,1478.26
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"06:30:00 AM",18.17,2.46,3.98,1478.74
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"07:00:00 AM",18.2,2.43,3.94,1478.8
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"07:30:00 AM",18.23,2.42,3.94,1478.89
"Star-Oddi DST CT","S11844","Skinners Pond, P.E.I.",7,"B",7,46.94236,64.1868,2022,7,1,2022-07-01,"08:00:00 AM",18.23,2.45,3.98,1478.93
