"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","12:00:00 AM",1.3,29.23,25.61,1447.16,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","12:30:00 AM",1.34,29.17,25.59,1447.26,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","01:00:00 AM",1.3,29.21,25.59,1447.13,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","01:30:00 AM",1.3,29.17,25.56,1447.08,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","02:00:00 AM",1.22,29.15,25.49,1446.7,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","02:30:00 AM",1.14,29.17,25.44,1446.36,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","03:00:00 AM",1.1,29.17,25.41,1446.18,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","03:30:00 AM",1.02,29.17,25.35,1445.82,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","04:00:00 AM",0.98,29.17,25.32,1445.64,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","04:30:00 AM",0.98,29.17,25.32,1445.64,NA
"Star-Oddi DST CT","s11865","Souris, PEI",21,"B",20,46.32947,62.25658,2023,4,20,"2023-04-20","05:00:00 AM",0.94,29.21,25.33,1445.51,NA
