"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","12:00:00 AM",2.77,27.8,25.52,1451.81,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","12:30:00 AM",2.77,27.81,25.54,1451.83,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","01:00:00 AM",2.77,27.81,25.54,1451.83,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","01:30:00 AM",2.77,27.81,25.54,1451.83,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","02:00:00 AM",2.73,27.83,25.52,1451.69,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","02:30:00 AM",2.73,27.85,25.54,1451.71,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","03:00:00 AM",2.73,27.85,25.54,1451.71,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","03:30:00 AM",2.77,27.83,25.55,1451.86,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","04:00:00 AM",2.8,27.83,25.58,1452.02,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","04:30:00 AM",2.84,27.83,25.61,1452.19,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","05:00:00 AM",2.88,27.78,25.59,1452.29,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","05:30:00 AM",2.88,27.84,25.64,1452.36,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","06:00:00 AM",2.92,27.82,25.65,1452.5,"XF"
"Star-Oddi DST CT","s11868","Strait Crossing 1",15,"B",14,46.28342,63.87103,2023,4,26,"2023-04-26","06:30:00 AM",2.96,27.82,25.68,1452.67,"XF"
