"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"12:00:00 AM",2.92,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"02:00:00 AM",2.85,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"04:00:00 AM",2.65,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"06:00:00 AM",2.63,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"08:00:00 AM",2.84,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"10:00:00 AM",2.94,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"12:00:00 PM",2.91,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"02:00:00 PM",2.9,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"04:00:00 PM",3.02,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"06:00:00 PM",2.98,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"08:00:00 PM",3.06,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,18,2022-04-18,"10:00:00 PM",3.12,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"12:00:00 AM",3.08,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"02:00:00 AM",3.02,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"04:00:00 AM",3.09,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"06:00:00 AM",2.89,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"08:00:00 AM",2.97,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"10:00:00 AM",3.02,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"12:00:00 PM",2.98,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"02:00:00 PM",3.02,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"04:00:00 PM",2.87,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"06:00:00 PM",3.19,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"08:00:00 PM",3.26,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,19,2022-04-19,"10:00:00 PM",3.25,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,20,2022-04-20,"12:00:00 AM",3.12,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,20,2022-04-20,"02:00:00 AM",3.16,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,20,2022-04-20,"04:00:00 AM",3.14,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,20,2022-04-20,"06:00:00 AM",3.27,"XF"
"Minilog-II-T","358424","Strait Crossing 1",15,"B",14,46.28342,63.87103,2022,4,20,2022-04-20,"08:00:00 AM",3.3,"XF"
