"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"12:00:00 AM",1.99,25.93,23.43,1445.92,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"12:29:59 AM",2.03,25.85,23.39,1446,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"01:00:00 AM",2.03,25.81,23.35,1445.94,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"01:30:00 AM",2.03,25.81,23.35,1445.94,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"01:59:59 AM",2.07,25.78,23.36,1446.07,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"02:30:00 AM",2.03,25.76,23.32,1445.88,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"03:00:00 AM",2.03,25.81,23.35,1445.94,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"03:29:59 AM",1.99,25.84,23.35,1445.8,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"04:00:00 AM",1.99,25.84,23.35,1445.8,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"04:30:00 AM",1.99,25.79,23.32,1445.74,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"04:59:59 AM",2.03,25.76,23.32,1445.88,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"05:30:00 AM",2.07,25.73,23.32,1446.01,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"06:00:00 AM",2.07,25.73,23.32,1446.01,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"06:29:59 AM",2.11,25.7,23.32,1446.14,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"07:00:00 AM",2.07,25.78,23.36,1446.07,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"07:30:00 AM",1.99,25.84,23.35,1445.8,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"07:59:59 AM",1.99,25.88,23.39,1445.86,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"08:30:00 AM",1.99,25.88,23.39,1445.86,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"09:00:00 AM",1.95,25.92,23.39,1445.73,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"09:29:59 AM",1.95,25.96,23.43,1445.79,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"10:00:00 AM",1.95,25.96,23.43,1445.79,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"10:30:00 AM",1.95,25.96,23.43,1445.79,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"10:59:59 AM",1.95,25.96,23.43,1445.79,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"11:30:00 AM",1.95,25.96,23.43,1445.79,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"12:00:00 PM",1.99,25.93,23.43,1445.92,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"12:29:59 PM",1.99,25.88,23.39,1445.86,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"01:00:00 PM",2.03,25.81,23.35,1445.94,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"01:30:00 PM",2.11,25.7,23.32,1446.14,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"01:59:59 PM",2.11,25.75,23.36,1446.2,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"02:30:00 PM",2.11,25.7,23.32,1446.14,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"03:00:00 PM",2.07,25.73,23.32,1446.01,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"03:29:59 PM",2.03,25.76,23.32,1445.88,"XB"
"Star-Oddi DST CT","s12342","Strait Crossing 2",20,"B",19,46.15,63.65028,2024,4,8,2024-04-08,"04:00:00 PM",2.03,25.76,23.32,1445.88,"XB"
