"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"12:00:00 AM",0.78,28.75,24.85,1444.19,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"12:29:59 AM",0.78,28.75,24.85,1444.19,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"01:00:00 AM",0.78,28.68,24.8,1444.09,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"01:30:00 AM",0.78,28.68,24.8,1444.09,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"01:59:59 AM",0.78,28.64,24.77,1444.04,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"02:30:00 AM",0.78,28.64,24.77,1444.04,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"03:00:00 AM",0.78,28.64,24.77,1444.04,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"03:29:59 AM",0.78,28.64,24.77,1444.04,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"04:00:00 AM",0.78,28.64,24.77,1444.04,"TA2"
"Star-Oddi DST CT","s12344","Tabusintac, NB",6,"B",5,47.28944,64.92028,2024,4,8,2024-04-08,"04:30:00 AM",0.78,28.61,24.74,1444,"TA2"
