"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"12:00:00 AM",1.27,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"02:00:00 AM",1.28,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"04:00:00 AM",1.19,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"06:00:00 AM",1.13,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"08:00:00 AM",1.06,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"10:00:00 AM",1.13,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"12:00:00 PM",1.15,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"02:00:00 PM",1.35,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"04:00:00 PM",1.39,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"06:00:00 PM",1.39,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"08:00:00 PM",1.21,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,21,2022-04-21,"10:00:00 PM",1.19,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"12:00:00 AM",1.14,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"02:00:00 AM",1.05,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"04:00:00 AM",0.95,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"06:00:00 AM",0.89,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"08:00:00 AM",0.84,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"10:00:00 AM",0.85,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"12:00:00 PM",0.87,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"02:00:00 PM",0.93,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"04:00:00 PM",0.92,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"06:00:00 PM",0.92,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"08:00:00 PM",0.91,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,22,2022-04-22,"10:00:00 PM",0.84,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"12:00:00 AM",0.8,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"02:00:00 AM",0.77,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"04:00:00 AM",0.71,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"06:00:00 AM",0.65,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"08:00:00 AM",0.6,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"10:00:00 AM",0.7,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"12:00:00 PM",0.89,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"02:00:00 PM",0.96,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"04:00:00 PM",1.18,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"06:00:00 PM",1.13,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"08:00:00 PM",1.27,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,23,2022-04-23,"10:00:00 PM",1.56,"TA2"
"Minilog-II-T","358431","Tabusintac, NB",6,"B",5,47.28944,64.92028,2022,4,24,2022-04-24,"12:00:00 AM",1.61,"TA2"
