"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"12:00:00 AM",2.15,23.2,21.26,1443.03,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"12:29:59 AM",2.15,23.2,21.26,1443.03,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"01:00:00 AM",2.15,23.24,21.29,1443.08,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"01:30:00 AM",2.15,23.24,21.29,1443.08,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"01:59:59 AM",2.15,23.2,21.26,1443.03,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"02:30:00 AM",2.15,23.2,21.26,1443.03,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"03:00:00 AM",2.15,23.24,21.29,1443.08,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"03:29:59 AM",2.15,23.2,21.26,1443.03,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"04:00:00 AM",2.15,23.28,21.33,1443.14,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"04:30:00 AM",2.15,23.28,21.33,1443.14,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"04:59:59 AM",2.15,23.28,21.33,1443.14,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"05:30:00 AM",2.15,23.24,21.29,1443.08,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"06:00:00 AM",2.15,23.24,21.29,1443.08,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"06:29:59 AM",2.15,23.2,21.26,1443.03,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"07:00:00 AM",2.15,23.2,21.26,1443.03,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"07:30:00 AM",2.15,23.2,21.26,1443.03,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"07:59:59 AM",2.11,23.22,21.26,1442.89,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"08:30:00 AM",2.11,23.22,21.26,1442.89,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"09:00:00 AM",2.11,23.22,21.26,1442.89,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"09:29:59 AM",2.11,23.22,21.26,1442.89,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"10:00:00 AM",2.07,23.25,21.26,1442.76,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"10:30:00 AM",2.07,23.25,21.26,1442.76,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"10:59:59 AM",2.07,23.25,21.26,1442.76,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"11:30:00 AM",2.07,23.29,21.29,1442.81,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"12:00:00 PM",2.07,23.29,21.29,1442.81,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"12:29:59 PM",2.07,23.29,21.29,1442.81,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"01:00:00 PM",2.07,23.33,21.32,1442.86,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"01:30:00 PM",2.11,23.35,21.36,1443.05,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"01:59:59 PM",2.11,23.39,21.39,1443.11,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"02:30:00 PM",2.15,23.36,21.39,1443.24,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"03:00:00 PM",2.15,23.28,21.33,1443.14,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"03:29:59 PM",2.19,23.25,21.33,1443.27,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"04:00:00 PM",2.19,23.33,21.39,1443.38,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"04:30:00 PM",2.19,23.33,21.39,1443.38,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"04:59:59 PM",2.23,23.3,21.39,1443.52,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"05:30:00 PM",2.23,23.3,21.39,1443.52,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"06:00:00 PM",2.23,23.3,21.39,1443.52,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"06:29:59 PM",2.23,23.3,21.39,1443.52,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"07:00:00 PM",2.23,23.3,21.39,1443.52,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"07:30:00 PM",2.23,23.26,21.36,1443.46,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"07:59:59 PM",2.19,23.29,21.36,1443.33,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"08:30:00 PM",2.19,23.29,21.36,1443.33,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"09:00:00 PM",2.19,23.33,21.39,1443.38,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"09:29:59 PM",2.19,23.33,21.39,1443.38,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"10:00:00 PM",2.19,23.33,21.39,1443.38,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"10:30:00 PM",2.19,23.29,21.36,1443.33,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"10:59:59 PM",2.15,23.32,21.36,1443.19,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,8,2024-04-08,"11:30:00 PM",2.11,23.35,21.36,1443.05,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,9,2024-04-09,"12:00:00 AM",2.11,23.35,21.36,1443.05,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,9,2024-04-09,"12:29:59 AM",2.11,23.35,21.36,1443.05,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,9,2024-04-09,"01:00:00 AM",2.11,23.35,21.36,1443.05,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,9,2024-04-09,"01:30:00 AM",2.11,23.39,21.39,1443.11,"NX"
"Star-Oddi DST CT","s12345","Victoria, PEI",7,"B",6,46.17644,63.46686,2024,4,9,2024-04-09,"01:59:59 AM",2.11,23.39,21.39,1443.11,"NX"
