"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","12:00:00 AM",13.14,25.61,31.02,1489.34,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","12:30:00 AM",13.07,25.64,31,1489.15,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","01:00:00 AM",13.17,25.63,31.06,1489.47,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","01:30:00 AM",13.39,25.62,31.21,1490.2,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","02:00:00 AM",13.73,25.56,31.4,1491.28,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","02:30:00 AM",14.01,25.56,31.61,1492.23,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","03:00:00 AM",14.32,25.51,31.78,1493.2,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","03:30:00 AM",14.63,25.5,32,1494.21,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","04:00:00 AM",14.94,25.47,32.2,1495.19,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","04:30:00 AM",15.09,25.45,32.29,1495.66,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","05:00:00 AM",15.21,25.45,32.38,1496.05,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","05:30:00 AM",15.33,25.43,32.44,1496.42,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","06:00:00 AM",15.52,25.43,32.58,1497.02,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","06:30:00 AM",15.64,25.43,32.67,1497.41,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","07:00:00 AM",15.73,25.41,32.72,1497.68,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","07:30:00 AM",15.79,25.43,32.79,1497.9,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","08:00:00 AM",15.85,25.39,32.78,1498.04,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","08:30:00 AM",15.91,25.39,32.83,1498.24,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","09:00:00 AM",15.94,25.39,32.85,1498.33,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","09:30:00 AM",15.94,25.37,32.83,1498.31,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","10:00:00 AM",15.91,25.39,32.83,1498.24,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","10:30:00 AM",14.17,25.56,31.72,1492.74,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","11:00:00 AM",13.82,25.61,31.53,1491.67,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","11:30:00 AM",13.89,25.61,31.57,1491.87,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","12:00:00 PM",13.85,25.61,31.55,1491.77,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","12:30:00 PM",13.89,25.61,31.57,1491.87,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","01:00:00 PM",14.01,25.61,31.66,1492.28,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","01:30:00 PM",14.2,25.56,31.74,1492.84,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","02:00:00 PM",14.23,25.58,31.79,1492.97,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","02:30:00 PM",14.29,25.58,31.83,1493.17,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","03:00:00 PM",14.35,25.57,31.88,1493.38,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","03:30:00 PM",14.29,25.55,31.81,1493.15,"collecteur"
"Star-Oddi DST CT","s11846","Wallace 2, NS",9,"B",9,45.88167,63.44417,2023,7,2,"2023-07-02","04:00:00 PM",14.13,25.58,31.72,1492.67,"collecteur"
