"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"08:00:00 PM",22.65,0.01,0,1489.73
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"08:30:00 PM",22.56,0.01,0,1489.47
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"09:00:00 PM",22.47,0.01,0,1489.22
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"09:30:00 PM",22.39,0.01,0,1488.96
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"10:00:00 PM",22.3,0.01,0,1488.7
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"10:30:00 PM",22.21,0.01,0,1488.45
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"11:00:00 PM",22.12,0.01,0,1488.19
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"11:30:00 PM",22.04,0.01,0,1487.93
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"12:00:00 AM",21.95,0.01,0,1487.67
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"12:30:00 AM",21.86,0.01,0,1487.41
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"01:00:00 AM",21.77,0.01,0,1487.15
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"01:30:00 AM",21.68,0.01,0,1486.88
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"02:00:00 AM",21.6,0.01,0,1486.62
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"02:30:00 AM",21.51,0.01,0,1486.36
"Star-Oddi DST CT","S11846","Wallace, N.S.",9,"B",9,45.8756,63.4331,2022,7,1,2022-07-01,"03:00:00 AM",21.45,0.01,0,1486.18
