"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"12:00:00 AM",1.01,23.28,20.63,1437.94,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"12:29:59 AM",1.12,23.21,20.65,1438.4,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"01:00:00 AM",1.16,23.18,20.64,1438.54,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"01:30:00 AM",1.16,23.15,20.61,1438.49,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"01:59:59 AM",1.12,23.13,20.58,1438.28,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"02:30:00 AM",1.16,23.12,20.59,1438.46,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"03:00:00 AM",1.16,23.11,20.58,1438.44,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"03:29:59 AM",1.16,23.13,20.6,1438.47,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"04:00:00 AM",1.2,23.15,20.64,1438.68,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"04:30:00 AM",1.24,23.15,20.66,1438.85,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"04:59:59 AM",1.28,23.14,20.68,1439.02,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"05:30:00 AM",1.28,23.18,20.71,1439.07,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"06:00:00 AM",1.24,23.07,20.6,1438.75,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"06:29:59 AM",1.12,23.03,20.5,1438.16,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"07:00:00 AM",1.01,22.87,20.3,1437.4,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"07:30:00 AM",1.01,22.89,20.31,1437.43,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"07:59:59 AM",1.01,22.93,20.34,1437.48,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"08:30:00 AM",1.01,22.93,20.34,1437.48,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"09:00:00 AM",0.97,22.96,20.34,1437.33,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"09:29:59 AM",0.97,22.96,20.34,1437.33,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"10:00:00 AM",0.97,22.97,20.35,1437.35,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"10:30:00 AM",0.97,22.94,20.33,1437.3,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"10:59:59 AM",1.01,23,20.4,1437.57,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"11:30:00 AM",1.05,23.01,20.43,1437.76,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"12:00:00 PM",1.12,22.97,20.45,1438.08,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"12:29:59 PM",1.01,22.97,20.37,1437.52,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"01:00:00 PM",1.12,23.05,20.52,1438.19,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"01:30:00 PM",1.12,23.01,20.48,1438.12,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"01:59:59 PM",1.24,22.92,20.47,1438.55,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"02:30:00 PM",1.28,22.91,20.49,1438.72,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"03:00:00 PM",1.32,22.9,20.51,1438.89,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"03:29:59 PM",1.32,22.93,20.53,1438.92,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"04:00:00 PM",1.32,22.93,20.53,1438.92,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"04:30:00 PM",1.32,22.93,20.53,1438.92,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"04:59:59 PM",1.36,22.93,20.56,1439.11,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"05:30:00 PM",1.4,22.9,20.56,1439.25,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"06:00:00 PM",1.4,22.58,20.3,1438.82,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"06:29:59 PM",1.44,19.25,17.55,1434.59,"D8"
"Star-Oddi DST CT","s11855","West Point, PEI",24,"B",23,46.66833,64.50028,2024,4,8,2024-04-08,"07:00:00 PM",1.36,19.07,17.36,1433.99,"D8"
