"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"12:00:00 AM",2.61,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"02:00:00 AM",1.78,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"04:00:00 AM",1.77,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"06:00:00 AM",1.94,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"08:00:00 AM",1.95,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"10:00:00 AM",1.98,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"12:00:00 PM",1.81,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"02:00:00 PM",1.75,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"04:00:00 PM",1.45,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"06:00:00 PM",1.4,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"08:00:00 PM",1.36,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,26,2022-04-26,"10:00:00 PM",1.47,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"12:00:00 AM",1.73,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"02:00:00 AM",1.71,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"04:00:00 AM",1.73,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"06:00:00 AM",2.08,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"08:00:00 AM",1.89,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"10:00:00 AM",1.98,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"12:00:00 PM",1.61,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"02:00:00 PM",1.54,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"04:00:00 PM",1.38,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"06:00:00 PM",1.26,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"08:00:00 PM",1.22,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,27,2022-04-27,"10:00:00 PM",1.19,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"12:00:00 AM",1.35,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"02:00:00 AM",1.11,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"04:00:00 AM",0.32,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"06:00:00 AM",0.36,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"08:00:00 AM",0.31,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"10:00:00 AM",0.23,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"12:00:00 PM",0.34,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"02:00:00 PM",0.43,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"04:00:00 PM",0.23,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"06:00:00 PM",-0.01,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"08:00:00 PM",-0.18,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,28,2022-04-28,"10:00:00 PM",-0.15,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,29,2022-04-29,"12:00:00 AM",0.3,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,29,2022-04-29,"02:00:00 AM",1.85,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,29,2022-04-29,"04:00:00 AM",1.6,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,29,2022-04-29,"06:00:00 AM",1.44,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,29,2022-04-29,"08:00:00 AM",0.81,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,29,2022-04-29,"10:00:00 AM",0.92,"VU2"
"Minilog-II-T","358420","Cape George, NS",17,"B",16,45.87619,61.88717,2022,4,29,2022-04-29,"12:00:00 PM",1.03,"VU2"
