"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"12:00:00 AM",1.03,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"02:00:00 AM",0.97,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"04:00:00 AM",0.86,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"06:00:00 AM",0.86,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"08:00:00 AM",0.7,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"10:00:00 AM",0.66,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"12:00:00 PM",0.61,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"02:00:00 PM",0.64,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"04:00:00 PM",0.64,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"06:00:00 PM",0.73,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"08:00:00 PM",0.48,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,21,2022-04-21,"10:00:00 PM",0.37,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,22,2022-04-22,"12:00:00 AM",0.3,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,22,2022-04-22,"02:00:00 AM",0.26,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,22,2022-04-22,"04:00:00 AM",0.28,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,22,2022-04-22,"06:00:00 AM",0.35,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,22,2022-04-22,"08:00:00 AM",0.35,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,22,2022-04-22,"10:00:00 AM",0.26,"X31"
"Minilog-II-T","358436","Escuminac, NB",11,"B",10,47.1192,64.785,2022,4,22,2022-04-22,"12:00:00 PM",0.27,"X31"
