"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"12:00:00 AM",0.98,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"02:00:00 AM",1.03,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"04:00:00 AM",1.28,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"06:00:00 AM",1.22,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"08:00:00 AM",1.25,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"10:00:00 AM",1.28,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"12:00:00 PM",1.36,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"02:00:00 PM",1.41,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"04:00:00 PM",1.45,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"06:00:00 PM",1.57,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"08:00:00 PM",1.5,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,22,2022-04-22,"10:00:00 PM",1.42,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"12:00:00 AM",1.46,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"02:00:00 AM",1.45,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"04:00:00 AM",1.5,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"06:00:00 AM",1.61,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"08:00:00 AM",1.57,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"10:00:00 AM",1.58,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"12:00:00 PM",1.48,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"02:00:00 PM",1.54,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"04:00:00 PM",1.59,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"06:00:00 PM",1.71,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"08:00:00 PM",2,"EB"
"Minilog-II-T","358435","Miscou, NB",15,"B",14,48.03061,64.54602,2022,4,23,2022-04-23,"10:00:00 PM",1.71,"EB"
