"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"12:00:00 AM",5.82,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"02:00:00 AM",5.61,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"04:00:00 AM",5.57,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"06:00:00 AM",5.32,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"08:00:00 AM",4.32,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"10:00:00 AM",3.83,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"12:00:00 PM",3.33,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"02:00:00 PM",3.58,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"04:00:00 PM",3.84,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"06:00:00 PM",4.36,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"08:00:00 PM",4.32,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,17,2022-04-17,"10:00:00 PM",4.16,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"12:00:00 AM",4.03,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"02:00:00 AM",3.54,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"04:00:00 AM",3.87,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"06:00:00 AM",4.2,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"08:00:00 AM",3.71,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"10:00:00 AM",3.67,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"12:00:00 PM",3.13,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"02:00:00 PM",2.87,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"04:00:00 PM",2.72,"NX"
"Minilog-II-T","356632","Victoria, PEI",7,"B",6,46.17644,63.46686,2022,4,18,2022-04-18,"06:00:00 PM",2.93,"NX"
