"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"12:00:00 AM",3.39,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"02:00:00 AM",3.22,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"04:00:00 AM",3.31,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"06:00:00 AM",3.41,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"08:00:00 AM",3.49,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"10:00:00 AM",3.41,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"12:00:00 PM",3.14,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"02:00:00 PM",2.83,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"04:00:00 PM",3.22,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"06:00:00 PM",3.56,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"08:00:00 PM",3.45,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,21,2022-04-21,"10:00:00 PM",3.44,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"12:00:00 AM",3.59,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"02:00:00 AM",3.49,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"04:00:00 AM",2.85,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"06:00:00 AM",3.11,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"08:00:00 AM",3.38,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"10:00:00 AM",3.44,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"12:00:00 PM",3.38,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"02:00:00 PM",2.92,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"04:00:00 PM",2.42,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"06:00:00 PM",3.6,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"08:00:00 PM",3.66,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,22,2022-04-22,"10:00:00 PM",3.55,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"12:00:00 AM",3.64,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"02:00:00 AM",3.48,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"04:00:00 AM",3.32,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"06:00:00 AM",3.16,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"08:00:00 AM",3.17,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"10:00:00 AM",3.23,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"12:00:00 PM",3.16,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"02:00:00 PM",2.65,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"04:00:00 PM",1.95,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"06:00:00 PM",2.73,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"08:00:00 PM",3.43,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,23,2022-04-23,"10:00:00 PM",3.72,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"12:00:00 AM",3.72,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"02:00:00 AM",3.61,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"04:00:00 AM",3.42,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"06:00:00 AM",2.91,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"08:00:00 AM",2.37,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"10:00:00 AM",2.26,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"12:00:00 PM",2.26,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"02:00:00 PM",2.31,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"04:00:00 PM",2.31,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"06:00:00 PM",2.35,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"08:00:00 PM",2.51,"D8"
"Minilog-II-T","358432","West Point, PEI",24,"B",23,46.66833,64.50028,2022,4,24,2022-04-24,"10:00:00 PM",2.5,"D8"
