Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_354244_20230626_1.vld
Source Device: Minilog-II-T-354244
Study Description: Caribou NS SP2 2022
Minilog Initialized: 2021-11-05 14:41:16 (UTC-3)
Study Start Time: 2022-04-04 00:00:00
Study Stop Time: 2023-06-26 12:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2022-04-13,00:00:00,1.10
2022-04-13,02:00:00,1.19
2022-04-13,04:00:00,1.21
2022-04-13,06:00:00,1.47
2022-04-13,08:00:00,1.58
2022-04-13,10:00:00,1.46
2022-04-13,12:00:00,1.32
2022-04-13,14:00:00,1.73
2022-04-13,16:00:00,1.64
2022-04-13,18:00:00,1.69
2022-04-13,20:00:00,1.81
2022-04-13,22:00:00,1.77
2022-04-14,00:00:00,1.68
2022-04-14,02:00:00,2.31
2022-04-14,04:00:00,1.81
2022-04-14,06:00:00,1.96
2022-04-14,08:00:00,1.98
2022-04-14,10:00:00,1.97
2022-04-14,12:00:00,2.20
2022-04-14,14:00:00,1.57
2022-04-14,16:00:00,1.69
2022-04-14,18:00:00,1.82
2022-04-14,20:00:00,2.26
2022-04-14,22:00:00,2.38
2022-04-15,00:00:00,2.31
2022-04-15,02:00:00,1.17
2022-04-15,04:00:00,1.22
2022-04-15,06:00:00,1.65
2022-04-15,08:00:00,2.40
2022-04-15,10:00:00,2.40
2022-04-15,12:00:00,2.06
2022-04-15,14:00:00,1.65
2022-04-15,16:00:00,1.39
2022-04-15,18:00:00,1.33
2022-04-15,20:00:00,2.13
2022-04-15,22:00:00,2.31
2022-04-16,00:00:00,1.84
2022-04-16,02:00:00,1.53
2022-04-16,04:00:00,1.18
2022-04-16,06:00:00,1.14
2022-04-16,08:00:00,1.86
2022-04-16,10:00:00,2.11
2022-04-16,12:00:00,1.68
2022-04-16,14:00:00,1.38
2022-04-16,16:00:00,1.21
2022-04-16,18:00:00,1.21
2022-04-16,20:00:00,1.61
2022-04-16,22:00:00,2.32
2022-04-17,00:00:00,2.38
2022-04-17,02:00:00,1.91
2022-04-17,04:00:00,1.35
2022-04-17,06:00:00,1.29
2022-04-17,08:00:00,1.49
2022-04-17,10:00:00,2.05
2022-04-17,12:00:00,2.06
2022-04-17,14:00:00,1.88
2022-04-17,16:00:00,1.35
2022-04-17,18:00:00,1.34
