Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\
Source Device: Minilog-II-T-356288
Study Description: Jack Shoal NS 2022 VU4 356288
Minilog Initialized: 
Study Start Time: 
Study Stop Time: 
Sample Interval: 
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2022-04-24,0:00:00,2.72
2022-04-24,2:00:00,2.62
2022-04-24,4:00:00,2.65
2022-04-24,6:00:00,2.68
2022-04-24,8:00:00,2.69
2022-04-24,10:00:00,2.74
2022-04-24,12:00:00,2.76
2022-04-24,14:00:00,2.77
2022-04-24,16:00:00,2.77
2022-04-24,18:00:00,2.52
2022-04-24,20:00:00,2.56
2022-04-24,22:00:00,2.54
2022-04-25,0:00:00,2.59
2022-04-25,2:00:00,2.52
2022-04-25,4:00:00,2.21
2022-04-25,6:00:00,2.09
2022-04-25,8:00:00,2.03
2022-04-25,10:00:00,2.1
2022-04-25,12:00:00,2.23
2022-04-25,14:00:00,2.56
2022-04-25,16:00:00,2.67
2022-04-25,18:00:00,2.65
2022-04-25,20:00:00,2.22
2022-04-25,22:00:00,2.24
2022-04-26,0:00:00,2.25
2022-04-26,2:00:00,2.29
2022-04-26,4:00:00,2.34
2022-04-26,6:00:00,2.25
2022-04-26,8:00:00,2.23
2022-04-26,10:00:00,2.23
2022-04-26,12:00:00,2.27
2022-04-26,14:00:00,2.28
2022-04-26,16:00:00,2.29
2022-04-26,18:00:00,2.17
2022-04-26,20:00:00,2.13
2022-04-26,22:00:00,2.14
2022-04-27,0:00:00,2.19
2022-04-27,2:00:00,2.36
2022-04-27,4:00:00,2.38
2022-04-27,6:00:00,2.41
2022-04-27,8:00:00,2.14
2022-04-27,10:00:00,2.15
2022-04-27,12:00:00,2.07
2022-04-27,14:00:00,2.08
2022-04-27,16:00:00,2.09
2022-04-27,18:00:00,2.09
2022-04-27,20:00:00,1.87
2022-04-27,22:00:00,1.83
2022-04-28,0:00:00,1.64
2022-04-28,2:00:00,1.75
2022-04-28,4:00:00,1.64
2022-04-28,6:00:00,1.53
2022-04-28,8:00:00,1.46
2022-04-28,10:00:00,1.48
2022-04-28,12:00:00,1.54
2022-04-28,14:00:00,2.02
2022-04-28,16:00:00,2.28
2022-04-28,18:00:00,2.46
2022-04-28,20:00:00,2.51
2022-04-28,22:00:00,2.55
2022-04-29,0:00:00,2.15
2022-04-29,2:00:00,1.97
2022-04-29,4:00:00,2.18
2022-04-29,6:00:00,2.18
2022-04-29,8:00:00,2.45
2022-04-29,10:00:00,2.45
2022-04-29,12:00:00,2.45
2022-04-29,14:00:00,2.44
2022-04-29,16:00:00,2.36
2022-04-29,18:00:00,2.41
2022-04-29,20:00:00,2.44
2022-04-29,22:00:00,2.41
2022-04-30,0:00:00,2.47
2022-04-30,2:00:00,2.55
2022-04-30,4:00:00,2.6
2022-04-30,6:00:00,2.58
2022-04-30,8:00:00,2.56
2022-04-30,10:00:00,2.53
2022-04-30,12:00:00,2.56
2022-04-30,14:00:00,2.63
2022-04-30,16:00:00,2.59
2022-04-30,18:00:00,2.59
2022-04-30,20:00:00,2.55
2022-04-30,22:00:00,1.62
2022-05-01,0:00:00,1.67
2022-05-01,2:00:00,1.67
