Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_358435_20230626_1.vld
Source Device: Minilog-II-T-358435
Study Description: Miscou Island West NB EB 2022
Minilog Initialized: 2021-10-22 12:42:42 (UTC-3)
Study Start Time: 2022-03-31 00:00:00
Study Stop Time: 2023-06-26 14:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2022-04-22,00:00:00,0.98
2022-04-22,02:00:00,1.03
2022-04-22,04:00:00,1.28
2022-04-22,06:00:00,1.22
2022-04-22,08:00:00,1.25
2022-04-22,10:00:00,1.28
2022-04-22,12:00:00,1.36
2022-04-22,14:00:00,1.41
2022-04-22,16:00:00,1.45
2022-04-22,18:00:00,1.57
2022-04-22,20:00:00,1.50
2022-04-22,22:00:00,1.42
2022-04-23,00:00:00,1.46
2022-04-23,02:00:00,1.45
2022-04-23,04:00:00,1.50
2022-04-23,06:00:00,1.61
2022-04-23,08:00:00,1.57
2022-04-23,10:00:00,1.58
2022-04-23,12:00:00,1.48
2022-04-23,14:00:00,1.54
2022-04-23,16:00:00,1.59
2022-04-23,18:00:00,1.71
2022-04-23,20:00:00,2.00
2022-04-23,22:00:00,1.71
2022-04-24,00:00:00,1.62
2022-04-24,02:00:00,1.81
2022-04-24,04:00:00,1.88
2022-04-24,06:00:00,1.98
2022-04-24,08:00:00,1.84
2022-04-24,10:00:00,1.98
2022-04-24,12:00:00,1.97
2022-04-24,14:00:00,2.06
2022-04-24,16:00:00,2.15
2022-04-24,18:00:00,2.17
2022-04-24,20:00:00,2.31
2022-04-24,22:00:00,2.35
2022-04-25,00:00:00,1.90
2022-04-25,02:00:00,1.97
2022-04-25,04:00:00,2.13
2022-04-25,06:00:00,2.23
2022-04-25,08:00:00,2.34
2022-04-25,10:00:00,2.35
2022-04-25,12:00:00,2.04
2022-04-25,14:00:00,2.00
2022-04-25,16:00:00,1.97
2022-04-25,18:00:00,2.07
2022-04-25,20:00:00,2.23
2022-04-25,22:00:00,2.31
2022-04-26,00:00:00,2.08
2022-04-26,02:00:00,2.11
2022-04-26,04:00:00,2.00
2022-04-26,06:00:00,2.10
2022-04-26,08:00:00,2.24
2022-04-26,10:00:00,2.31
2022-04-26,12:00:00,2.15
2022-04-26,14:00:00,1.55
2022-04-26,16:00:00,1.24
2022-04-26,18:00:00,1.69
2022-04-26,20:00:00,2.23
2022-04-26,22:00:00,2.36
2022-04-27,00:00:00,2.34
2022-04-27,02:00:00,2.30
2022-04-27,04:00:00,1.69
2022-04-27,06:00:00,1.89
2022-04-27,08:00:00,2.48
2022-04-27,10:00:00,2.68
2022-04-27,12:00:00,2.59
2022-04-27,14:00:00,1.76
2022-04-27,16:00:00,0.73
2022-04-27,18:00:00,1.58
2022-04-27,20:00:00,2.16
2022-04-27,22:00:00,2.37
2022-04-28,00:00:00,2.60
2022-04-28,02:00:00,1.81
2022-04-28,04:00:00,0.61
2022-04-28,06:00:00,0.89
2022-04-28,08:00:00,1.37
2022-04-28,10:00:00,1.23
2022-04-28,12:00:00,0.88
2022-04-28,14:00:00,-0.07
2022-04-28,16:00:00,-0.34
2022-04-28,18:00:00,-0.66
2022-04-28,20:00:00,-0.33
2022-04-28,22:00:00,2.08
2022-04-29,00:00:00,2.50
2022-04-29,02:00:00,-0.83
2022-04-29,04:00:00,-0.89
2022-04-29,06:00:00,-0.90
2022-04-29,08:00:00,-0.89
2022-04-29,10:00:00,-0.41
2022-04-29,12:00:00,2.01
2022-04-29,14:00:00,-0.80
2022-04-29,16:00:00,-0.87
2022-04-29,18:00:00,-0.89
2022-04-29,20:00:00,-0.89
2022-04-29,22:00:00,-0.14
2022-04-30,00:00:00,1.75
2022-04-30,02:00:00,-0.63
2022-04-30,04:00:00,-0.87
2022-04-30,06:00:00,-0.88
2022-04-30,08:00:00,-0.82
2022-04-30,10:00:00,-0.53
2022-04-30,12:00:00,-0.38
2022-04-30,14:00:00,-0.36
2022-04-30,16:00:00,-0.60
2022-04-30,18:00:00,-0.60
2022-04-30,20:00:00,-0.52
2022-04-30,22:00:00,-0.34
2022-05-01,00:00:00,-0.20
2022-05-01,02:00:00,-0.09
2022-05-01,04:00:00,-0.19
2022-05-01,06:00:00,-0.28
2022-05-01,08:00:00,-0.19
2022-05-01,10:00:00,0.24
2022-05-01,12:00:00,0.54
2022-05-01,14:00:00,0.58
2022-05-01,16:00:00,0.54
2022-05-01,18:00:00,0.60
2022-05-01,20:00:00,0.69
2022-05-01,22:00:00,0.75
2022-05-02,00:00:00,0.75
2022-05-02,02:00:00,0.80
2022-05-02,04:00:00,0.76
2022-05-02,06:00:00,0.76
2022-05-02,08:00:00,0.91
2022-05-02,10:00:00,1.21
2022-05-02,12:00:00,1.52
2022-05-02,14:00:00,1.50
2022-05-02,16:00:00,1.51
2022-05-02,18:00:00,1.35
2022-05-02,20:00:00,1.31
2022-05-02,22:00:00,1.67
2022-05-03,00:00:00,1.70
2022-05-03,02:00:00,1.73
