Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45112,6.79,27.25,27.98,1467.9
45112.02083,6.82,27.17,27.93,1467.93
45112.04167,6.86,27.19,27.98,1468.11
45112.0625,6.54,27.31,27.85,1466.99
45112.08333,6.22,27.26,27.57,1465.65
45112.10417,6.29,27.31,27.67,1466
45112.125,6.33,27.28,27.67,1466.11
45112.14583,5.83,27.36,27.38,1464.2
45112.16667,6.36,27.27,27.69,1466.23
45112.1875,6.51,27.17,27.7,1466.67
45112.20833,6.15,27.31,27.57,1465.44
45112.22917,6.12,27.33,27.56,1465.31
45112.25,6.15,27.33,27.59,1465.46
45112.27083,6.26,27.28,27.62,1465.82
45112.29167,6.51,27.21,27.73,1466.72
45112.3125,6.72,27.1,27.8,1467.44
45112.33333,6.82,27.11,27.88,1467.86
45112.35417,7.14,26.98,27.99,1468.95
45112.375,7.55,26.79,28.12,1470.34
45112.39583,7.62,26.74,28.11,1470.54
45112.41667,7.52,26.84,28.14,1470.27
45112.4375,7.48,26.78,28.05,1470.05
45112.45833,6.79,27.2,27.93,1467.83
45112.47917,6.19,27.36,27.64,1465.64
45112.5,5.72,27.51,27.43,1463.95
45112.52083,6.43,27.3,27.77,1466.56
45112.54167,6.29,27.36,27.72,1466.07
45112.5625,6.43,27.34,27.8,1466.61
45112.58333,6.47,27.33,27.82,1466.74
45112.60417,6.19,27.28,27.57,1465.54
45112.625,6.19,27.27,27.56,1465.52
45112.64583,6.61,27.12,27.73,1467.03
45112.66667,6.47,27.16,27.67,1466.52
45112.6875,6.68,27.13,27.8,1467.33
45112.70833,6.72,27.12,27.81,1467.46
45112.72917,7,27.08,27.98,1468.52
45112.75,6.05,27.37,27.54,1465.07
45112.77083,6.33,27.31,27.7,1466.15
45112.79167,5.58,27.52,27.34,1463.38
45112.8125,5.72,27.51,27.43,1463.95
45112.83333,5.65,27.62,27.49,1463.8
45112.85417,5.55,27.66,27.44,1463.41
45112.875,5.58,27.69,27.49,1463.59
45112.89583,5.65,27.68,27.54,1463.88
45112.91667,5.83,27.57,27.57,1464.46
45112.9375,5.58,27.61,27.42,1463.49
45112.95833,5.37,27.7,27.34,1462.73
45112.97917,5.44,27.68,27.38,1462.99
45113,5.44,27.68,27.38,1462.99
45113.02083,5.44,27.7,27.39,1463.01
45113.04167,5.83,27.45,27.47,1464.32
45113.0625,5.72,27.47,27.4,1463.9
45113.08333,5.65,27.44,27.32,1463.57
45113.10417,5.51,27.49,27.26,1463.04
45113.125,5.4,27.52,27.21,1462.64
45113.14583,5.37,27.52,27.18,1462.49
45113.16667,5.15,27.52,27.02,1461.59
45113.1875,5.44,27.49,27.21,1462.75
45113.20833,6.12,27.33,27.56,1465.31
45113.22917,5.51,27.45,27.22,1462.99
45113.25,5.29,27.56,27.16,1462.25
45113.27083,5.58,27.44,27.27,1463.28
45113.29167,5.26,27.68,27.25,1462.26
45113.3125,5,27.75,27.12,1461.3
45113.33333,5.33,27.57,27.2,1462.4
45113.35417,5.26,27.67,27.23,1462.23
45113.375,5.62,27.51,27.35,1463.51
45113.39583,5.62,27.52,27.37,1463.53
45113.41667,5.83,27.42,27.43,1464.27
45113.4375,6.08,27.36,27.56,1465.2
45113.45833,6.19,27.28,27.57,1465.54
45113.47917,6.86,27.01,27.81,1467.87
45113.5,6.96,27,27.87,1468.27
45113.52083,7.14,26.98,27.99,1468.95
