Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,0.5,26.83,23.14,1440.35
45390.02083,0.5,26.83,23.14,1440.35
45390.04167,0.54,26.77,23.13,1440.47
45390.0625,0.54,26.76,23.11,1440.44
45390.08333,0.62,26.65,23.09,1440.68
45390.10417,0.62,26.64,23.07,1440.65
45390.125,0.62,26.65,23.09,1440.68
45390.14583,0.62,26.64,23.07,1440.65
45390.16667,0.66,26.6,23.07,1440.79
45390.1875,0.7,26.57,23.07,1440.93
45390.20833,0.66,26.57,23.05,1440.75
45390.22917,0.66,26.59,23.06,1440.77
45390.25,0.62,26.64,23.07,1440.65
45390.27083,0.58,26.67,23.07,1440.52
45390.29167,0.54,26.73,23.09,1440.4
45390.3125,0.54,26.74,23.1,1440.42
45390.33333,0.46,26.8,23.09,1440.13
45390.35417,0.46,26.81,23.1,1440.15
45390.375,0.46,26.8,23.09,1440.13
45390.39583,0.46,26.81,23.1,1440.15
45390.41667,0.5,26.78,23.1,1440.28
45390.4375,0.58,26.66,23.06,1440.49
45390.45833,0.62,26.61,23.05,1440.61
45390.47917,0.66,26.5,23,1440.66
45390.5,0.66,26.47,22.97,1440.62
45390.52083,0.7,26.41,22.94,1440.71
45390.54167,0.7,26.42,22.96,1440.74
45390.5625,0.7,26.42,22.96,1440.74
45390.58333,0.7,26.41,22.94,1440.71
45390.60417,0.7,26.39,22.93,1440.69
45390.625,0.7,26.41,22.94,1440.71
45390.64583,0.66,26.46,22.96,1440.6
45390.66667,0.62,26.52,22.98,1440.5
45390.6875,0.58,26.56,22.98,1440.37
45390.70833,0.62,26.51,22.97,1440.48
45390.72917,0.66,26.46,22.96,1440.6
45390.75,0.62,26.48,22.95,1440.44
45390.77083,0.62,26.51,22.97,1440.48
45390.79167,0.66,26.46,22.96,1440.6
45390.8125,0.66,26.44,22.94,1440.58
45390.83333,0.66,26.44,22.94,1440.58
45390.85417,0.66,26.44,22.94,1440.58
45390.875,0.7,26.41,22.94,1440.71
45390.89583,0.7,26.42,22.96,1440.74
45390.91667,0.74,26.37,22.94,1440.85
45390.9375,0.7,26.41,22.94,1440.71
45390.95833,0.74,26.37,22.94,1440.85
45390.97917,0.74,26.37,22.94,1440.85
45391,0.82,26.3,22.94,1441.13
45391.02083,0.86,26.25,22.93,1441.24
45391.04167,0.94,26.19,22.94,1441.53
45391.0625,1.02,26.16,22.96,1441.85
45391.08333,1.02,26.14,22.95,1441.83
45391.10417,0.98,26.16,22.94,1441.67
45391.125,0.94,26.18,22.92,1441.51
45391.14583,0.9,26.2,22.91,1441.36
45391.16667,0.82,26.27,22.92,1441.08
45391.1875,0.82,26.28,22.93,1441.1
45391.20833,0.82,26.28,22.93,1441.1
45391.22917,1.26,25.93,22.94,1442.64
45391.25,1.3,25.92,22.95,1442.79
45391.27083,1.14,26.04,22.95,1442.23
45391.29167,1.06,26.09,22.93,1441.94
45391.3125,1.02,26.11,22.92,1441.79
45391.33333,0.98,26.16,22.94,1441.67
45391.35417,1.02,26.11,22.92,1441.79
45391.375,1.14,26.02,22.93,1442.21
45391.39583,1.34,25.9,22.97,1442.95
45391.41667,1.38,25.88,22.98,1443.1
45391.4375,1.38,25.86,22.96,1443.08
45391.45833,1.42,25.81,22.95,1443.2
45391.47917,1.46,25.8,22.96,1443.35
45391.5,1.5,25.75,22.95,1443.47
45391.52083,1.5,25.75,22.95,1443.47
45391.54167,1.46,25.78,22.95,1443.33
45391.5625,1.18,26.03,22.97,1442.41
45391.58333,0.98,26.19,22.96,1441.71
45391.60417,0.94,26.23,22.96,1441.58
45391.625,0.94,26.24,22.98,1441.6
45391.64583,0.94,26.21,22.95,1441.56
45391.66667,0.98,26.19,22.96,1441.71
45391.6875,1.02,26.19,22.99,1441.89
45391.70833,1.06,26.14,22.97,1442.01
45391.72917,1.02,26.19,22.99,1441.89
45391.75,0.9,26.28,22.98,1441.46
45391.77083,0.9,26.28,22.98,1441.46
45391.79167,0.94,26.23,22.96,1441.58
45391.8125,0.98,26.18,22.95,1441.69
45391.83333,1.02,26.14,22.95,1441.83
45391.85417,1.06,26.07,22.92,1441.92
45391.875,0.98,26.19,22.96,1441.71
45391.89583,1.06,26.11,22.95,1441.96
45391.91667,1.1,26.09,22.96,1442.12
45391.9375,1.22,25.94,22.92,1442.46
45391.95833,1.38,25.77,22.89,1442.96
45391.97917,1.54,25.54,22.81,1443.37
45392,1.58,25.53,22.82,1443.53
45392.02083,1.58,25.53,22.82,1443.53
45392.04167,1.58,25.51,22.81,1443.51
45392.0625,1.54,25.51,22.78,1443.33
45392.08333,1.5,25.56,22.8,1443.22
45392.10417,1.5,25.5,22.75,1443.14
45392.125,1.46,25.5,22.72,1442.96
45392.14583,1.42,25.52,22.71,1442.81
45392.16667,1.46,25.5,22.72,1442.96
45392.1875,1.42,25.52,22.71,1442.81
45392.20833,1.26,25.67,22.73,1442.29
45392.22917,0.78,26.04,22.7,1440.59
45392.25,0.78,26,22.68,1440.55
45392.27083,0.86,25.95,22.69,1440.84
45392.29167,0.9,25.92,22.69,1440.98
45392.3125,0.9,25.89,22.66,1440.94
45392.33333,0.98,25.83,22.67,1441.23
45392.35417,1.02,25.78,22.66,1441.35
45392.375,1.06,25.75,22.66,1441.49
45392.39583,1.1,25.7,22.65,1441.6
45392.41667,1.18,25.63,22.64,1441.88
45392.4375,1.22,25.61,22.66,1442.03
45392.45833,1.22,25.61,22.66,1442.03
45392.47917,1.26,25.56,22.64,1442.15
45392.5,1.26,25.56,22.64,1442.15
45392.52083,1.3,25.53,22.64,1442.28
45392.54167,1.34,25.51,22.65,1442.44
45392.5625,1.34,25.51,22.65,1442.44
45392.58333,1.5,25.44,22.7,1443.06
45392.60417,1.42,25.46,22.66,1442.73
45392.625,1.46,25.44,22.67,1442.88
45392.64583,1.46,25.43,22.66,1442.86
45392.66667,1.46,25.47,22.7,1442.92
45392.6875,1.5,25.43,22.69,1443.04
45392.70833,1.54,25.42,22.71,1443.21
45392.72917,1.58,25.37,22.7,1443.33
45392.75,1.58,25.4,22.72,1443.37
45392.77083,1.58,25.4,22.72,1443.37
45392.79167,1.58,25.42,22.73,1443.39
45392.8125,1.62,25.4,22.75,1443.54
45392.83333,1.62,25.4,22.75,1443.54
45392.85417,1.62,25.4,22.75,1443.54
45392.875,1.58,25.42,22.73,1443.39
45392.89583,1.62,25.39,22.73,1443.52
45392.91667,1.62,25.39,22.73,1443.52
45392.9375,1.58,25.4,22.72,1443.37
