Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.73,29.22,25.92,1449.09
45390.02083,1.69,29.22,25.9,1448.92
45390.04167,1.61,29.29,25.9,1448.66
45390.0625,1.61,29.26,25.87,1448.62
45390.08333,1.57,29.33,25.9,1448.54
45390.10417,1.53,29.36,25.9,1448.41
45390.125,1.45,29.37,25.84,1448.06
45390.14583,1.45,29.37,25.84,1448.06
45390.16667,1.45,29.37,25.84,1448.06
45390.1875,1.41,29.41,25.84,1447.93
45390.20833,1.45,29.33,25.81,1448.02
45390.22917,1.41,29.34,25.79,1447.84
45390.25,1.41,29.17,25.65,1447.62
45390.27083,1.41,28.72,25.29,1447.03
45390.29167,1.53,25.49,22.76,1443.28
45390.3125,1.61,18.84,17.29,1434.83
45390.33333,1.65,17.09,15.82,1432.69
45390.35417,1.69,16.53,15.37,1432.14
45390.375,1.73,16.55,15.4,1432.34
45390.39583,1.81,16.47,15.37,1432.6
45390.41667,1.81,16.47,15.37,1432.6
45390.4375,1.81,17.5,16.25,1433.95
45390.45833,1.77,26.85,24.03,1446.14
45390.47917,1.69,28.54,25.35,1448.02
45390.5,1.73,29.11,25.84,1448.95
45390.52083,1.61,28.48,25.24,1447.58
45390.54167,1.61,29.12,25.76,1448.44
45390.5625,1.65,29.05,25.73,1448.52
45390.58333,1.61,28.95,25.62,1448.21
45390.60417,1.65,28.92,25.62,1448.34
45390.625,1.53,29.53,26.03,1448.63
45390.64583,1.53,29.47,25.98,1448.54
45390.66667,1.57,29.19,25.79,1448.36
45390.6875,1.53,29.19,25.76,1448.18
45390.70833,1.57,29.06,25.68,1448.18
45390.72917,1.65,29.32,25.95,1448.88
45390.75,1.53,29.36,25.9,1448.41
45390.77083,1.57,29.36,25.92,1448.58
45390.79167,1.61,29.26,25.87,1448.62
45390.8125,1.69,29.02,25.73,1448.65
45390.83333,1.96,29.17,26.06,1450.07
45390.85417,2,29.24,26.14,1450.33
45390.875,2.04,29,25.98,1450.19
45390.89583,2.04,28.93,25.92,1450.1
45390.91667,2.04,28.93,25.92,1450.1
45390.9375,2.04,28.93,25.92,1450.1
45390.95833,2.04,28.9,25.9,1450.05
45390.97917,2.04,28.93,25.92,1450.1
45391,2,29.24,26.14,1450.33
45391.02083,1.85,28.47,25.4,1448.62
45391.04167,1.88,28.4,25.38,1448.71
45391.0625,1.85,28.91,25.76,1449.2
45391.08333,1.73,28.98,25.73,1448.78
45391.10417,1.69,28.98,25.7,1448.6
45391.125,1.69,28.91,25.65,1448.51
45391.14583,1.61,28.92,25.59,1448.17
45391.16667,1.53,28.92,25.54,1447.82
45391.1875,1.49,28.92,25.51,1447.65
45391.20833,1.49,28.92,25.51,1447.65
45391.22917,1.45,28.92,25.48,1447.47
45391.25,1.49,28.89,25.48,1447.6
45391.27083,1.53,28.92,25.54,1447.82
45391.29167,1.49,28.92,25.51,1447.65
45391.3125,1.49,28.72,25.35,1447.38
45391.33333,1.61,28.75,25.46,1447.94
45391.35417,1.69,28.98,25.7,1448.6
45391.375,1.81,28.91,25.73,1449.03
45391.39583,1.81,28.94,25.76,1449.07
45391.41667,1.85,28.87,25.73,1449.16
45391.4375,1.88,28.84,25.73,1449.28
45391.45833,1.88,28.84,25.73,1449.28
45391.47917,1.92,28.8,25.73,1449.41
45391.5,1.77,29.05,25.81,1449.04
45391.52083,1.81,28.98,25.79,1449.12
45391.54167,1.77,28.64,25.49,1448.5
45391.5625,1.77,29.05,25.81,1449.04
45391.58333,1.73,29.05,25.79,1448.87
45391.60417,1.65,29.09,25.76,1448.57
45391.625,1.65,29.05,25.73,1448.52
45391.64583,1.65,29.09,25.76,1448.57
45391.66667,1.77,29.11,25.87,1449.13
45391.6875,1.81,29.04,25.84,1449.21
45391.70833,1.85,29.01,25.84,1449.34
45391.72917,1.88,28.97,25.84,1449.46
45391.75,1.88,28.97,25.84,1449.46
45391.77083,2,29.1,26.03,1450.15
45391.79167,2,29.1,26.03,1450.15
45391.8125,1.65,29.05,25.73,1448.52
45391.83333,1.61,27.69,24.61,1446.55
45391.85417,1.65,27.39,24.39,1446.32
45391.875,1.73,12.36,11.76,1426.8
45391.89583,1.77,28.37,25.27,1448.14
45391.91667,1.81,28.6,25.49,1448.63
45391.9375,1.85,28.23,25.21,1448.31
45391.95833,1.88,28.23,25.24,1448.48
45391.97917,1.92,28.16,25.21,1448.57
45392,1.92,28.16,25.21,1448.57
45392.02083,1.88,28.2,25.21,1448.44
45392.04167,1.92,28.33,25.35,1448.79
45392.0625,1.85,28.3,25.27,1448.4
45392.08333,1.61,28.37,25.16,1447.45
45392.10417,1.77,28.17,25.1,1447.88
45392.125,1.81,28.2,25.16,1448.09
45392.14583,1.77,28.1,25.05,1447.79
45392.16667,1.65,28.2,25.05,1447.4
45392.1875,1.73,28.17,25.07,1447.7
45392.20833,1.69,28.13,25.02,1447.48
45392.22917,1.69,28.1,24.99,1447.44
45392.25,1.65,28.1,24.96,1447.26
45392.27083,1.69,28.03,24.94,1447.35
45392.29167,1.73,28.03,24.96,1447.52
45392.3125,1.53,28.17,24.94,1446.83
45392.33333,1.61,28.1,24.94,1447.09
45392.35417,1.57,28.14,24.94,1446.96
45392.375,1.61,27.86,24.74,1446.77
45392.39583,1.69,27.8,24.75,1447.04
45392.41667,1.73,27.96,24.91,1447.43
45392.4375,1.77,27.63,24.66,1447.16
45392.45833,1.81,27.63,24.69,1447.34
45392.47917,1.81,27.63,24.69,1447.34
45392.5,1.85,27.59,24.69,1447.46
45392.52083,1.88,27.59,24.72,1447.64
45392.54167,1.96,27.76,24.91,1448.21
45392.5625,1.88,28.16,25.18,1448.39
45392.58333,1.85,28.2,25.18,1448.27
45392.60417,1.85,28.23,25.21,1448.31
45392.625,1.81,28.2,25.16,1448.09
45392.64583,1.88,28.16,25.18,1448.39
45392.66667,1.85,28.13,25.13,1448.18
45392.6875,1.88,28.1,25.13,1448.3
45392.70833,1.92,28.06,25.13,1448.43
45392.72917,1.96,28.03,25.13,1448.56
45392.75,2,28.06,25.19,1448.78
45392.77083,2.08,28.03,25.21,1449.08
45392.79167,2.19,28.02,25.3,1449.59
45392.8125,2.27,28.09,25.41,1450.02
45392.83333,1.88,28.03,25.07,1448.22
45392.85417,1.85,27.66,24.75,1447.55
45392.875,1.85,27.49,24.61,1447.33
45392.89583,2.04,27.46,24.72,1448.15
45392.91667,2.08,27.29,24.61,1448.11
45392.9375,2.04,28.8,25.81,1449.92
45392.95833,2.04,28.7,25.73,1449.79
45392.97917,2,28.9,25.87,1449.88
45393,2,28.87,25.84,1449.84
45393.02083,2.04,28.83,25.84,1449.97
45393.04167,2.04,28.8,25.81,1449.92
45393.0625,2.04,28.8,25.81,1449.92
45393.08333,2.5,28.81,26.17,1451.99
45393.10417,1.85,28.7,25.6,1448.93
45393.125,1.96,28.36,25.4,1449
45393.14583,2,28.13,25.24,1448.87
45393.16667,2,28.06,25.19,1448.78
45393.1875,1.92,28.03,25.1,1448.39
45393.20833,1.92,27.99,25.08,1448.34
45393.22917,1.88,28,25.05,1448.17
45393.25,1.88,28,25.05,1448.17
45393.27083,1.88,28,25.05,1448.17
45393.29167,1.88,28,25.05,1448.17
