Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.2,28.95,25.32,1446.37
45390.02083,1.28,28.87,25.32,1446.64
45390.04167,1.36,28.84,25.35,1446.94
45390.0625,1.36,28.84,25.35,1446.94
45390.08333,1.36,28.77,25.29,1446.85
45390.10417,1.4,28.67,25.24,1446.9
45390.125,1.4,28.57,25.16,1446.77
45390.14583,1.44,28.5,25.14,1446.85
45390.16667,1.48,28.44,25.11,1446.94
45390.1875,1.52,28.43,25.14,1447.11
45390.20833,1.52,28.43,25.14,1447.11
45390.22917,1.52,28.43,25.14,1447.11
45390.25,1.56,28.43,25.17,1447.29
45390.27083,1.6,28.46,25.22,1447.5
45390.29167,1.52,28.47,25.16,1447.16
45390.3125,1.44,28.54,25.16,1446.9
45390.33333,1.4,28.64,25.21,1446.85
45390.35417,1.28,28.74,25.21,1446.46
45390.375,1.13,28.88,25.21,1445.93
45390.39583,1.16,28.88,25.24,1446.11
45390.41667,1.09,28.95,25.23,1445.85
45390.4375,1.09,28.95,25.23,1445.85
45390.45833,1.05,28.99,25.23,1445.72
45390.47917,1.05,28.99,25.23,1445.72
45390.5,1.05,28.99,25.23,1445.72
45390.52083,1.05,29.02,25.26,1445.76
45390.54167,1.09,28.99,25.26,1445.89
45390.5625,1.2,28.91,25.29,1446.33
45390.58333,1.32,28.84,25.32,1446.77
45390.60417,1.32,28.81,25.29,1446.72
45390.625,1.36,28.7,25.24,1446.77
45390.64583,1.44,28.6,25.22,1446.98
45390.66667,1.52,28.53,25.22,1447.24
45390.6875,1.56,28.53,25.24,1447.42
45390.70833,1.64,28.46,25.25,1447.68
45390.72917,1.67,28.43,25.25,1447.81
45390.75,1.67,28.43,25.25,1447.81
45390.77083,1.67,28.46,25.27,1447.85
45390.79167,1.71,28.46,25.3,1448.02
45390.8125,1.6,28.53,25.27,1447.59
45390.83333,1.48,28.67,25.3,1447.24
45390.85417,1.4,28.74,25.29,1446.98
45390.875,1.2,28.88,25.26,1446.29
45390.89583,1.2,28.95,25.32,1446.37
45390.91667,1.09,28.99,25.26,1445.89
45390.9375,1.05,29.02,25.26,1445.76
45390.95833,1.05,29.02,25.26,1445.76
45390.97917,1.05,29.05,25.29,1445.8
45391,1.05,29.02,25.26,1445.76
45391.02083,1.09,29.02,25.29,1445.94
45391.04167,1.13,29.02,25.31,1446.11
45391.0625,1.16,28.98,25.32,1446.24
45391.08333,1.2,28.95,25.32,1446.37
45391.10417,1.2,28.98,25.34,1446.42
45391.125,1.28,28.87,25.32,1446.64
45391.14583,1.36,28.77,25.29,1446.85
45391.16667,1.4,28.7,25.27,1446.94
45391.1875,1.48,28.63,25.27,1447.2
45391.20833,1.52,28.57,25.24,1447.29
45391.22917,1.56,28.53,25.24,1447.42
45391.25,1.6,28.5,25.25,1447.55
45391.27083,1.6,28.5,25.25,1447.55
45391.29167,1.6,28.46,25.22,1447.5
45391.3125,1.6,28.5,25.25,1447.55
45391.33333,1.52,28.57,25.24,1447.29
45391.35417,1.52,28.57,25.24,1447.29
45391.375,1.36,28.74,25.27,1446.81
45391.39583,1.28,28.84,25.29,1446.59
45391.41667,1.24,28.88,25.29,1446.46
45391.4375,1.2,28.91,25.29,1446.33
45391.45833,1.16,28.95,25.29,1446.2
45391.47917,1.13,28.98,25.29,1446.07
45391.5,1.13,28.98,25.29,1446.07
45391.52083,1.13,28.98,25.29,1446.07
45391.54167,1.16,28.98,25.32,1446.24
45391.5625,1.2,28.98,25.34,1446.42
45391.58333,1.28,28.91,25.34,1446.68
45391.60417,1.36,28.8,25.32,1446.9
45391.625,1.48,28.67,25.3,1447.24
45391.64583,1.56,28.56,25.27,1447.46
45391.66667,1.67,28.43,25.25,1447.81
45391.6875,1.67,28.39,25.22,1447.76
45391.70833,1.64,28.43,25.22,1447.63
45391.72917,1.67,28.36,25.19,1447.72
45391.75,1.67,28.39,25.22,1447.76
45391.77083,1.67,28.39,25.22,1447.76
45391.79167,1.71,28.39,25.25,1447.94
45391.8125,1.71,28.36,25.22,1447.89
45391.83333,1.71,28.43,25.27,1447.98
45391.85417,1.75,28.46,25.33,1448.19
45391.875,1.71,28.46,25.3,1448.02
