Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.19,28.47,24.92,1445.67
45390.02083,1.19,28.43,24.9,1445.62
45390.04167,1.19,28.47,24.92,1445.67
45390.0625,1.15,28.47,24.9,1445.49
45390.08333,1.19,28.47,24.92,1445.67
45390.10417,1.19,28.47,24.92,1445.67
45390.125,1.15,28.5,24.92,1445.54
45390.14583,1.07,28.61,24.95,1445.31
45390.16667,1.07,28.57,24.92,1445.27
45390.1875,1.03,28.61,24.92,1445.14
45390.20833,1.03,28.64,24.95,1445.18
45390.22917,1.03,28.61,24.92,1445.14
45390.25,1.03,28.61,24.92,1445.14
45390.27083,1.03,28.61,24.92,1445.14
45390.29167,1.03,28.64,24.95,1445.18
45390.3125,1.07,28.61,24.95,1445.31
45390.33333,1.07,28.61,24.95,1445.31
45390.35417,1.11,28.57,24.95,1445.45
45390.375,1.11,28.57,24.95,1445.45
45390.39583,1.15,28.54,24.95,1445.58
45390.41667,1.19,28.5,24.95,1445.71
45390.4375,1.19,28.47,24.92,1445.67
45390.45833,1.19,28.5,24.95,1445.71
45390.47917,1.23,28.47,24.95,1445.85
45390.5,1.27,28.43,24.95,1445.98
45390.52083,1.27,28.43,24.95,1445.98
45390.54167,1.31,28.43,24.98,1446.16
45390.5625,1.35,28.36,24.95,1446.24
45390.58333,1.35,28.36,24.95,1446.24
45390.60417,1.35,28.36,24.95,1446.24
45390.625,1.39,28.33,24.96,1446.38
45390.64583,1.39,28.33,24.96,1446.38
45390.66667,1.39,28.33,24.96,1446.38
45390.6875,1.39,28.33,24.96,1446.38
45390.70833,1.39,28.33,24.96,1446.38
45390.72917,1.39,28.33,24.96,1446.38
45390.75,1.39,28.33,24.96,1446.38
45390.77083,1.39,28.33,24.96,1446.38
45390.79167,1.39,28.33,24.96,1446.38
45390.8125,1.35,28.36,24.95,1446.24
45390.83333,1.35,28.33,24.93,1446.2
45390.85417,1.35,28.36,24.95,1446.24
45390.875,1.35,28.33,24.93,1446.2
45390.89583,1.35,28.33,24.93,1446.2
45390.91667,1.35,28.33,24.93,1446.2
45390.9375,1.35,28.33,24.93,1446.2
45390.95833,1.35,28.33,24.93,1446.2
45390.97917,1.35,28.33,24.93,1446.2
45391,1.35,28.33,24.93,1446.2
45391.02083,1.35,28.33,24.93,1446.2
45391.04167,1.35,28.36,24.95,1446.24
45391.0625,1.35,28.33,24.93,1446.2
45391.08333,1.35,28.33,24.93,1446.2
45391.10417,1.35,28.33,24.93,1446.2
45391.125,1.39,28.29,24.93,1446.33
