Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.33,30.04,26.28,1448.37
45390.02083,1.33,30.04,26.28,1448.37
45390.04167,1.33,30.08,26.31,1448.43
45390.0625,1.29,29.05,25.46,1446.88
45390.08333,1.33,29.91,26.18,1448.2
45390.10417,1.09,29.88,25.97,1447.08
45390.125,0.93,30.07,26,1446.62
45390.14583,0.77,29.87,25.72,1445.63
45390.16667,0.73,30.21,25.96,1445.9
45390.1875,0.73,30.34,26.06,1446.08
45390.20833,0.81,30.05,25.89,1446.05
45390.22917,0.81,30.01,25.86,1445.99
45390.25,0.85,30.14,26,1446.36
45390.27083,0.81,30.23,26.03,1446.28
45390.29167,0.81,30.05,25.89,1446.05
45390.3125,0.81,30.4,26.17,1446.51
45390.33333,0.85,30.19,26.03,1446.41
45390.35417,0.89,30.19,26.07,1446.6
45390.375,0.97,30.03,26,1446.75
45390.39583,1.05,29.05,25.28,1445.8
45390.41667,1.09,29.92,26,1447.14
45390.4375,1.25,29.94,26.14,1447.89
45390.45833,1.21,29.98,26.14,1447.76
45390.47917,1.17,29.76,25.93,1447.28
45390.5,1.48,29.64,26.08,1448.54
45390.52083,1.6,29.83,26.32,1449.32
45390.54167,1.76,29.81,26.42,1450
45390.5625,1.87,29.07,25.91,1449.54
45390.58333,1.95,29.25,26.12,1450.13
45390.60417,1.87,29.41,26.19,1449.99
45390.625,1.76,29.51,26.18,1449.61
45390.64583,1.64,29.45,26.05,1449
45390.66667,1.4,29.45,25.87,1447.95
45390.6875,1.36,29.53,25.9,1447.88
45390.70833,1.29,29.95,26.18,1448.07
45390.72917,1.36,29.62,25.97,1447.99
45390.75,1.4,29.41,25.84,1447.89
45390.77083,1.87,29.45,26.22,1450.04
45390.79167,1.83,29.53,26.25,1449.97
45390.8125,1.83,29.61,26.32,1450.08
45390.83333,1.64,30.21,26.66,1450.01
45390.85417,1.48,30.23,26.55,1449.34
45390.875,1.44,29.89,26.25,1448.7
45390.89583,1.33,29.83,26.11,1448.09
45390.91667,1.25,30.41,26.52,1448.51
45390.9375,1.21,29.85,26.04,1447.59
45390.95833,1.25,29.86,26.07,1447.77
45390.97917,1.29,30.46,26.58,1448.75
45391,1.44,29.72,26.11,1448.47
45391.02083,1.68,30.09,26.59,1450.03
45391.04167,1.72,29.55,26.18,1449.48
45391.0625,1.8,29.65,26.32,1449.96
45391.08333,1.8,29.65,26.32,1449.96
45391.10417,1.76,29.6,26.25,1449.72
45391.125,1.68,29.54,26.15,1449.3
45391.14583,1.64,29.58,26.15,1449.17
45391.16667,1.6,29.61,26.15,1449.04
45391.1875,1.48,28.74,25.36,1447.36
45391.20833,1.36,30.43,26.62,1449.07
45391.22917,1.25,29.99,26.17,1447.94
45391.25,1.17,29.84,26,1447.4
45391.27083,1.13,30.1,26.17,1447.56
45391.29167,1.13,30.48,26.48,1448.07
45391.3125,1.13,30.05,26.14,1447.5
45391.33333,1.13,29.06,25.35,1446.18
45391.35417,1.17,29.97,26.11,1447.57
45391.375,1.17,29.67,25.87,1447.17
45391.39583,1.21,29.89,26.07,1447.64
45391.41667,1.17,29.84,26,1447.4
45391.4375,1.21,29.81,26,1447.53
45391.45833,1.25,30.37,26.48,1448.46
45391.47917,1.25,28.96,25.36,1446.58
45391.5,1.29,30.46,26.58,1448.75
45391.52083,1.29,28.83,25.29,1446.59
45391.54167,1.29,29.56,25.87,1447.56
45391.5625,1.29,28.88,25.32,1446.65
45391.58333,1.29,29.43,25.77,1447.39
45391.60417,1.56,29.48,26.01,1448.69
45391.625,1.44,28.78,25.36,1447.23
45391.64583,1.36,29.96,26.24,1448.44
45391.66667,1.91,30.04,26.73,1451
45391.6875,1.95,30.09,26.8,1451.24
45391.70833,1.91,29.33,26.15,1450.06
45391.72917,1.83,29.06,25.88,1449.36
45391.75,1.91,28.53,25.5,1449
45391.77083,1.83,29.82,26.49,1450.36
45391.79167,1.44,29.55,25.97,1448.25
45391.8125,1.4,29.58,25.97,1448.12
45391.83333,1.4,30.39,26.62,1449.19
45391.85417,1.4,30.14,26.42,1448.85
45391.875,1.4,29.92,26.25,1448.57
45391.89583,1.4,29.8,26.14,1448.4
45391.91667,1.44,29.8,26.18,1448.59
45391.9375,1.44,29.84,26.21,1448.64
45391.95833,1.48,29.25,25.77,1448.04
45391.97917,1.48,29.94,26.32,1448.94
45392,1.48,29.89,26.28,1448.88
45392.02083,1.72,29.08,25.81,1448.86
45392.04167,1.83,29.48,26.22,1449.92
45392.0625,1.87,29.53,26.29,1450.15
45392.08333,1.91,29.54,26.32,1450.34
45392.10417,2.07,29.19,26.16,1450.56
45392.125,2.07,29.73,26.6,1451.28
45392.14583,2.07,29.36,26.29,1450.78
45392.16667,1.95,29.5,26.32,1450.46
45392.1875,1.83,29.78,26.46,1450.31
45392.20833,1.72,29.97,26.52,1450.04
45392.22917,1.6,29.49,26.04,1448.87
45392.25,1.48,29.64,26.08,1448.54
45392.27083,1.44,29.93,26.28,1448.76
45392.29167,1.36,29.62,25.97,1447.99
45392.3125,1.33,29.78,26.07,1448.03
45392.33333,1.4,29.71,26.08,1448.29
45392.35417,1.36,29.87,26.18,1448.33
45392.375,1.36,29.96,26.24,1448.44
45392.39583,1.36,30.17,26.42,1448.73
45392.41667,1.36,30,26.28,1448.5
45392.4375,1.36,29.87,26.18,1448.33
45392.45833,1.44,29.76,26.14,1448.53
45392.47917,1.48,29.59,26.04,1448.49
45392.5,1.64,29.79,26.32,1449.45
45392.52083,1.68,30.05,26.56,1449.97
45392.54167,1.68,30.05,26.56,1449.97
45392.5625,1.95,29.5,26.32,1450.46
45392.58333,2.18,29.38,26.4,1451.32
45392.60417,2.41,29.13,26.37,1452.02
45392.625,2.64,28.18,25.76,1451.79
45392.64583,2.68,28.64,26.17,1452.56
45392.66667,2.64,28.84,26.3,1452.65
45392.6875,3.18,28.62,26.52,1454.68
45392.70833,2.8,28.87,26.44,1453.36
45392.72917,2.61,29.08,26.47,1452.8
45392.75,2.41,28.75,26.06,1451.53
45392.77083,2.26,29.51,26.57,1451.85
45392.79167,1.91,29.54,26.32,1450.34
45392.8125,1.76,29.68,26.32,1449.83
45392.83333,1.68,29.41,26.05,1449.13
45392.85417,2.07,29.4,26.33,1450.84
45392.875,2.07,30.07,26.87,1451.72
45392.89583,1.95,29.67,26.46,1450.68
45392.91667,1.72,29.38,26.05,1449.26
45392.9375,1.91,29.58,26.36,1450.39
45392.95833,2.45,29.22,26.47,1452.3
45392.97917,2.3,29.48,26.57,1451.97
45393,2.18,28.29,25.51,1449.9
45393.02083,2.07,29.15,26.12,1450.51
45393.04167,1.99,29.68,26.49,1450.86
45393.0625,1.87,29.95,26.63,1450.71
45393.08333,1.95,29.67,26.46,1450.68
45393.10417,1.99,29.64,26.46,1450.81
45393.125,1.99,29.47,26.32,1450.59
45393.14583,2.03,28.93,25.92,1450.05
45393.16667,1.99,29.59,26.43,1450.75
45393.1875,1.8,29.52,26.22,1449.79
45393.20833,1.68,29.71,26.28,1449.52
45393.22917,1.52,29.05,25.63,1447.94
45393.25,1.52,29.69,26.15,1448.79
45393.27083,1.68,29.46,26.08,1449.18
45393.29167,1.44,29.59,26.01,1448.3
45393.3125,1.33,29.83,26.11,1448.09
45393.33333,1.44,29.63,26.04,1448.36
45393.35417,1.68,29.54,26.15,1449.3
45393.375,1.6,30.12,26.56,1449.72
45393.39583,1.56,29.78,26.25,1449.08
45393.41667,1.48,29.72,26.14,1448.66
45393.4375,1.52,29.9,26.32,1449.07
45393.45833,1.83,29.57,26.29,1450.03
45393.47917,1.91,30.04,26.73,1451
45393.5,1.83,29.61,26.32,1450.08
45393.52083,1.95,29.55,26.36,1450.52
45393.54167,1.99,29.55,26.39,1450.7
45393.5625,1.8,29.73,26.39,1450.07
45393.58333,1.68,29.67,26.25,1449.46
45393.60417,1.91,29.67,26.43,1450.5
45393.625,2.34,29.24,26.4,1451.82
45393.64583,2.84,28.76,26.37,1453.37
45393.66667,2.95,28.49,26.24,1453.52
45393.6875,3.06,28.36,26.21,1453.84
45393.70833,3.21,28.31,26.28,1454.43
45393.72917,3.36,28.5,26.55,1455.33
45393.75,3.18,28.78,26.65,1454.89
45393.77083,2.99,29.15,26.82,1454.55
45393.79167,3.03,28.92,26.65,1454.41
45393.8125,2.84,29.21,26.75,1453.96
45393.83333,2.72,29.39,26.81,1453.7
45393.85417,2.64,29.05,26.47,1452.92
45393.875,2.18,29.46,26.46,1451.43
45393.89583,2.3,29.36,26.47,1451.81
45393.91667,2.38,29.33,26.5,1452.11
45393.9375,2.14,29.45,26.43,1451.25
45393.95833,2.53,29.27,26.57,1452.71
45393.97917,2.61,28.83,26.27,1452.47
45394,2.53,29.23,26.54,1452.66
45394.02083,2.68,29.34,26.75,1453.47
45394.04167,2.61,28.92,26.34,1452.58
45394.0625,2.45,29.05,26.33,1452.09
45394.08333,2.41,29.13,26.37,1452.02
45394.10417,2.26,29.43,26.5,1451.74
45394.125,2.18,29.42,26.43,1451.38
45394.14583,2.11,29.57,26.5,1451.24
45394.16667,2.18,29.46,26.46,1451.43
45394.1875,2.14,29.54,26.5,1451.36
45394.20833,1.95,29.59,26.39,1450.57
45394.22917,2.03,29.64,26.5,1450.99
45394.25,2.03,28.55,25.61,1449.55
45394.27083,2.03,28.72,25.74,1449.77
45394.29167,1.83,29.99,26.63,1450.58
45394.3125,1.72,30.35,26.83,1450.54
45394.33333,1.64,29.54,26.11,1449.11
45394.35417,1.52,29.81,26.25,1448.95
45394.375,1.36,30.22,26.45,1448.78
45394.39583,1.29,29.95,26.18,1448.07
45394.41667,1.17,30.02,26.14,1447.63
45394.4375,1.13,29.88,26,1447.27
45394.45833,1.13,30.48,26.48,1448.07
45394.47917,1.09,30.22,26.24,1447.54
45394.5,1.05,30.13,26.14,1447.24
45394.52083,1.09,30.31,26.31,1447.66
45394.54167,1.13,30.1,26.17,1447.56
45394.5625,1.33,29.65,25.97,1447.86
45394.58333,1.44,30.4,26.65,1449.38
45394.60417,1.4,30.14,26.42,1448.85
45394.625,1.4,30.65,26.82,1449.53
45394.64583,1.44,30.14,26.45,1449.04
45394.66667,1.36,30.09,26.35,1448.61
45394.6875,1.4,30.09,26.38,1448.8
45394.70833,1.44,29.97,26.31,1448.81
45394.72917,3.18,29.39,27.16,1455.68
45394.75,3.48,29.57,27.54,1457.21
45394.77083,3.85,28.96,27.31,1458.01
45394.79167,3.93,28.23,26.74,1457.37
45394.8125,4.15,28.28,26.94,1458.38
45394.83333,3.7,27.82,26.22,1455.89
45394.85417,3.14,29.1,26.89,1455.14
45394.875,3.1,28.24,26.14,1453.85
45394.89583,2.91,29.67,27.19,1454.9
45394.91667,2.61,29.49,26.81,1453.34
45394.9375,1.68,29.54,26.15,1449.3
45394.95833,1.17,29.72,25.9,1447.23
45394.97917,1.13,30.27,26.31,1447.78
45395,1.09,29.14,25.39,1446.11
45395.02083,1.09,30.13,26.17,1447.43
45395.04167,1.05,30.26,26.24,1447.41
45395.0625,1.09,30.13,26.17,1447.43
45395.08333,1.17,30.58,26.58,1448.37
45395.10417,1.17,30.27,26.34,1447.97
45395.125,1.17,30.06,26.17,1447.68
45395.14583,1.13,30.27,26.31,1447.78
45395.16667,1.13,30.1,26.17,1447.56
45395.1875,1.13,30.27,26.31,1447.78
45395.20833,1.17,30.62,26.62,1448.43
45395.22917,1.13,30.4,26.41,1447.96
45395.25,1.17,30.53,26.55,1448.31
45395.27083,1.17,30.49,26.51,1448.26
45395.29167,1.17,30.06,26.17,1447.68
45395.3125,1.13,30.36,26.38,1447.9
45395.33333,1.09,29.14,25.39,1446.11
45395.35417,1.13,30.44,26.45,1448.01
45395.375,1.21,30.07,26.21,1447.87
45395.39583,1.29,29.22,25.6,1447.11
45395.41667,1.29,30.38,26.52,1448.64
45395.4375,1.33,30.3,26.48,1448.71
45395.45833,1.33,29.48,25.84,1447.63
45395.47917,1.33,30.25,26.45,1448.66
