Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,0.24,17.3,15.35,1426.4
45390.02083,0.32,17.14,15.25,1426.56
45390.04167,0.36,17.2,15.32,1426.83
45390.0625,0.36,17.2,15.32,1426.83
45390.08333,0.32,17.42,15.48,1426.94
45390.10417,0.36,17.48,15.55,1427.21
45390.125,0.36,17.72,15.75,1427.54
45390.14583,0.32,17.7,15.72,1427.32
45390.16667,0.28,17.73,15.72,1427.16
45390.1875,0,17.68,15.55,1425.75
45390.20833,-0.21,17.68,15.44,1424.76
45390.22917,-0.21,17.63,15.41,1424.7
45390.25,-0.17,17.61,15.41,1424.87
45390.27083,-0.17,17.57,15.38,1424.81
45390.29167,-0.12,17.63,15.45,1425.09
45390.3125,0,17.6,15.48,1425.64
45390.33333,0,17.6,15.48,1425.64
45390.35417,0,17.6,15.48,1425.64
45390.375,0.04,17.54,15.45,1425.75
45390.39583,0.04,17.58,15.48,1425.8
45390.41667,0.04,17.54,15.45,1425.75
45390.4375,0.08,17.51,15.45,1425.91
45390.45833,0.04,17.54,15.45,1425.75
45390.47917,0.08,17.51,15.45,1425.91
45390.5,0.16,17.47,15.45,1426.24
45390.52083,0.2,17.45,15.45,1426.4
45390.54167,0.2,17.45,15.45,1426.4
45390.5625,0.24,17.42,15.45,1426.56
45390.58333,0.24,17.42,15.45,1426.56
45390.60417,0.28,17.36,15.42,1426.67
45390.625,-0.12,17.34,15.21,1424.7
45390.64583,-0.17,17.37,15.21,1424.54
45390.66667,-0.12,17.26,15.15,1424.59
45390.6875,-0.04,17.22,15.15,1424.93
45390.70833,0.04,17.05,15.05,1425.09
45390.72917,0.12,17.04,15.08,1425.48
45390.75,0.2,17.12,15.18,1425.97
45390.77083,0.24,17.1,15.18,1426.13
45390.79167,0.36,17.07,15.22,1426.67
45390.8125,0.49,17.09,15.29,1427.27
45390.83333,0.53,17.07,15.29,1427.43
45390.85417,0.53,17.07,15.29,1427.43
45390.875,0.57,16.97,15.22,1427.48
45390.89583,0.61,16.94,15.22,1427.64
45390.91667,0.73,17,15.32,1428.28
45390.9375,0.81,16.96,15.32,1428.6
45390.95833,0.77,17.14,15.46,1428.66
45390.97917,0.57,17.09,15.32,1427.64
45391,0.32,17.06,15.19,1426.46
45391.02083,0.2,17.16,15.22,1426.02
45391.04167,0.16,17.1,15.15,1425.75
45391.0625,0.12,17.13,15.15,1425.58
45391.08333,0.08,17.11,15.12,1425.37
45391.10417,0.04,17.13,15.12,1425.2
45391.125,0,17.11,15.08,1424.98
45391.14583,0.4,17.21,15.35,1427.05
45391.16667,0.32,17.22,15.32,1426.67
45391.1875,0.16,17.19,15.22,1425.86
45391.20833,0.36,17.2,15.32,1426.83
45391.22917,0.4,17.17,15.32,1427
45391.25,0.28,17.16,15.25,1426.4
45391.27083,0.28,17.12,15.22,1426.35
45391.29167,0.45,17.15,15.32,1427.16
45391.3125,0.45,17.15,15.32,1427.16
45391.33333,0.4,17.17,15.32,1427
45391.35417,0.45,17.15,15.32,1427.16
45391.375,0.45,17.15,15.32,1427.16
45391.39583,0.49,17.09,15.29,1427.27
45391.41667,0.53,17.11,15.32,1427.48
45391.4375,0.57,17.13,15.35,1427.7
45391.45833,0.45,17.11,15.29,1427.1
45391.47917,0.24,17.1,15.18,1426.13
45391.5,0.2,17.08,15.15,1425.91
45391.52083,0.12,17.04,15.08,1425.48
45391.54167,0.16,17.06,15.12,1425.69
45391.5625,0.2,17.04,15.12,1425.86
45391.58333,0.24,17.02,15.12,1426.02
45391.60417,0.2,17,15.08,1425.8
45391.625,0.16,16.98,15.05,1425.59
45391.64583,0.12,16.96,15.02,1425.37
