Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45383,0.06,26.95,22.93,1438.44
45383.02083,0.06,26.88,22.88,1438.35
45383.04167,0.1,26.8,22.84,1438.42
45383.0625,0.1,26.75,22.8,1438.36
45383.08333,0.06,26.75,22.78,1438.17
45383.10417,0.1,26.68,22.75,1438.27
45383.125,0.1,26.67,22.74,1438.25
45383.14583,0.1,26.63,22.71,1438.2
45383.16667,0.1,26.6,22.69,1438.16
45383.1875,0.1,26.68,22.75,1438.27
45383.20833,0.1,26.71,22.77,1438.31
45383.22917,0.1,26.63,22.71,1438.2
45383.25,0.1,26.6,22.69,1438.16
45383.27083,0.1,26.6,22.69,1438.16
45383.29167,0.1,26.58,22.67,1438.14
45383.3125,0.1,26.58,22.67,1438.14
45383.33333,0.1,26.57,22.66,1438.12
45383.35417,0.1,26.6,22.69,1438.16
45383.375,0.1,26.58,22.67,1438.14
45383.39583,0.1,26.6,22.69,1438.16
45383.41667,0.1,26.62,22.7,1438.18
45383.4375,0.1,26.62,22.7,1438.18
45383.45833,0.1,26.55,22.65,1438.09
45383.47917,0.14,26.45,22.6,1438.15
45383.5,0.14,26.34,22.51,1438
45383.52083,0.18,26.25,22.47,1438.07
45383.54167,0.18,26.2,22.43,1438.01
45383.5625,0.18,26.2,22.43,1438.01
45383.58333,0.18,26.25,22.47,1438.07
45383.60417,0.14,26.48,22.62,1438.19
45383.625,0.14,26.5,22.63,1438.21
45383.64583,0.14,26.45,22.6,1438.15
45383.66667,0.18,26.36,22.56,1438.22
45383.6875,0.18,26.38,22.57,1438.24
45383.70833,0.18,26.22,22.44,1438.03
45383.72917,0.18,26.25,22.47,1438.07
45383.75,0.18,26.3,22.51,1438.14
45383.77083,0.18,26.36,22.56,1438.22
45383.79167,0.18,26.36,22.56,1438.22
45383.8125,0.1,26.62,22.7,1438.18
45383.83333,0.06,26.79,22.8,1438.22
45383.85417,-0.15,27.09,22.9,1437.67
45383.875,-0.19,27.15,22.91,1437.55
45383.89583,-0.19,27.11,22.89,1437.51
45383.91667,-0.19,27.13,22.9,1437.53
45383.9375,-0.19,27.11,22.89,1437.51
45383.95833,-0.15,27.06,22.87,1437.63
45383.97917,-0.15,27.04,22.86,1437.6
45384,-0.07,26.88,22.79,1437.77
45384.02083,-0.07,26.91,22.82,1437.82
45384.04167,-0.02,26.84,22.79,1437.91
45384.0625,-0.11,26.97,22.83,1437.7
45384.08333,-0.23,27.15,22.89,1437.37
45384.10417,-0.23,27.17,22.9,1437.39
45384.125,-0.23,27.15,22.89,1437.37
45384.14583,-0.11,26.94,22.81,1437.66
45384.16667,-0.07,26.86,22.78,1437.75
45384.1875,-0.02,26.79,22.75,1437.85
45384.20833,-0.02,26.83,22.78,1437.89
45384.22917,0.02,26.77,22.76,1438.01
45384.25,0.02,26.76,22.75,1437.99
45384.27083,0.06,26.72,22.75,1438.13
45384.29167,0.1,26.65,22.72,1438.23
45384.3125,0.06,26.72,22.75,1438.13
45384.33333,0.06,26.72,22.75,1438.13
45384.35417,0.02,26.76,22.75,1437.99
45384.375,-0.15,27.02,22.85,1437.58
45384.39583,-0.23,27.1,22.85,1437.3
45384.41667,-0.23,27.12,22.86,1437.32
45384.4375,-0.23,27.13,22.88,1437.34
45384.45833,-0.23,27.15,22.89,1437.37
45384.47917,-0.15,27.04,22.86,1437.6
45384.5,-0.07,26.9,22.81,1437.8
45384.52083,0.3,26.45,22.7,1438.9
45384.54167,0.46,26.29,22.69,1439.44
