Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.1,27.12,23.78,1443.47
45390.02083,1.1,27.08,23.76,1443.42
45390.04167,1.1,27.08,23.76,1443.42
45390.0625,1.06,27.08,23.73,1443.24
45390.08333,1.02,27.05,23.67,1443.01
45390.10417,0.98,27.08,23.67,1442.88
45390.125,0.98,27.08,23.67,1442.88
45390.14583,0.98,27.08,23.67,1442.88
45390.16667,0.98,27.12,23.7,1442.92
45390.1875,1.02,27.08,23.7,1443.06
45390.20833,1.06,27.08,23.73,1443.24
45390.22917,1.02,27.08,23.7,1443.06
45390.25,1.02,27.12,23.73,1443.1
45390.27083,1.06,27.08,23.73,1443.24
45390.29167,1.06,27.05,23.7,1443.19
45390.3125,1.06,27.08,23.73,1443.24
45390.33333,1.1,27.08,23.76,1443.42
45390.35417,1.1,27.08,23.76,1443.42
45390.375,1.14,27.05,23.76,1443.56
45390.39583,1.18,27.05,23.78,1443.74
45390.41667,1.18,27.05,23.78,1443.74
45390.4375,1.18,27.05,23.78,1443.74
45390.45833,1.18,27.02,23.76,1443.69
45390.47917,1.18,27.02,23.76,1443.69
45390.5,1.18,26.98,23.73,1443.65
45390.52083,1.18,26.98,23.73,1443.65
45390.54167,1.14,27.02,23.73,1443.51
45390.5625,1.14,27.02,23.73,1443.51
45390.58333,1.14,27.02,23.73,1443.51
45390.60417,1.14,27.02,23.73,1443.51
45390.625,1.14,27.02,23.73,1443.51
45390.64583,1.14,27.02,23.73,1443.51
45390.66667,1.14,27.02,23.73,1443.51
45390.6875,1.14,27.02,23.73,1443.51
45390.70833,1.14,27.02,23.73,1443.51
45390.72917,1.18,27.02,23.76,1443.69
45390.75,1.22,26.98,23.76,1443.83
45390.77083,1.22,27.02,23.78,1443.87
45390.79167,1.22,27.02,23.78,1443.87
45390.8125,1.22,26.98,23.76,1443.83
45390.83333,1.22,26.98,23.76,1443.83
45390.85417,1.22,26.98,23.76,1443.83
45390.875,1.22,26.98,23.76,1443.83
45390.89583,1.22,26.98,23.76,1443.83
45390.91667,1.18,26.98,23.73,1443.65
45390.9375,1.18,26.98,23.73,1443.65
45390.95833,1.18,26.98,23.73,1443.65
45390.97917,1.18,26.98,23.73,1443.65
45391,1.22,26.95,23.73,1443.78
45391.02083,1.22,26.95,23.73,1443.78
45391.04167,1.22,26.95,23.73,1443.78
45391.0625,1.26,26.95,23.76,1443.96
45391.08333,1.26,26.95,23.76,1443.96
45391.10417,1.22,26.98,23.76,1443.83
45391.125,1.22,26.98,23.76,1443.83
45391.14583,1.22,26.98,23.76,1443.83
45391.16667,1.22,26.98,23.76,1443.83
45391.1875,1.22,26.95,23.73,1443.78
45391.20833,1.22,26.95,23.73,1443.78
45391.22917,1.18,26.98,23.73,1443.65
45391.25,1.18,26.95,23.7,1443.6
45391.27083,1.18,26.95,23.7,1443.6
45391.29167,1.1,26.98,23.67,1443.29
45391.3125,0.98,27.05,23.64,1442.83
45391.33333,0.98,27.05,23.64,1442.83
45391.35417,0.98,27.05,23.64,1442.83
45391.375,0.94,27.12,23.67,1442.74
45391.39583,0.94,27.12,23.67,1442.74
45391.41667,0.94,27.12,23.67,1442.74
45391.4375,0.98,27.08,23.67,1442.88
45391.45833,0.98,27.08,23.67,1442.88
45391.47917,0.98,27.05,23.64,1442.83
45391.5,0.98,27.05,23.64,1442.83
45391.52083,0.98,27.05,23.64,1442.83
45391.54167,0.98,27.08,23.67,1442.88
45391.5625,1.02,27.05,23.67,1443.01
45391.58333,1.06,27.02,23.67,1443.15
45391.60417,1.02,27.05,23.67,1443.01
45391.625,1.06,27.02,23.67,1443.15
45391.64583,1.1,26.98,23.67,1443.29
45391.66667,1.1,26.98,23.67,1443.29
45391.6875,1.14,26.95,23.67,1443.42
45391.70833,1.14,26.95,23.67,1443.42
45391.72917,1.14,26.95,23.67,1443.42
45391.75,1.14,26.95,23.67,1443.42
45391.77083,1.26,26.95,23.76,1443.96
45391.79167,1.22,26.95,23.73,1443.78
45391.8125,1.14,26.98,23.7,1443.47
45391.83333,1.1,26.98,23.67,1443.29
45391.85417,1.1,26.98,23.67,1443.29
45391.875,1.1,26.98,23.67,1443.29
45391.89583,1.14,26.98,23.7,1443.47
45391.91667,1.18,26.98,23.73,1443.65
45391.9375,1.22,26.98,23.76,1443.83
45391.95833,1.18,27.05,23.78,1443.74
45391.97917,1.18,27.05,23.78,1443.74
45392,1.18,27.05,23.78,1443.74
45392.02083,1.18,27.02,23.76,1443.69
45392.04167,1.18,27.02,23.76,1443.69
45392.0625,1.18,27.02,23.76,1443.69
45392.08333,1.18,26.98,23.73,1443.65
45392.10417,1.18,26.98,23.73,1443.65
45392.125,1.22,26.95,23.73,1443.78
45392.14583,1.22,26.92,23.7,1443.74
45392.16667,1.22,26.95,23.73,1443.78
45392.1875,1.22,26.92,23.7,1443.74
45392.20833,1.22,26.92,23.7,1443.74
45392.22917,1.22,26.92,23.7,1443.74
45392.25,1.22,26.95,23.73,1443.78
45392.27083,1.22,26.95,23.73,1443.78
45392.29167,1.22,26.95,23.73,1443.78
45392.3125,1.22,26.95,23.73,1443.78
45392.33333,1.22,26.95,23.73,1443.78
45392.35417,1.22,26.95,23.73,1443.78
45392.375,1.22,26.95,23.73,1443.78
45392.39583,1.14,26.95,23.67,1443.42
45392.41667,1.06,26.98,23.65,1443.1
45392.4375,1.06,26.98,23.65,1443.1
45392.45833,1.02,27.02,23.64,1442.97
45392.47917,1.02,27.02,23.64,1442.97
45392.5,1.06,26.98,23.65,1443.1
45392.52083,1.06,26.98,23.65,1443.1
45392.54167,1.06,27.02,23.67,1443.15
45392.5625,1.06,27.02,23.67,1443.15
45392.58333,1.1,26.98,23.67,1443.29
45392.60417,1.1,26.98,23.67,1443.29
45392.625,1.1,26.98,23.67,1443.29
45392.64583,1.06,27.02,23.67,1443.15
45392.66667,1.06,27.02,23.67,1443.15
45392.6875,1.06,26.98,23.65,1443.1
45392.70833,1.06,26.98,23.65,1443.1
45392.72917,1.02,27.02,23.64,1442.97
45392.75,1.02,27.02,23.64,1442.97
45392.77083,0.98,27.02,23.62,1442.79
45392.79167,1.06,27.02,23.67,1443.15
45392.8125,1.06,27.02,23.67,1443.15
45392.83333,1.06,27.02,23.67,1443.15
45392.85417,0.94,26.98,23.56,1442.56
45392.875,0.82,27.05,23.53,1442.1
45392.89583,0.78,27.08,23.53,1441.96
45392.91667,0.78,27.08,23.53,1441.96
45392.9375,0.78,27.12,23.56,1442.01
45392.95833,0.9,27.12,23.64,1442.56
45392.97917,1.14,27.05,23.76,1443.56
45393,1.14,27.02,23.73,1443.51
45393.02083,1.26,26.98,23.78,1444.01
45393.04167,1.3,26.98,23.81,1444.19
45393.0625,1.3,26.98,23.81,1444.19
45393.08333,1.22,27.02,23.78,1443.87
45393.10417,1.18,26.98,23.73,1443.65
45393.125,1.18,26.98,23.73,1443.65
45393.14583,1.18,26.98,23.73,1443.65
45393.16667,1.18,26.98,23.73,1443.65
45393.1875,1.14,26.98,23.7,1443.47
45393.20833,1.1,26.98,23.67,1443.29
45393.22917,1.1,26.98,23.67,1443.29
45393.25,1.14,26.95,23.67,1443.42
45393.27083,1.02,27.02,23.64,1442.97
45393.29167,1.06,27.02,23.67,1443.15
45393.3125,1.14,26.98,23.7,1443.47
45393.33333,1.1,26.98,23.67,1443.29
45393.35417,1.02,27.02,23.64,1442.97
45393.375,0.98,27.02,23.62,1442.79
45393.39583,0.94,26.98,23.56,1442.56
45393.41667,0.86,27.05,23.56,1442.28
45393.4375,0.82,27.05,23.53,1442.1
45393.45833,0.78,27.05,23.5,1441.92
45393.47917,0.78,27.08,23.53,1441.96
45393.5,0.78,27.08,23.53,1441.96
45393.52083,0.78,27.12,23.56,1442.01
45393.54167,0.86,27.05,23.56,1442.28
45393.5625,0.9,27.01,23.56,1442.42
45393.58333,0.9,27.01,23.56,1442.42
45393.60417,0.9,27.01,23.56,1442.42
45393.625,0.94,27.01,23.59,1442.6
45393.64583,0.94,26.98,23.56,1442.56
45393.66667,0.98,26.98,23.59,1442.74
45393.6875,0.98,26.95,23.56,1442.69
45393.70833,0.98,26.95,23.56,1442.69
45393.72917,0.94,26.98,23.56,1442.56
45393.75,0.9,26.98,23.53,1442.37
45393.77083,0.86,27.05,23.56,1442.28
45393.79167,0.9,27.01,23.56,1442.42
45393.8125,0.9,27.01,23.56,1442.42
45393.83333,0.94,27.01,23.59,1442.6
45393.85417,0.98,26.98,23.59,1442.74
45393.875,0.94,26.98,23.56,1442.56
45393.89583,0.94,26.98,23.56,1442.56
45393.91667,0.9,27.01,23.56,1442.42
45393.9375,0.86,27.01,23.53,1442.24
45393.95833,0.82,27.05,23.53,1442.1
45393.97917,0.82,27.05,23.53,1442.1
45394,0.82,27.05,23.53,1442.1
45394.02083,0.82,27.05,23.53,1442.1
45394.04167,0.86,27.05,23.56,1442.28
45394.0625,0.9,27.01,23.56,1442.42
45394.08333,0.94,26.98,23.56,1442.56
45394.10417,0.94,26.98,23.56,1442.56
45394.125,0.98,27.02,23.62,1442.79
45394.14583,0.98,26.98,23.59,1442.74
45394.16667,0.94,26.98,23.56,1442.56
45394.1875,0.9,27.01,23.56,1442.42
45394.20833,0.9,26.98,23.53,1442.37
45394.22917,0.9,26.98,23.53,1442.37
45394.25,0.9,26.98,23.53,1442.37
45394.27083,0.9,26.98,23.53,1442.37
45394.29167,0.9,27.01,23.56,1442.42
45394.3125,0.9,27.01,23.56,1442.42
45394.33333,0.9,26.98,23.53,1442.37
45394.35417,0.9,26.98,23.53,1442.37
45394.375,0.9,26.98,23.53,1442.37
45394.39583,0.9,26.98,23.53,1442.37
45394.41667,0.9,27.01,23.56,1442.42
45394.4375,0.9,27.01,23.56,1442.42
45394.45833,0.9,27.01,23.56,1442.42
45394.47917,0.9,27.01,23.56,1442.42
45394.5,0.94,26.98,23.56,1442.56
45394.52083,0.94,26.98,23.56,1442.56
45394.54167,0.98,26.95,23.56,1442.69
45394.5625,0.98,26.95,23.56,1442.69
45394.58333,0.98,26.95,23.56,1442.69
45394.60417,0.98,26.95,23.56,1442.69
45394.625,0.98,26.91,23.54,1442.65
45394.64583,0.98,26.91,23.54,1442.65
45394.66667,0.98,26.95,23.56,1442.69
45394.6875,1.02,26.91,23.56,1442.83
45394.70833,0.98,26.91,23.54,1442.65
45394.72917,0.98,26.91,23.54,1442.65
45394.75,0.86,26.98,23.51,1442.19
45394.77083,0.82,26.98,23.48,1442.01
45394.79167,0.82,26.94,23.45,1441.96
45394.8125,0.82,26.94,23.45,1441.96
45394.83333,0.78,26.98,23.45,1441.82
45394.85417,0.78,26.98,23.45,1441.82
45394.875,0.78,26.98,23.45,1441.82
45394.89583,0.86,26.95,23.48,1442.15
45394.91667,0.82,26.98,23.48,1442.01
45394.9375,0.78,26.98,23.45,1441.82
45394.95833,0.78,26.98,23.45,1441.82
45394.97917,0.78,26.98,23.45,1441.82
45395,0.9,26.95,23.51,1442.33
45395.02083,0.94,26.91,23.51,1442.47
45395.04167,0.9,26.91,23.48,1442.28
45395.0625,0.86,26.91,23.45,1442.1
45395.08333,0.9,26.91,23.48,1442.28
45395.10417,0.9,26.91,23.48,1442.28
45395.125,0.9,26.95,23.51,1442.33
45395.14583,0.94,26.88,23.48,1442.42
45395.16667,0.94,26.91,23.51,1442.47
45395.1875,0.94,26.88,23.48,1442.42
45395.20833,0.98,26.84,23.48,1442.56
45395.22917,0.98,26.84,23.48,1442.56
45395.25,0.98,26.84,23.48,1442.56
45395.27083,0.98,26.84,23.48,1442.56
45395.29167,0.94,26.84,23.45,1442.38
45395.3125,0.9,26.88,23.45,1442.24
45395.33333,0.82,26.88,23.4,1441.87
45395.35417,0.82,26.91,23.42,1441.92
45395.375,0.78,26.91,23.4,1441.73
45395.39583,0.74,26.91,23.37,1441.55
45395.41667,0.74,26.91,23.37,1441.55
45395.4375,0.74,26.91,23.37,1441.55
45395.45833,0.74,26.94,23.39,1441.59
45395.47917,0.78,26.91,23.4,1441.73
45395.5,0.62,26.94,23.31,1441.04
45395.52083,0.58,26.98,23.31,1440.9
45395.54167,0.54,26.98,23.28,1440.71
45395.5625,0.58,26.98,23.31,1440.9
45395.58333,0.58,26.98,23.31,1440.9
45395.60417,0.62,26.98,23.34,1441.09
45395.625,0.66,26.94,23.34,1441.22
45395.64583,0.7,26.91,23.34,1441.36
45395.66667,0.7,26.91,23.34,1441.36
45395.6875,0.66,26.94,23.34,1441.22
45395.70833,0.7,26.91,23.34,1441.36
45395.72917,0.7,26.91,23.34,1441.36
45395.75,0.7,26.91,23.34,1441.36
45395.77083,0.74,26.88,23.34,1441.5
45395.79167,0.74,26.88,23.34,1441.5
