Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.99,25.93,23.43,1445.92
45390.02083,2.03,25.85,23.39,1446
45390.04167,2.03,25.81,23.35,1445.94
45390.0625,2.03,25.81,23.35,1445.94
45390.08333,2.07,25.78,23.36,1446.07
45390.10417,2.03,25.76,23.32,1445.88
45390.125,2.03,25.81,23.35,1445.94
45390.14583,1.99,25.84,23.35,1445.8
45390.16667,1.99,25.84,23.35,1445.8
45390.1875,1.99,25.79,23.32,1445.74
45390.20833,2.03,25.76,23.32,1445.88
45390.22917,2.07,25.73,23.32,1446.01
45390.25,2.07,25.73,23.32,1446.01
45390.27083,2.11,25.7,23.32,1446.14
45390.29167,2.07,25.78,23.36,1446.07
45390.3125,1.99,25.84,23.35,1445.8
45390.33333,1.99,25.88,23.39,1445.86
45390.35417,1.99,25.88,23.39,1445.86
45390.375,1.95,25.92,23.39,1445.73
45390.39583,1.95,25.96,23.43,1445.79
45390.41667,1.95,25.96,23.43,1445.79
45390.4375,1.95,25.96,23.43,1445.79
45390.45833,1.95,25.96,23.43,1445.79
45390.47917,1.95,25.96,23.43,1445.79
45390.5,1.99,25.93,23.43,1445.92
45390.52083,1.99,25.88,23.39,1445.86
45390.54167,2.03,25.81,23.35,1445.94
45390.5625,2.11,25.7,23.32,1446.14
45390.58333,2.11,25.75,23.36,1446.2
45390.60417,2.11,25.7,23.32,1446.14
45390.625,2.07,25.73,23.32,1446.01
45390.64583,2.03,25.76,23.32,1445.88
45390.66667,2.03,25.76,23.32,1445.88
45390.6875,2.03,25.76,23.32,1445.88
45390.70833,2.03,25.76,23.32,1445.88
45390.72917,2.03,25.76,23.32,1445.88
45390.75,2.07,25.73,23.32,1446.01
45390.77083,2.15,25.72,23.36,1446.33
45390.79167,2.26,25.72,23.43,1446.85
45390.8125,2.22,25.75,23.43,1446.72
45390.83333,2.22,25.79,23.47,1446.78
45390.85417,2.18,25.87,23.51,1446.71
45390.875,2.18,25.91,23.55,1446.76
45390.89583,2.18,25.91,23.55,1446.76
45390.91667,2.11,25.97,23.54,1446.5
45390.9375,2.11,25.97,23.54,1446.5
45390.95833,2.11,25.97,23.54,1446.5
45390.97917,2.11,25.97,23.54,1446.5
45391,2.18,25.91,23.55,1446.76
45391.02083,2.18,25.87,23.51,1446.71
45391.04167,2.18,25.82,23.47,1446.65
45391.0625,2.22,25.75,23.43,1446.72
45391.08333,2.26,25.72,23.43,1446.85
45391.10417,2.22,25.7,23.4,1446.66
45391.125,2.18,25.73,23.4,1446.53
45391.14583,2.18,25.69,23.36,1446.47
45391.16667,2.15,25.72,23.36,1446.33
45391.1875,2.15,25.72,23.36,1446.33
45391.20833,2.15,25.72,23.36,1446.33
45391.22917,2.15,25.72,23.36,1446.33
45391.25,2.18,25.69,23.36,1446.47
45391.27083,2.22,25.7,23.4,1446.66
45391.29167,2.22,25.7,23.4,1446.66
45391.3125,2.22,25.75,23.43,1446.72
45391.33333,2.18,25.82,23.47,1446.65
45391.35417,2.18,25.82,23.47,1446.65
45391.375,2.11,25.88,23.47,1446.38
45391.39583,2.07,25.96,23.51,1446.31
45391.41667,2.03,25.99,23.51,1446.18
45391.4375,2.03,25.99,23.51,1446.18
45391.45833,2.03,25.99,23.51,1446.18
45391.47917,2.03,25.99,23.51,1446.18
45391.5,2.03,25.99,23.51,1446.18
45391.52083,2.03,26.04,23.54,1446.24
45391.54167,2.07,25.96,23.51,1446.31
45391.5625,2.11,25.93,23.51,1446.44
45391.58333,2.15,25.9,23.51,1446.57
45391.60417,2.18,25.82,23.47,1446.65
45391.625,2.18,25.82,23.47,1446.65
45391.64583,2.18,25.82,23.47,1446.65
45391.66667,2.18,25.82,23.47,1446.65
45391.6875,2.18,25.78,23.43,1446.59
45391.70833,2.18,25.78,23.43,1446.59
45391.72917,2.15,25.81,23.43,1446.45
45391.75,2.18,25.78,23.43,1446.59
45391.77083,2.18,25.78,23.43,1446.59
45391.79167,2.18,25.82,23.47,1446.65
45391.8125,2.22,25.79,23.47,1446.78
45391.83333,2.22,25.84,23.51,1446.84
45391.85417,2.26,25.85,23.55,1447.03
45391.875,2.22,25.88,23.55,1446.9
45391.89583,2.22,25.88,23.55,1446.9
45391.91667,2.22,25.88,23.55,1446.9
45391.9375,2.18,25.91,23.55,1446.76
45391.95833,2.18,25.91,23.55,1446.76
45391.97917,2.18,25.91,23.55,1446.76
45392,2.18,25.91,23.55,1446.76
45392.02083,2.18,25.91,23.55,1446.76
45392.04167,2.22,25.88,23.55,1446.9
45392.0625,2.22,25.84,23.51,1446.84
45392.08333,2.22,25.84,23.51,1446.84
45392.10417,2.22,25.79,23.47,1446.78
45392.125,2.18,25.82,23.47,1446.65
45392.14583,2.18,25.82,23.47,1446.65
45392.16667,2.18,25.78,23.43,1446.59
45392.1875,2.18,25.78,23.43,1446.59
45392.20833,2.15,25.76,23.39,1446.39
45392.22917,2.15,25.76,23.39,1446.39
45392.25,2.15,25.76,23.39,1446.39
45392.27083,2.15,25.76,23.39,1446.39
45392.29167,2.18,25.73,23.4,1446.53
45392.3125,2.15,25.76,23.39,1446.39
45392.33333,2.18,25.78,23.43,1446.59
45392.35417,2.18,25.78,23.43,1446.59
45392.375,2.18,25.82,23.47,1446.65
45392.39583,2.18,25.82,23.47,1446.65
45392.41667,2.15,25.9,23.51,1446.57
45392.4375,2.15,25.9,23.51,1446.57
45392.45833,2.11,25.97,23.54,1446.5
45392.47917,2.11,25.97,23.54,1446.5
45392.5,2.11,25.97,23.54,1446.5
45392.52083,2.11,25.97,23.54,1446.5
45392.54167,2.15,25.94,23.55,1446.63
45392.5625,2.22,25.88,23.55,1446.9
45392.58333,2.22,25.84,23.51,1446.84
45392.60417,2.22,25.79,23.47,1446.78
45392.625,2.18,25.82,23.47,1446.65
45392.64583,2.22,25.75,23.43,1446.72
45392.66667,2.22,25.75,23.43,1446.72
45392.6875,2.22,25.75,23.43,1446.72
45392.70833,2.22,25.75,23.43,1446.72
45392.72917,2.22,25.75,23.43,1446.72
45392.75,2.18,25.78,23.43,1446.59
45392.77083,2.18,25.78,23.43,1446.59
45392.79167,2.26,25.76,23.47,1446.91
45392.8125,2.34,25.75,23.51,1447.23
45392.83333,2.42,25.73,23.55,1447.55
45392.85417,2.42,25.73,23.55,1447.55
45392.875,2.42,25.73,23.55,1447.55
45392.89583,2.42,25.73,23.55,1447.55
45392.91667,2.38,25.81,23.59,1447.48
45392.9375,2.38,25.81,23.59,1447.48
45392.95833,2.34,25.84,23.59,1447.35
45392.97917,2.34,25.84,23.59,1447.35
45393,2.34,25.84,23.59,1447.35
45393.02083,2.34,25.84,23.59,1447.35
45393.04167,2.34,25.84,23.59,1447.35
45393.0625,2.38,25.85,23.63,1447.54
45393.08333,2.38,25.76,23.55,1447.42
45393.10417,2.38,25.76,23.55,1447.42
45393.125,2.42,25.73,23.55,1447.55
45393.14583,2.34,25.75,23.51,1447.23
45393.16667,2.34,25.7,23.47,1447.17
45393.1875,2.34,25.75,23.51,1447.23
45393.20833,2.3,25.78,23.51,1447.1
45393.22917,2.26,25.76,23.47,1446.91
45393.25,2.26,25.76,23.47,1446.91
45393.27083,2.22,25.79,23.47,1446.78
45393.29167,2.26,25.76,23.47,1446.91
45393.3125,2.26,25.76,23.47,1446.91
45393.33333,2.3,25.73,23.47,1447.04
45393.35417,2.3,25.73,23.47,1447.04
45393.375,2.38,25.67,23.47,1447.3
45393.39583,2.42,25.69,23.51,1447.49
45393.41667,2.42,25.73,23.55,1447.55
45393.4375,2.42,25.73,23.55,1447.55
45393.45833,2.42,25.73,23.55,1447.55
45393.47917,2.38,25.76,23.55,1447.42
45393.5,2.38,25.81,23.59,1447.48
45393.52083,2.38,25.81,23.59,1447.48
45393.54167,2.38,25.76,23.55,1447.42
45393.5625,2.42,25.78,23.59,1447.61
45393.58333,2.42,25.78,23.59,1447.61
45393.60417,2.45,25.75,23.59,1447.74
45393.625,2.49,25.67,23.55,1447.81
45393.64583,2.45,25.7,23.55,1447.68
45393.66667,2.45,25.7,23.55,1447.68
45393.6875,2.42,25.73,23.55,1447.55
45393.70833,2.49,25.72,23.59,1447.87
45393.72917,2.45,25.75,23.59,1447.74
45393.75,2.42,25.73,23.55,1447.55
45393.77083,2.42,25.73,23.55,1447.55
45393.79167,2.42,25.73,23.55,1447.55
45393.8125,2.42,25.73,23.55,1447.55
45393.83333,2.42,25.73,23.55,1447.55
45393.85417,2.49,25.72,23.59,1447.87
45393.875,2.53,25.73,23.63,1448.06
45393.89583,2.53,25.64,23.55,1447.94
45393.91667,2.57,25.66,23.59,1448.13
45393.9375,2.61,25.67,23.63,1448.32
45393.95833,2.65,25.69,23.67,1448.51
45393.97917,2.61,25.67,23.63,1448.32
45394,2.61,25.67,23.63,1448.32
45394.02083,2.57,25.7,23.63,1448.19
45394.04167,2.57,25.7,23.63,1448.19
45394.0625,2.57,25.7,23.63,1448.19
45394.08333,2.61,25.72,23.67,1448.38
45394.10417,2.61,25.67,23.63,1448.32
45394.125,2.57,25.66,23.59,1448.13
45394.14583,2.57,25.61,23.55,1448.07
45394.16667,2.53,25.69,23.59,1448
45394.1875,2.53,25.73,23.63,1448.06
45394.20833,2.49,25.76,23.63,1447.93
45394.22917,2.45,25.75,23.59,1447.74
45394.25,2.42,25.73,23.55,1447.55
45394.27083,2.42,25.73,23.55,1447.55
45394.29167,2.42,25.73,23.55,1447.55
45394.3125,2.42,25.73,23.55,1447.55
45394.33333,2.42,25.73,23.55,1447.55
45394.35417,2.42,25.73,23.55,1447.55
45394.375,2.45,25.75,23.59,1447.74
45394.39583,2.49,25.76,23.63,1447.93
45394.41667,2.57,25.7,23.63,1448.19
45394.4375,2.61,25.67,23.63,1448.32
45394.45833,2.61,25.63,23.59,1448.26
45394.47917,2.61,25.63,23.59,1448.26
45394.5,2.61,25.67,23.63,1448.32
45394.52083,2.61,25.67,23.63,1448.32
45394.54167,2.61,25.63,23.59,1448.26
45394.5625,2.65,25.64,23.63,1448.45
45394.58333,2.61,25.63,23.59,1448.26
45394.60417,2.65,25.64,23.63,1448.45
45394.625,2.61,25.67,23.63,1448.32
45394.64583,2.61,25.67,23.63,1448.32
45394.66667,2.57,25.7,23.63,1448.19
45394.6875,2.53,25.73,23.63,1448.06
45394.70833,2.53,25.73,23.63,1448.06
45394.72917,2.49,25.76,23.63,1447.93
45394.75,2.49,25.76,23.63,1447.93
45394.77083,2.49,25.76,23.63,1447.93
45394.79167,2.49,25.76,23.63,1447.93
45394.8125,2.49,25.76,23.63,1447.93
45394.83333,2.49,25.76,23.63,1447.93
45394.85417,2.49,25.76,23.63,1447.93
45394.875,2.49,25.76,23.63,1447.93
45394.89583,2.49,25.76,23.63,1447.93
45394.91667,2.53,25.73,23.63,1448.06
45394.9375,2.57,25.75,23.67,1448.25
45394.95833,2.65,25.73,23.71,1448.57
45394.97917,2.65,25.73,23.71,1448.57
45395,2.68,25.7,23.71,1448.7
45395.02083,2.68,25.7,23.71,1448.7
45395.04167,2.68,25.75,23.74,1448.76
45395.0625,2.68,25.75,23.74,1448.76
45395.08333,2.68,25.75,23.74,1448.76
45395.10417,2.68,25.75,23.74,1448.76
45395.125,2.65,25.73,23.71,1448.57
45395.14583,2.65,25.73,23.71,1448.57
45395.16667,2.61,25.76,23.7,1448.44
45395.1875,2.57,25.79,23.7,1448.31
45395.20833,2.61,25.81,23.74,1448.5
45395.22917,2.61,25.85,23.78,1448.56
45395.25,2.57,25.88,23.78,1448.43
45395.27083,2.57,25.88,23.78,1448.43
45395.29167,2.57,25.88,23.78,1448.43
45395.3125,2.61,25.9,23.82,1448.61
45395.33333,2.61,25.9,23.82,1448.61
45395.35417,2.65,25.87,23.82,1448.74
45395.375,2.65,25.87,23.82,1448.74
45395.39583,2.65,25.82,23.78,1448.69
45395.41667,2.65,25.82,23.78,1448.69
45395.4375,2.65,25.82,23.78,1448.69
45395.45833,2.68,25.79,23.78,1448.81
45395.47917,2.72,25.76,23.78,1448.94
45395.5,2.72,25.76,23.78,1448.94
45395.52083,2.76,25.78,23.82,1449.13
45395.54167,2.76,25.78,23.82,1449.13
45395.5625,2.76,25.78,23.82,1449.13
45395.58333,2.8,25.75,23.82,1449.26
45395.60417,2.8,25.75,23.82,1449.26
45395.625,2.76,25.78,23.82,1449.13
45395.64583,2.8,25.79,23.86,1449.32
45395.66667,2.8,25.79,23.86,1449.32
45395.6875,2.8,25.79,23.86,1449.32
45395.70833,2.8,25.79,23.86,1449.32
45395.72917,2.8,25.79,23.86,1449.32
45395.75,2.76,25.82,23.86,1449.19
45395.77083,2.8,25.79,23.86,1449.32
45395.79167,2.8,25.84,23.9,1449.38
45395.8125,2.8,25.84,23.9,1449.38
45395.83333,2.84,25.85,23.93,1449.56
45395.85417,2.84,25.85,23.93,1449.56
45395.875,2.84,25.85,23.93,1449.56
45395.89583,2.8,25.84,23.9,1449.38
45395.91667,2.8,25.88,23.93,1449.43
45395.9375,2.8,25.84,23.9,1449.38
45395.95833,2.8,25.88,23.93,1449.43
45395.97917,2.84,25.85,23.93,1449.56
45396,2.84,25.85,23.93,1449.56
45396.02083,2.87,25.86,23.97,1449.75
45396.04167,2.91,25.88,24.01,1449.93
45396.0625,2.91,25.84,23.97,1449.88
45396.08333,2.91,25.84,23.97,1449.88
45396.10417,2.91,25.84,23.97,1449.88
45396.125,2.87,25.86,23.97,1449.75
45396.14583,2.87,25.86,23.97,1449.75
45396.16667,2.87,25.86,23.97,1449.75
45396.1875,2.84,25.85,23.93,1449.56
45396.20833,2.84,25.85,23.93,1449.56
45396.22917,2.84,25.85,23.93,1449.56
45396.25,2.84,25.85,23.93,1449.56
45396.27083,2.8,25.88,23.93,1449.43
45396.29167,2.8,25.92,23.97,1449.49
45396.3125,2.84,25.85,23.93,1449.56
45396.33333,2.84,25.85,23.93,1449.56
45396.35417,2.84,25.89,23.97,1449.62
45396.375,2.84,25.89,23.97,1449.62
45396.39583,2.84,25.85,23.93,1449.56
45396.41667,2.84,25.85,23.93,1449.56
45396.4375,2.84,25.85,23.93,1449.56
45396.45833,2.87,25.86,23.97,1449.75
45396.47917,2.87,25.86,23.97,1449.75
45396.5,2.91,25.84,23.97,1449.88
45396.52083,2.95,25.85,24.01,1450.06
45396.54167,2.99,25.82,24.01,1450.19
45396.5625,3.03,25.79,24.01,1450.32
45396.58333,3.03,25.79,24.01,1450.32
45396.60417,3.03,25.79,24.01,1450.32
45396.625,3.03,25.79,24.01,1450.32
45396.64583,3.03,25.79,24.01,1450.32
45396.66667,3.03,25.79,24.01,1450.32
45396.6875,3.03,25.79,24.01,1450.32
45396.70833,3.03,25.84,24.05,1450.37
45396.72917,2.99,25.86,24.05,1450.25
45396.75,2.99,25.86,24.05,1450.25
45396.77083,2.99,25.82,24.01,1450.19
45396.79167,2.95,25.85,24.01,1450.06
45396.8125,2.95,25.85,24.01,1450.06
45396.83333,2.95,25.85,24.01,1450.06
45396.85417,2.95,25.85,24.01,1450.06
45396.875,2.95,25.85,24.01,1450.06
45396.89583,2.95,25.85,24.01,1450.06
45396.91667,2.95,25.85,24.01,1450.06
45396.9375,2.99,25.82,24.01,1450.19
45396.95833,2.99,25.86,24.05,1450.25
45396.97917,2.99,25.86,24.05,1450.25
45397,2.99,25.82,24.01,1450.19
45397.02083,2.99,25.86,24.05,1450.25
45397.04167,3.03,25.84,24.05,1450.37
45397.0625,3.03,25.84,24.05,1450.37
45397.08333,3.06,25.85,24.09,1450.56
45397.10417,3.06,25.85,24.09,1450.56
45397.125,3.06,25.85,24.09,1450.56
45397.14583,3.06,25.85,24.09,1450.56
45397.16667,3.1,25.82,24.09,1450.68
45397.1875,3.06,25.85,24.09,1450.56
45397.20833,3.06,25.85,24.09,1450.56
45397.22917,3.03,25.88,24.09,1450.43
45397.25,3.03,25.84,24.05,1450.37
45397.27083,3.03,25.84,24.05,1450.37
45397.29167,2.99,25.86,24.05,1450.25
45397.3125,2.99,25.86,24.05,1450.25
45397.33333,2.99,25.82,24.01,1450.19
45397.35417,2.95,25.85,24.01,1450.06
45397.375,2.95,25.85,24.01,1450.06
45397.39583,2.95,25.85,24.01,1450.06
45397.41667,2.95,25.85,24.01,1450.06
45397.4375,2.99,25.82,24.01,1450.19
45397.45833,2.99,25.82,24.01,1450.19
45397.47917,3.03,25.84,24.05,1450.37
45397.5,3.1,25.82,24.09,1450.68
45397.52083,3.14,25.79,24.09,1450.81
45397.54167,3.18,25.81,24.13,1450.99
45397.5625,3.25,25.79,24.17,1451.3
45397.58333,3.29,25.76,24.17,1451.43
45397.60417,3.29,25.76,24.17,1451.43
