Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,2.15,23.2,21.26,1443.03
45390.02083,2.15,23.2,21.26,1443.03
45390.04167,2.15,23.24,21.29,1443.08
45390.0625,2.15,23.24,21.29,1443.08
45390.08333,2.15,23.2,21.26,1443.03
45390.10417,2.15,23.2,21.26,1443.03
45390.125,2.15,23.24,21.29,1443.08
45390.14583,2.15,23.2,21.26,1443.03
45390.16667,2.15,23.28,21.33,1443.14
45390.1875,2.15,23.28,21.33,1443.14
45390.20833,2.15,23.28,21.33,1443.14
45390.22917,2.15,23.24,21.29,1443.08
45390.25,2.15,23.24,21.29,1443.08
45390.27083,2.15,23.2,21.26,1443.03
45390.29167,2.15,23.2,21.26,1443.03
45390.3125,2.15,23.2,21.26,1443.03
45390.33333,2.11,23.22,21.26,1442.89
45390.35417,2.11,23.22,21.26,1442.89
45390.375,2.11,23.22,21.26,1442.89
45390.39583,2.11,23.22,21.26,1442.89
45390.41667,2.07,23.25,21.26,1442.76
45390.4375,2.07,23.25,21.26,1442.76
45390.45833,2.07,23.25,21.26,1442.76
45390.47917,2.07,23.29,21.29,1442.81
45390.5,2.07,23.29,21.29,1442.81
45390.52083,2.07,23.29,21.29,1442.81
45390.54167,2.07,23.33,21.32,1442.86
45390.5625,2.11,23.35,21.36,1443.05
45390.58333,2.11,23.39,21.39,1443.11
45390.60417,2.15,23.36,21.39,1443.24
45390.625,2.15,23.28,21.33,1443.14
45390.64583,2.19,23.25,21.33,1443.27
45390.66667,2.19,23.33,21.39,1443.38
45390.6875,2.19,23.33,21.39,1443.38
45390.70833,2.23,23.3,21.39,1443.52
45390.72917,2.23,23.3,21.39,1443.52
45390.75,2.23,23.3,21.39,1443.52
45390.77083,2.23,23.3,21.39,1443.52
45390.79167,2.23,23.3,21.39,1443.52
45390.8125,2.23,23.26,21.36,1443.46
45390.83333,2.19,23.29,21.36,1443.33
45390.85417,2.19,23.29,21.36,1443.33
45390.875,2.19,23.33,21.39,1443.38
45390.89583,2.19,23.33,21.39,1443.38
45390.91667,2.19,23.33,21.39,1443.38
45390.9375,2.19,23.29,21.36,1443.33
45390.95833,2.15,23.32,21.36,1443.19
45390.97917,2.11,23.35,21.36,1443.05
45391,2.11,23.35,21.36,1443.05
45391.02083,2.11,23.35,21.36,1443.05
45391.04167,2.11,23.35,21.36,1443.05
45391.0625,2.11,23.39,21.39,1443.11
45391.08333,2.11,23.39,21.39,1443.11
45391.10417,2.11,23.35,21.36,1443.05
45391.125,2.11,23.31,21.33,1443
45391.14583,2.11,23.35,21.36,1443.05
45391.16667,2.11,23.35,21.36,1443.05
45391.1875,2.11,23.31,21.33,1443
45391.20833,2.15,23.32,21.36,1443.19
45391.22917,2.23,23.26,21.36,1443.46
45391.25,2.27,23.24,21.36,1443.6
45391.27083,2.23,23.26,21.36,1443.46
45391.29167,2.23,23.18,21.29,1443.36
45391.3125,2.27,23.11,21.26,1443.44
45391.33333,2.34,23.1,21.3,1443.77
45391.35417,2.34,23.1,21.3,1443.77
45391.375,2.34,23.1,21.3,1443.77
45391.39583,2.3,23.09,21.26,1443.58
45391.41667,2.23,23.1,21.23,1443.25
45391.4375,2.27,23.03,21.19,1443.33
45391.45833,2.27,23.07,21.23,1443.39
45391.47917,2.23,23.06,21.19,1443.2
45391.5,2.23,23.06,21.19,1443.2
45391.52083,2.23,23.1,21.23,1443.25
45391.54167,2.19,23.09,21.19,1443.06
45391.5625,2.23,23.06,21.19,1443.2
45391.58333,2.19,23.09,21.19,1443.06
45391.60417,2.19,23.13,21.22,1443.11
45391.625,2.23,23.1,21.23,1443.25
45391.64583,2.19,23.13,21.22,1443.11
45391.66667,2.19,23.09,21.19,1443.06
45391.6875,2.23,23.06,21.19,1443.2
45391.70833,2.23,23.06,21.19,1443.2
45391.72917,2.3,23.05,21.23,1443.52
45391.75,2.38,23.07,21.3,1443.9
45391.77083,2.42,23.05,21.3,1444.04
45391.79167,2.42,23.05,21.3,1444.04
45391.8125,2.42,23.05,21.3,1444.04
45391.83333,2.38,23.07,21.3,1443.9
45391.85417,2.34,23.1,21.3,1443.77
45391.875,2.3,23.13,21.29,1443.63
45391.89583,2.3,23.13,21.29,1443.63
45391.91667,2.27,23.15,21.29,1443.49
45391.9375,2.27,23.15,21.29,1443.49
45391.95833,2.27,23.11,21.26,1443.44
45391.97917,2.23,22.98,21.12,1443.09
45392,2.23,22.98,21.12,1443.09
45392.02083,2.23,22.98,21.12,1443.09
45392.04167,2.23,22.98,21.12,1443.09
45392.0625,2.19,22.97,21.09,1442.9
45392.08333,2.15,23,21.09,1442.76
45392.10417,2.15,23,21.09,1442.76
45392.125,2.15,23,21.09,1442.76
45392.14583,2.15,23,21.09,1442.76
45392.16667,2.15,23,21.09,1442.76
45392.1875,2.15,23,21.09,1442.76
45392.20833,2.15,23.04,21.12,1442.82
45392.22917,2.15,23.2,21.26,1443.03
45392.25,2.15,23.16,21.22,1442.98
45392.27083,2.11,23.18,21.22,1442.84
45392.29167,2.11,23.14,21.19,1442.79
45392.3125,2.15,23.12,21.19,1442.92
45392.33333,2.11,23.14,21.19,1442.79
45392.35417,2.11,23.14,21.19,1442.79
45392.375,2.11,23.14,21.19,1442.79
45392.39583,2.11,23.14,21.19,1442.79
45392.41667,2.07,23.17,21.19,1442.65
45392.4375,2.07,23.17,21.19,1442.65
45392.45833,2.07,23.17,21.19,1442.65
45392.47917,2.07,23.21,21.22,1442.7
45392.5,2.07,23.17,21.19,1442.65
45392.52083,2.07,23.17,21.19,1442.65
45392.54167,2.03,23.2,21.19,1442.51
45392.5625,2.07,23.17,21.19,1442.65
45392.58333,2.11,23.18,21.22,1442.84
45392.60417,2.15,23.16,21.22,1442.98
45392.625,2.19,23.17,21.26,1443.17
45392.64583,2.23,23.18,21.29,1443.36
45392.66667,2.27,23.15,21.29,1443.49
45392.6875,2.27,23.11,21.26,1443.44
45392.70833,2.27,23.15,21.29,1443.49
45392.72917,2.3,23.13,21.29,1443.63
45392.75,2.34,23.1,21.3,1443.77
45392.77083,2.38,23.07,21.3,1443.9
45392.79167,2.69,23.1,21.5,1445.3
45392.8125,2.61,23.07,21.43,1444.92
45392.83333,2.53,23.09,21.4,1444.6
45392.85417,2.53,23.09,21.4,1444.6
45392.875,2.5,23.11,21.4,1444.47
45392.89583,2.46,23.14,21.4,1444.33
45392.91667,2.42,23.13,21.36,1444.14
45392.9375,2.38,23.15,21.36,1444.01
45392.95833,2.3,23.17,21.33,1443.68
45392.97917,2.3,23.17,21.33,1443.68
45393,2.34,23.18,21.36,1443.87
45393.02083,2.38,23.11,21.33,1443.95
45393.04167,2.42,23.13,21.36,1444.14
45393.0625,2.53,23.13,21.43,1444.65
45393.08333,2.61,23.15,21.5,1445.03
45393.10417,2.5,23.11,21.4,1444.47
45393.125,2.46,23.14,21.4,1444.33
45393.14583,2.46,23.1,21.36,1444.28
45393.16667,2.46,23.06,21.33,1444.23
45393.1875,2.5,23.07,21.37,1444.41
45393.20833,2.53,23.09,21.4,1444.6
45393.22917,2.57,22.86,21.23,1444.47
45393.25,2.61,23.07,21.43,1444.92
45393.27083,2.65,22.96,21.37,1444.95
45393.29167,2.53,23.01,21.33,1444.5
45393.3125,2.46,23.02,21.3,1444.17
45393.33333,2.42,23.01,21.26,1443.98
45393.35417,2.42,23.05,21.3,1444.04
45393.375,2.38,23.03,21.26,1443.85
45393.39583,2.38,23.03,21.26,1443.85
45393.41667,2.34,23.06,21.26,1443.71
45393.4375,2.3,23.09,21.26,1443.58
45393.45833,2.27,23.11,21.26,1443.44
45393.47917,2.23,23.14,21.26,1443.3
45393.5,2.23,23.14,21.26,1443.3
45393.52083,2.27,23.11,21.26,1443.44
45393.54167,2.27,23.11,21.26,1443.44
45393.5625,2.27,23.11,21.26,1443.44
45393.58333,2.38,23.11,21.33,1443.95
45393.60417,2.69,23.06,21.47,1445.24
45393.625,2.73,23.03,21.47,1445.38
45393.64583,2.73,23.03,21.47,1445.38
45393.66667,2.76,23,21.47,1445.51
45393.6875,2.8,23.02,21.51,1445.7
45393.70833,2.84,23.03,21.54,1445.88
45393.72917,2.8,23.02,21.51,1445.7
45393.75,2.65,23,21.4,1445
45393.77083,2.76,22.96,21.44,1445.46
45393.79167,2.84,22.99,21.51,1445.83
45393.8125,2.84,22.99,21.51,1445.83
45393.83333,2.8,23.02,21.51,1445.7
45393.85417,2.88,23,21.54,1446.01
45393.875,2.88,23,21.54,1446.01
45393.89583,2.88,23,21.54,1446.01
45393.91667,2.84,23.03,21.54,1445.88
45393.9375,2.8,23.06,21.54,1445.75
45393.95833,2.76,23.04,21.5,1445.56
45393.97917,2.76,23,21.47,1445.51
45394,2.76,23.04,21.5,1445.56
45394.02083,2.8,22.94,21.44,1445.59
45394.04167,2.76,22.85,21.34,1445.3
45394.0625,2.73,22.83,21.3,1445.12
45394.08333,2.76,22.85,21.34,1445.3
45394.10417,2.76,22.85,21.34,1445.3
45394.125,2.69,22.86,21.3,1444.98
45394.14583,2.69,22.86,21.3,1444.98
45394.16667,2.65,22.85,21.27,1444.8
45394.1875,2.65,22.85,21.27,1444.8
45394.20833,2.65,22.81,21.23,1444.74
45394.22917,2.69,22.7,21.16,1444.77
45394.25,2.69,22.98,21.4,1445.14
45394.27083,2.69,22.86,21.3,1444.98
45394.29167,2.73,23.03,21.47,1445.38
45394.3125,2.73,23.19,21.61,1445.59
45394.33333,2.76,23.24,21.67,1445.82
45394.35417,2.8,23.53,21.95,1446.37
45394.375,2.8,23.81,22.18,1446.74
45394.39583,2.8,23.73,22.11,1446.63
45394.41667,2.76,24.08,22.38,1446.92
45394.4375,2.73,24.1,22.38,1446.78
45394.45833,2.76,24.04,22.35,1446.86
45394.47917,2.76,24.08,22.38,1446.92
45394.5,2.76,24.04,22.35,1446.86
45394.52083,2.76,24,22.32,1446.81
45394.54167,2.73,24.02,22.32,1446.68
45394.5625,2.73,23.98,22.28,1446.63
45394.58333,2.76,23.96,22.28,1446.76
45394.60417,2.76,23.96,22.28,1446.76
45394.625,2.76,24,22.32,1446.81
45394.64583,2.84,23.94,22.32,1447.07
45394.66667,2.88,23.95,22.35,1447.26
45394.6875,2.92,23.93,22.35,1447.39
45394.70833,2.95,23.94,22.39,1447.57
45394.72917,2.95,23.94,22.39,1447.57
45394.75,2.95,23.94,22.39,1447.57
45394.77083,2.92,23.93,22.35,1447.39
45394.79167,2.92,23.93,22.35,1447.39
45394.8125,2.92,23.89,22.32,1447.34
45394.83333,2.95,23.9,22.35,1447.52
45394.85417,2.99,23.87,22.35,1447.65
45394.875,2.99,23.83,22.32,1447.6
45394.89583,3.03,23.8,22.32,1447.73
45394.91667,3.03,23.8,22.32,1447.73
45394.9375,2.95,23.82,22.29,1447.42
45394.95833,2.92,23.81,22.25,1447.23
45394.97917,2.92,23.81,22.25,1447.23
45395,2.99,23.67,22.18,1447.39
45395.02083,2.99,23.79,22.29,1447.55
45395.04167,2.99,22.92,21.54,1446.41
45395.0625,3.03,23.17,21.78,1446.9
45395.08333,2.99,23.32,21.88,1446.93
45395.10417,2.99,23.55,22.08,1447.24
45395.125,2.99,23.63,22.15,1447.34
45395.14583,2.99,23.75,22.25,1447.5
45395.16667,2.95,23.74,22.22,1447.31
45395.1875,2.95,23.74,22.22,1447.31
45395.20833,2.95,23.86,22.32,1447.47
45395.22917,2.95,23.9,22.35,1447.52
45395.25,2.95,23.9,22.35,1447.52
45395.27083,2.95,23.86,22.32,1447.47
45395.29167,2.99,23.87,22.35,1447.65
45395.3125,3.03,23.84,22.35,1447.78
45395.33333,3.07,23.82,22.35,1447.91
45395.35417,3.07,23.82,22.35,1447.91
45395.375,3.07,23.86,22.39,1447.96
45395.39583,3.03,23.88,22.39,1447.83
45395.41667,2.99,23.91,22.39,1447.7
45395.4375,2.99,23.87,22.35,1447.65
45395.45833,2.95,23.86,22.32,1447.47
45395.47917,2.95,23.82,22.29,1447.42
45395.5,2.95,23.82,22.29,1447.42
45395.52083,2.95,23.82,22.29,1447.42
45395.54167,2.95,23.86,22.32,1447.47
45395.5625,2.95,23.82,22.29,1447.42
