Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45112,3.28,30.08,27.82,1457.04
45112.02083,5.27,29.13,28.55,1464.16
45112.04167,3.66,29.93,27.99,1458.45
45112.0625,3.21,30.07,27.76,1456.7
45112.08333,2.79,30.27,27.59,1455.16
45112.10417,2.52,30.43,27.52,1454.2
45112.125,2.6,30.39,27.55,1454.49
45112.14583,2.79,30.31,27.63,1455.21
45112.16667,4.03,29.72,28.1,1459.75
45112.1875,4.61,29.51,28.37,1461.94
45112.20833,4.72,29.47,28.42,1462.35
45112.22917,5.45,29.23,28.77,1465.02
45112.25,5.09,29.37,28.61,1463.72
45112.27083,5.27,29.31,28.7,1464.38
45112.29167,4.98,29.45,28.6,1463.37
45112.3125,4.76,29.52,28.5,1462.57
45112.33333,5.55,29.32,28.94,1465.58
45112.35417,5.09,29.46,28.69,1463.83
45112.375,5.23,29.38,28.74,1464.33
45112.39583,4.69,29.72,28.62,1462.53
45112.41667,3.36,30.23,28.01,1457.55
45112.4375,3.36,30.18,27.97,1457.5
45112.45833,3.36,30.23,28.01,1457.55
45112.47917,3.47,30.16,28.04,1457.95
45112.5,3.73,30.08,28.17,1458.96
45112.52083,4.43,29.77,28.46,1461.52
45112.54167,5.37,29.38,28.85,1464.92
45112.5625,5.73,29.27,29.03,1466.24
45112.58333,4.69,29.66,28.56,1462.44
45112.60417,4.03,29.83,28.19,1459.89
45112.625,2.94,30.36,27.79,1455.93
45112.64583,3.39,30.1,27.93,1457.55
45112.66667,3.13,30.34,27.92,1456.73
45112.6875,3.54,30.2,28.13,1458.32
45112.70833,4.76,29.66,28.61,1462.74
45112.72917,5.55,29.3,28.92,1465.55
45112.75,5.59,29.36,29,1465.77
45112.77083,5.52,29.38,28.96,1465.51
45112.79167,5.05,29.51,28.71,1463.75
45112.8125,4.94,29.59,28.7,1463.41
45112.83333,5.05,29.58,28.77,1463.84
45112.85417,4.1,29.96,28.36,1460.37
45112.875,3.66,30.15,28.18,1458.74
45112.89583,3.47,30.23,28.09,1458.03
45112.91667,3.47,30.23,28.09,1458.03
45112.9375,3.43,30.22,28.06,1457.86
45112.95833,3.51,30.19,28.09,1458.15
45112.97917,3.62,30.17,28.16,1458.6
45113,4.21,29.9,28.39,1460.76
45113.02083,4.65,29.78,28.64,1462.45
45113.04167,4.87,29.66,28.7,1463.2
45113.0625,4.03,29.99,28.33,1460.1
45113.08333,3.77,30.07,28.19,1459.1
45113.10417,2.68,30.58,27.76,1455.07
45113.125,2.79,30.53,27.81,1455.5
45113.14583,2.26,30.83,27.64,1453.56
45113.16667,2.79,30.55,27.83,1455.53
45113.1875,3.88,30.07,28.28,1459.57
45113.20833,4.21,29.92,28.41,1460.78
45113.22917,4.8,29.71,28.69,1462.96
45113.25,4.94,29.64,28.74,1463.47
45113.27083,4.8,29.69,28.67,1462.93
45113.29167,4.91,29.72,28.78,1463.42
45113.3125,4.91,29.74,28.8,1463.45
45113.33333,4.91,29.74,28.8,1463.45
45113.35417,4.14,30.04,28.46,1460.62
45113.375,2.83,30.54,27.85,1455.68
45113.39583,2.75,30.5,27.76,1455.3
45113.41667,2.68,30.62,27.8,1455.13
45113.4375,2.79,30.55,27.83,1455.53
45113.45833,2.79,30.57,27.85,1455.56
45113.47917,3.02,30.48,27.95,1456.42
45113.5,3.21,30.38,28.01,1457.1
45113.52083,3.32,30.31,28.04,1457.5
45113.54167,3.36,30.27,28.04,1457.61
45113.5625,4.72,29.76,28.67,1462.72
45113.58333,5.34,29.5,28.93,1464.93
45113.60417,4.98,29.67,28.8,1463.66
45113.625,5.12,29.62,28.87,1464.19
45113.64583,4.94,29.68,28.78,1463.52
45113.66667,3.54,30.26,28.18,1458.4
45113.6875,2.87,30.48,27.83,1455.76
45113.70833,2.79,30.51,27.79,1455.47
45113.72917,2.79,30.51,27.79,1455.47
45113.75,3.24,30.34,28.01,1457.22
45113.77083,3.43,30.26,28.1,1457.92
45113.79167,3.47,30.25,28.11,1458.06
