Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.86,20.69,18.98,1438.4
45390.02083,1.89,20.67,18.98,1438.54
45390.04167,1.86,20.66,18.95,1438.35
45390.0625,1.78,20.68,18.92,1438.02
45390.08333,1.78,20.64,18.9,1437.97
45390.10417,1.78,20.68,18.92,1438.02
45390.125,1.74,20.7,18.92,1437.87
45390.14583,1.78,20.71,18.95,1438.06
45390.16667,1.78,20.71,18.95,1438.06
45390.1875,1.78,20.68,18.92,1438.02
45390.20833,1.78,20.64,18.9,1437.97
45390.22917,1.78,20.64,18.9,1437.97
45390.25,1.74,20.63,18.87,1437.78
45390.27083,1.82,20.65,18.92,1438.16
45390.29167,1.86,20.63,18.93,1438.31
45390.3125,1.86,20.63,18.93,1438.31
45390.33333,1.82,20.62,18.9,1438.12
45390.35417,1.78,20.64,18.9,1437.97
45390.375,1.74,20.63,18.87,1437.78
45390.39583,1.7,20.66,18.87,1437.64
45390.41667,1.7,20.66,18.87,1437.64
45390.4375,1.7,20.66,18.87,1437.64
45390.45833,1.74,20.63,18.87,1437.78
45390.47917,1.78,20.61,18.87,1437.93
45390.5,1.82,20.62,18.9,1438.12
45390.52083,1.89,20.6,18.93,1438.45
45390.54167,1.97,20.58,18.96,1438.78
45390.5625,2.05,20.54,18.96,1439.07
45390.58333,2.05,20.54,18.96,1439.07
45390.60417,2.05,20.54,18.96,1439.07
45390.625,2.01,20.53,18.93,1438.88
45390.64583,2.01,20.53,18.93,1438.88
45390.66667,2.05,20.54,18.96,1439.07
45390.6875,2.13,20.52,18.99,1439.4
45390.70833,2.05,20.57,18.99,1439.12
45390.72917,2.17,20.56,19.04,1439.64
45390.75,2.01,20.56,18.96,1438.93
45390.77083,2.09,20.54,18.99,1439.26
45390.79167,2.17,20.53,19.02,1439.59
45390.8125,2.17,20.5,18.99,1439.55
45390.83333,2.17,20.5,18.99,1439.55
45390.85417,2.05,20.5,18.93,1439.03
45390.875,1.89,20.5,18.84,1438.31
45390.89583,1.86,20.52,18.84,1438.17
45390.91667,1.82,20.51,18.81,1437.98
45390.9375,1.82,20.51,18.81,1437.98
45390.95833,1.82,20.51,18.81,1437.98
45390.97917,1.82,20.51,18.81,1437.98
45391,1.82,20.51,18.81,1437.98
45391.02083,1.89,20.5,18.84,1438.31
45391.04167,2.13,20.52,18.99,1439.4
45391.0625,2.09,20.65,19.07,1439.4
45391.08333,2.09,20.54,18.99,1439.26
45391.10417,2.09,20.48,18.93,1439.17
45391.125,2.13,20.45,18.93,1439.31
45391.14583,2.13,20.45,18.93,1439.31
45391.16667,2.13,20.45,18.93,1439.31
45391.1875,2.05,20.43,18.87,1438.94
45391.20833,2.05,20.43,18.87,1438.94
45391.22917,2.05,20.43,18.87,1438.94
45391.25,2.09,20.41,18.87,1439.08
