Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.04,29.24,25.43,1446.03
45390.02083,1.04,29.01,25.25,1445.73
45390.04167,1.04,29.08,25.3,1445.81
45390.0625,1.04,29.01,25.25,1445.73
45390.08333,1.04,28.92,25.17,1445.6
45390.10417,1.04,28.95,25.2,1445.64
45390.125,1.04,29.01,25.25,1445.73
45390.14583,1.04,28.85,25.12,1445.51
45390.16667,1.04,28.98,25.23,1445.68
45390.1875,1,28.86,25.1,1445.34
45390.20833,0.96,28.66,24.92,1444.9
45390.22917,0.96,28.96,25.15,1445.29
45390.25,0.96,29.12,25.28,1445.51
45390.27083,0.96,28.86,25.07,1445.16
45390.29167,0.96,28.76,24.99,1445.03
45390.3125,0.96,28.76,24.99,1445.03
45390.33333,0.96,29.12,25.28,1445.51
45390.35417,0.96,28.92,25.12,1445.25
45390.375,0.96,29.22,25.35,1445.64
45390.39583,0.96,29.28,25.4,1445.72
45390.41667,0.96,29.28,25.4,1445.72
45390.4375,0.96,29.22,25.35,1445.64
45390.45833,0.96,29.19,25.33,1445.59
45390.47917,0.96,29.28,25.4,1445.72
45390.5,0.96,29.25,25.38,1445.68
45390.52083,0.96,29.25,25.38,1445.68
45390.54167,0.92,29.25,25.35,1445.5
45390.5625,0.88,29.29,25.35,1445.37
45390.58333,0.84,29.3,25.33,1445.19
45390.60417,0.8,29.33,25.32,1445.06
45390.625,0.8,29.33,25.32,1445.06
45390.64583,0.76,29.37,25.32,1444.93
45390.66667,0.72,29.37,25.3,1444.75
45390.6875,0.72,29.28,25.22,1444.62
45390.70833,0.68,29.41,25.3,1444.62
45390.72917,0.64,29.38,25.25,1444.39
45390.75,0.64,29.35,25.22,1444.35
45390.77083,0.64,29.35,25.22,1444.35
45390.79167,0.6,29.42,25.24,1444.26
45390.8125,0.6,29.42,25.24,1444.26
45390.83333,0.6,29.45,25.27,1444.3
45390.85417,0.6,29.45,25.27,1444.3
45390.875,0.6,29.45,25.27,1444.3
45390.89583,0.6,29.45,25.27,1444.3
45390.91667,0.64,29.42,25.27,1444.44
45390.9375,0.64,29.35,25.22,1444.35
45390.95833,0.64,29.42,25.27,1444.44
45390.97917,0.64,29.42,25.27,1444.44
45391,0.64,29.42,25.27,1444.44
45391.02083,0.68,29.38,25.27,1444.57
45391.04167,0.68,29.35,25.25,1444.53
45391.0625,0.72,29.34,25.27,1444.71
45391.08333,0.72,29.31,25.25,1444.66
45391.10417,0.68,29.38,25.27,1444.57
45391.125,0.68,29.38,25.27,1444.57
45391.14583,0.64,29.42,25.27,1444.44
45391.16667,0.64,29.42,25.27,1444.44
45391.1875,0.64,29.45,25.3,1444.48
45391.20833,0.68,29.41,25.3,1444.62
45391.22917,0.72,29.34,25.27,1444.71
45391.25,0.84,29.33,25.35,1445.24
45391.27083,0.92,29.25,25.35,1445.5
45391.29167,0.96,29.28,25.4,1445.72
45391.3125,0.96,28.99,25.17,1445.33
45391.33333,0.96,29.25,25.38,1445.68
45391.35417,0.96,29.25,25.38,1445.68
45391.375,0.96,29.09,25.25,1445.46
45391.39583,1,29.08,25.28,1445.64
45391.41667,1,29.25,25.41,1445.85
45391.4375,1.04,29.21,25.41,1445.99
45391.45833,1.04,29.11,25.33,1445.86
45391.47917,1.08,29.17,25.41,1446.12
45391.5,1.08,28.95,25.23,1445.82
45391.52083,1.12,29.07,25.36,1446.16
45391.54167,1.12,28.88,25.2,1445.91
45391.5625,1.12,28.81,25.15,1445.82
45391.58333,1.16,28.71,25.1,1445.87
45391.60417,1.16,28.45,24.89,1445.52
45391.625,1.2,28.19,24.71,1445.35
45391.64583,1.2,28.29,24.79,1445.48
45391.66667,1.24,28.22,24.76,1445.57
45391.6875,1.2,28.19,24.71,1445.35
45391.70833,1.16,28.19,24.69,1445.18
45391.72917,1.16,28.68,25.07,1445.82
45391.75,1.16,28.52,24.94,1445.61
45391.77083,1.12,28.65,25.02,1445.6
45391.79167,1.08,28.52,24.89,1445.26
45391.8125,1.08,28.43,24.81,1445.13
45391.83333,1.04,28.72,25.02,1445.34
45391.85417,1,28.6,24.89,1444.99
45391.875,1,28.34,24.68,1444.64
45391.89583,1,28.47,24.79,1444.82
45391.91667,1,28.5,24.81,1444.86
45391.9375,1,28.6,24.89,1444.99
45391.95833,1,28.47,24.79,1444.82
45391.97917,1,28.6,24.89,1444.99
45392,1,28.69,24.97,1445.12
45392.02083,1,28.66,24.94,1445.08
