Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45383,0.52,9.07,8.51,1416.7
45383.02083,0.52,9.08,8.52,1416.72
45383.04167,0.56,9.07,8.52,1416.9
45383.0625,0.48,9.1,8.52,1416.54
45383.08333,0.43,9.11,8.52,1416.37
45383.10417,0.48,9.08,8.51,1416.52
45383.125,0.56,9.07,8.52,1416.9
45383.14583,0.6,9.06,8.52,1417.08
45383.16667,0.6,9.04,8.51,1417.06
45383.1875,0.64,9.05,8.52,1417.25
45383.20833,0.68,9.04,8.52,1417.43
45383.22917,0.64,9.05,8.52,1417.25
45383.25,0.64,9.05,8.52,1417.25
45383.27083,0.6,9.04,8.51,1417.06
45383.29167,0.6,9.06,8.52,1417.08
45383.3125,0.64,9.03,8.51,1417.23
45383.33333,0.84,8.99,8.52,1418.13
45383.35417,1.35,8.81,8.49,1420.35
45383.375,1.98,8.62,8.48,1423.03
45383.39583,2.83,8.37,8.45,1426.6
45383.41667,4.18,7.97,8.4,1432.17
45383.4375,6.06,7.44,8.3,1439.67
45383.45833,4.73,7.81,8.37,1434.39
45383.47917,3.96,8.02,8.4,1431.25
45383.5,4.91,7.75,8.36,1435.12
45383.52083,6.17,7.41,8.3,1440.09
45383.54167,7.91,6.97,8.21,1446.78
45383.5625,11.84,6.04,7.95,1460.98
45383.58333,11.9,6.03,7.95,1461.2
45383.60417,6.66,7.28,8.27,1442.01
45383.625,4.25,7.94,8.38,1432.46
45383.64583,3.96,8.02,8.4,1431.25
45383.66667,5.42,7.61,8.33,1437.13
45383.6875,7.05,7.17,8.24,1443.48
45383.70833,5.49,7.59,8.33,1437.42
45383.72917,8.89,6.71,8.14,1450.42
45383.75,10.22,6.4,8.06,1455.26
45383.77083,5.38,7.61,8.33,1436.99
45383.79167,3.62,8.12,8.41,1429.88
45383.8125,2.67,8.41,8.45,1425.96
45383.83333,1.59,8.74,8.49,1421.37
45383.85417,0.6,9.06,8.52,1417.08
45383.875,-0.18,9.29,8.52,1413.66
45383.89583,-0.67,9.46,8.53,1411.46
45383.91667,-0.96,9.55,8.53,1410.15
45383.9375,-1.51,9.76,8.56,1407.71
45383.95833,-1.89,9.89,8.56,1405.95
45383.97917,-1.89,9.89,8.56,1405.95
45384,-1.85,9.86,8.55,1406.13
45384.02083,-1.76,9.85,8.56,1406.54
45384.04167,-1.76,9.83,8.55,1406.52
45384.0625,-1.98,9.92,8.56,1405.56
45384.08333,-2.11,9.95,8.55,1404.95
45384.10417,-2.28,10.01,8.55,1404.15
45384.125,-2.28,10.01,8.55,1404.15
45384.14583,-2.41,10.07,8.56,1403.57
45384.16667,-2.49,10.08,8.55,1403.15
45384.1875,-2.49,10.08,8.55,1403.15
45384.20833,-2.28,10.01,8.55,1404.15
45384.22917,-2.36,10.04,8.55,1403.75
45384.25,-2.32,10.02,8.55,1403.95
45384.27083,-2.32,10.02,8.55,1403.95
45384.29167,-1.93,9.89,8.55,1405.74
45384.3125,-1.47,9.73,8.55,1407.88
45384.33333,-0.34,9.36,8.53,1412.95
45384.35417,1.08,8.91,8.51,1419.16
45384.375,2.14,8.56,8.47,1423.68
45384.39583,3.4,8.19,8.43,1428.96
45384.41667,4.69,7.82,8.37,1434.25
45384.4375,3.96,8.02,8.4,1431.25
45384.45833,3.62,8.12,8.41,1429.88
45384.47917,5.17,7.68,8.34,1436.13
45384.5,6.42,7.34,8.29,1441.05
45384.52083,6.2,7.4,8.3,1440.23
45384.54167,5.24,7.66,8.34,1436.42
45384.5625,6.31,7.37,8.29,1440.64
45384.58333,7.53,7.06,8.23,1445.34
45384.60417,7.7,7.01,8.21,1445.99
45384.625,7.01,7.19,8.26,1443.36
45384.64583,5.13,7.69,8.34,1435.98
45384.66667,4.36,7.91,8.38,1432.91
45384.6875,4.44,7.89,8.38,1433.21
45384.70833,4.47,7.88,8.38,1433.36
45384.72917,4.25,7.94,8.38,1432.46
45384.75,4.03,8,8.4,1431.56
45384.77083,3.81,8.07,8.41,1430.65
45384.79167,3.62,8.12,8.41,1429.88
45384.8125,3.32,8.21,8.43,1428.64
45384.83333,2.98,8.31,8.44,1427.23
45384.85417,2.64,8.42,8.45,1425.79
45384.875,2.41,8.48,8.45,1424.82
45384.89583,2.21,8.53,8.45,1423.99
45384.91667,2.1,8.58,8.47,1423.51
45384.9375,1.94,8.63,8.48,1422.87
45384.95833,1.75,8.69,8.48,1422.03
45384.97917,1.59,8.74,8.49,1421.37
45385,1.55,8.76,8.49,1421.2
45385.02083,1.51,8.77,8.49,1421.03
45385.04167,1.47,8.78,8.49,1420.86
45385.0625,1.39,8.8,8.49,1420.52
