Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,0.74,26.35,22.93,1440.82
45390.02083,0.74,26.35,22.93,1440.82
45390.04167,0.74,26.35,22.93,1440.82
45390.0625,0.74,26.32,22.9,1440.78
45390.08333,0.74,26.35,22.93,1440.82
45390.10417,0.74,26.32,22.9,1440.78
45390.125,0.74,26.29,22.88,1440.74
45390.14583,0.74,26.32,22.9,1440.78
45390.16667,0.74,26.29,22.88,1440.74
45390.1875,0.74,26.29,22.88,1440.74
45390.20833,0.74,26.29,22.88,1440.74
45390.22917,0.78,26.32,22.93,1440.96
45390.25,0.82,26.29,22.93,1441.1
45390.27083,0.82,26.29,22.93,1441.1
45390.29167,0.86,26.22,22.9,1441.2
45390.3125,0.82,26.25,22.9,1441.06
45390.33333,0.82,26.32,22.95,1441.14
45390.35417,0.86,26.25,22.93,1441.24
45390.375,0.9,26.28,22.98,1441.46
45390.39583,0.9,26.28,22.98,1441.46
45390.41667,0.94,26.25,22.98,1441.6
45390.4375,0.94,26.25,22.98,1441.6
45390.45833,0.94,26.25,22.98,1441.6
45390.47917,0.94,26.25,22.98,1441.6
45390.5,0.94,26.25,22.98,1441.6
45390.52083,0.98,26.24,23,1441.78
45390.54167,0.98,26.21,22.98,1441.74
45390.5625,0.98,26.21,22.98,1441.74
45390.58333,0.98,26.15,22.93,1441.65
45390.60417,0.94,26.25,22.98,1441.6
45390.625,0.94,26.22,22.95,1441.56
45390.64583,0.94,26.22,22.95,1441.56
45390.66667,0.94,26.22,22.95,1441.56
45390.6875,0.94,26.22,22.95,1441.56
45390.70833,0.94,26.25,22.98,1441.6
45390.72917,0.94,26.25,22.98,1441.6
45390.75,0.94,26.25,22.98,1441.6
45390.77083,0.94,26.25,22.98,1441.6
45390.79167,0.94,26.25,22.98,1441.6
45390.8125,0.94,26.25,22.98,1441.6
45390.83333,0.94,26.22,22.95,1441.56
45390.85417,0.94,26.19,22.93,1441.52
45390.875,0.94,26.25,22.98,1441.6
45390.89583,0.94,26.22,22.95,1441.56
45390.91667,0.98,26.21,22.98,1441.74
45390.9375,1.06,26.21,23.03,1442.09
45390.95833,1.14,26.17,23.05,1442.41
45390.97917,1.02,26.21,23,1441.91
45391,0.98,26.18,22.95,1441.7
45391.02083,1.02,26.21,23,1441.91
45391.04167,1.02,26.21,23,1441.91
45391.0625,1.06,26.21,23.03,1442.09
45391.08333,1.06,26.18,23,1442.05
45391.10417,1.02,26.18,22.98,1441.87
45391.125,0.98,26.18,22.95,1441.7
45391.14583,0.98,26.18,22.95,1441.7
45391.16667,0.98,26.21,22.98,1441.74
45391.1875,0.98,26.21,22.98,1441.74
45391.20833,0.98,26.24,23,1441.78
45391.22917,1.02,26.21,23,1441.91
45391.25,1.1,26.21,23.05,1442.27
45391.27083,1.14,26.2,23.08,1442.45
45391.29167,1.14,26.17,23.05,1442.41
45391.3125,1.14,26.17,23.05,1442.41
45391.33333,1.14,26.17,23.05,1442.41
45391.35417,1.18,26.17,23.08,1442.59
45391.375,1.18,26.17,23.08,1442.59
45391.39583,1.18,25.69,22.69,1441.94
45391.41667,1.18,25.54,22.57,1441.74
45391.4375,1.22,25.42,22.5,1441.76
45391.45833,1.22,25.2,22.32,1441.48
45391.47917,1.26,25.05,22.23,1441.46
45391.5,1.26,25.02,22.2,1441.42
45391.52083,1.26,24.99,22.18,1441.38
45391.54167,1.3,24.87,22.11,1441.4
45391.5625,1.3,24.84,22.08,1441.36
45391.58333,1.3,24.81,22.06,1441.32
45391.60417,1.3,24.78,22.03,1441.28
45391.625,1.3,24.72,21.98,1441.2
45391.64583,1.34,24.69,21.98,1441.34
45391.66667,1.34,24.66,21.96,1441.3
45391.6875,1.34,24.63,21.94,1441.26
45391.70833,1.34,24.63,21.94,1441.26
45391.72917,1.34,24.6,21.91,1441.22
45391.75,1.34,24.57,21.89,1441.18
45391.77083,1.34,24.54,21.86,1441.14
45391.79167,1.38,24.51,21.86,1441.28
45391.8125,1.38,24.51,21.86,1441.28
45391.83333,1.42,24.48,21.86,1441.42
45391.85417,1.38,24.48,21.84,1441.24
45391.875,1.42,24.45,21.84,1441.38
45391.89583,1.42,24.45,21.84,1441.38
45391.91667,1.42,24.42,21.81,1441.34
45391.9375,1.42,24.42,21.81,1441.34
45391.95833,1.46,24.39,21.81,1441.48
45391.97917,1.46,24.39,21.81,1441.48
45392,1.46,24.39,21.81,1441.48
45392.02083,1.5,24.36,21.81,1441.62
45392.04167,1.46,24.39,21.81,1441.48
45392.0625,1.46,24.36,21.79,1441.44
45392.08333,1.46,24.36,21.79,1441.44
45392.10417,1.42,24.36,21.76,1441.26
45392.125,1.38,24.36,21.74,1441.08
45392.14583,1.38,24.33,21.72,1441.04
45392.16667,1.38,24.33,21.72,1441.04
45392.1875,1.38,24.33,21.72,1441.04
45392.20833,1.3,24.3,21.64,1440.64
45392.22917,1.26,24.3,21.62,1440.46
45392.25,1.26,24.27,21.59,1440.42
45392.27083,1.26,24.27,21.59,1440.42
45392.29167,1.26,24.27,21.59,1440.42
45392.3125,1.26,24.27,21.59,1440.42
45392.33333,1.3,24.24,21.59,1440.56
45392.35417,1.34,24.24,21.62,1440.74
45392.375,1.34,24.24,21.62,1440.74
45392.39583,1.38,24.21,21.62,1440.88
45392.41667,1.38,24.24,21.64,1440.92
45392.4375,1.34,24.21,21.59,1440.7
45392.45833,1.34,24.21,21.59,1440.7
45392.47917,1.34,24.18,21.57,1440.67
45392.5,1.34,24.18,21.57,1440.67
45392.52083,1.34,24.18,21.57,1440.67
45392.54167,1.34,24.18,21.57,1440.67
45392.5625,1.34,24.18,21.57,1440.67
45392.58333,1.34,24.15,21.54,1440.63
45392.60417,1.34,24.15,21.54,1440.63
45392.625,1.38,24.12,21.54,1440.77
45392.64583,1.38,24.12,21.54,1440.77
45392.66667,1.38,24.12,21.54,1440.77
45392.6875,1.38,24.12,21.54,1440.77
45392.70833,1.38,24.12,21.54,1440.77
45392.72917,1.38,24.09,21.52,1440.73
45392.75,1.34,24.09,21.49,1440.55
45392.77083,1.3,24.09,21.47,1440.37
45392.79167,1.3,24.09,21.47,1440.37
45392.8125,1.26,24.09,21.44,1440.18
45392.83333,1.26,24.06,21.42,1440.14
45392.85417,1.26,24.06,21.42,1440.14
45392.875,1.3,24.06,21.45,1440.33
45392.89583,1.3,24.06,21.45,1440.33
45392.91667,1.3,24.06,21.45,1440.33
45392.9375,1.3,24.06,21.45,1440.33
45392.95833,1.3,24.03,21.42,1440.29
45392.97917,1.26,24.06,21.42,1440.14
45393,1.26,24.03,21.4,1440.1
45393.02083,1.26,24.03,21.4,1440.1
45393.04167,1.26,24.03,21.4,1440.1
45393.0625,1.22,24.06,21.39,1439.96
45393.08333,1.22,24.03,21.37,1439.92
45393.10417,1.18,24.03,21.35,1439.74
45393.125,1.18,24.03,21.35,1439.74
45393.14583,1.18,24.03,21.35,1439.74
45393.16667,1.18,24.03,21.35,1439.74
45393.1875,1.18,24.03,21.35,1439.74
45393.20833,1.18,24.03,21.35,1439.74
45393.22917,1.18,24.03,21.35,1439.74
45393.25,1.18,24.03,21.35,1439.74
45393.27083,1.18,24.03,21.35,1439.74
45393.29167,1.18,24,21.32,1439.7
45393.3125,1.18,24.03,21.35,1439.74
45393.33333,1.18,24,21.32,1439.7
45393.35417,1.14,24.03,21.32,1439.56
45393.375,1.14,24,21.3,1439.52
45393.39583,1.1,24.03,21.3,1439.38
45393.41667,1.1,24.03,21.3,1439.38
45393.4375,1.1,24.03,21.3,1439.38
45393.45833,1.06,24.06,21.29,1439.23
45393.47917,1.1,24.03,21.3,1439.38
45393.5,1.1,24.03,21.3,1439.38
45393.52083,1.1,24.03,21.3,1439.38
45393.54167,1.14,24.03,21.32,1439.56
45393.5625,1.18,24.06,21.37,1439.78
45393.58333,1.18,24.06,21.37,1439.78
45393.60417,1.18,24.06,21.37,1439.78
45393.625,1.18,24.09,21.39,1439.82
45393.64583,1.22,24.09,21.42,1440
45393.66667,1.26,24.06,21.42,1440.14
45393.6875,1.26,24.09,21.44,1440.18
45393.70833,1.3,24.09,21.47,1440.37
45393.72917,1.3,24.09,21.47,1440.37
45393.75,1.26,24.09,21.44,1440.18
45393.77083,1.26,24.09,21.44,1440.18
45393.79167,1.26,24.12,21.47,1440.22
45393.8125,1.22,24.12,21.44,1440.04
45393.83333,1.18,24.15,21.44,1439.9
45393.85417,1.18,24.12,21.42,1439.86
45393.875,1.18,24.12,21.42,1439.86
45393.89583,1.14,24.15,21.42,1439.72
45393.91667,1.14,24.15,21.42,1439.72
45393.9375,1.1,24.15,21.39,1439.54
45393.95833,1.06,24.15,21.37,1439.36
45393.97917,1.06,24.15,21.37,1439.36
45394,1.06,24.15,21.37,1439.36
45394.02083,1.06,24.18,21.39,1439.4
45394.04167,1.06,24.18,21.39,1439.4
45394.0625,1.02,24.21,21.39,1439.25
45394.08333,1.02,24.21,21.39,1439.25
45394.10417,1.02,24.21,21.39,1439.25
45394.125,1.02,24.21,21.39,1439.25
45394.14583,1.02,24.21,21.39,1439.25
45394.16667,1.02,24.21,21.39,1439.25
45394.1875,1.02,24.21,21.39,1439.25
45394.20833,0.98,24.24,21.39,1439.11
45394.22917,0.94,24.24,21.37,1438.93
45394.25,0.94,24.21,21.34,1438.89
45394.27083,0.86,24.27,21.34,1438.6
45394.29167,0.82,24.27,21.32,1438.42
45394.3125,0.78,24.27,21.29,1438.23
45394.33333,0.78,24.27,21.29,1438.23
45394.35417,0.78,24.3,21.32,1438.27
45394.375,0.78,24.3,21.32,1438.27
45394.39583,0.78,24.3,21.32,1438.27
45394.41667,0.78,24.3,21.32,1438.27
45394.4375,0.78,24.27,21.29,1438.23
45394.45833,0.74,24.3,21.29,1438.09
45394.47917,0.7,24.3,21.27,1437.9
45394.5,0.7,24.33,21.29,1437.94
45394.52083,0.7,24.3,21.27,1437.9
45394.54167,0.66,24.33,21.26,1437.76
45394.5625,0.66,24.33,21.26,1437.76
45394.58333,0.66,24.33,21.26,1437.76
45394.60417,0.62,24.36,21.26,1437.61
45394.625,0.66,24.36,21.29,1437.8
45394.64583,0.78,24.33,21.34,1438.31
45394.66667,0.86,24.36,21.41,1438.72
45394.6875,0.94,24.36,21.46,1439.09
45394.70833,0.94,24.36,21.46,1439.09
45394.72917,0.86,24.36,21.41,1438.72
45394.75,0.82,24.36,21.39,1438.54
45394.77083,0.82,24.39,21.41,1438.58
45394.79167,0.78,24.39,21.39,1438.39
45394.8125,0.74,24.42,21.39,1438.25
45394.83333,0.74,24.42,21.39,1438.25
45394.85417,0.74,24.42,21.39,1438.25
45394.875,0.74,24.42,21.39,1438.25
45394.89583,0.74,24.45,21.41,1438.29
45394.91667,0.74,24.42,21.39,1438.25
45394.9375,0.74,24.45,21.41,1438.29
45394.95833,0.78,24.42,21.41,1438.44
45394.97917,0.82,24.45,21.46,1438.66
45395,1.06,24.42,21.59,1439.72
45395.02083,1.1,24.45,21.64,1439.94
45395.04167,1.06,24.48,21.64,1439.8
45395.0625,1.06,24.48,21.64,1439.8
45395.08333,1.06,24.45,21.61,1439.76
45395.10417,1.06,24.48,21.64,1439.8
45395.125,1.06,24.45,21.61,1439.76
45395.14583,1.02,24.48,21.61,1439.62
45395.16667,1.06,24.51,21.66,1439.84
45395.1875,1.06,24.48,21.64,1439.8
45395.20833,1.14,24.48,21.69,1440.16
45395.22917,1.1,24.48,21.66,1439.98
45395.25,1.06,24.48,21.64,1439.8
45395.27083,1.06,24.48,21.64,1439.8
45395.29167,1.02,24.51,21.64,1439.66
45395.3125,0.98,24.51,21.61,1439.47
45395.33333,0.94,24.51,21.59,1439.29
45395.35417,0.9,24.54,21.59,1439.15
45395.375,0.9,24.51,21.56,1439.11
45395.39583,0.82,24.52,21.51,1438.74
45395.41667,0.74,24.55,21.49,1438.41
45395.4375,0.74,24.52,21.46,1438.37
45395.45833,0.7,24.55,21.46,1438.23
45395.47917,0.7,24.55,21.46,1438.23
45395.5,0.7,24.52,21.44,1438.19
45395.52083,0.66,24.55,21.44,1438.04
45395.54167,0.66,24.55,21.44,1438.04
45395.5625,0.66,24.55,21.44,1438.04
45395.58333,0.66,24.55,21.44,1438.04
45395.60417,0.66,24.55,21.44,1438.04
45395.625,0.7,24.55,21.46,1438.23
45395.64583,0.7,24.55,21.46,1438.23
45395.66667,0.7,24.58,21.49,1438.27
45395.6875,0.74,24.55,21.49,1438.41
45395.70833,0.74,24.58,21.51,1438.45
45395.72917,0.7,24.55,21.46,1438.23
45395.75,0.7,24.58,21.49,1438.27
45395.77083,0.7,24.58,21.49,1438.27
45395.79167,0.74,24.58,21.51,1438.45
45395.8125,0.78,24.55,21.51,1438.6
45395.83333,0.9,24.58,21.61,1439.19
45395.85417,0.9,24.61,21.64,1439.23
45395.875,0.9,24.58,21.61,1439.19
45395.89583,0.94,24.57,21.64,1439.37
45395.91667,0.9,24.61,21.64,1439.23
45395.9375,0.82,24.61,21.59,1438.86
45395.95833,0.82,24.58,21.56,1438.82
45395.97917,0.86,24.61,21.61,1439.05
45396,0.98,24.6,21.69,1439.59
45396.02083,1.02,24.6,21.71,1439.78
45396.04167,1.06,24.6,21.74,1439.96
45396.0625,1.1,24.6,21.76,1440.14
45396.08333,1.14,24.57,21.76,1440.28
45396.10417,1.14,24.6,21.79,1440.32
45396.125,1.14,24.6,21.79,1440.32
45396.14583,0.94,24.6,21.66,1439.41
