Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
44655,0.12,0,0,1402.64
44655.02083,0,0,0,1402.04
44655.04167,0.04,0,0,1402.24
44655.0625,0,0,0,1402.04
44655.08333,-0.17,0,0,1401.24
44655.10417,-0.33,0,0,1400.42
44655.125,-0.37,0,0,1400.22
44655.14583,-0.37,0,0,1400.22
44655.16667,-0.29,0,0,1400.63
44655.1875,-0.25,0,0,1400.83
44655.20833,-0.04,0,0,1401.84
44655.22917,0.08,0,0,1402.44
44655.25,0.2,0,0,1403.04
44655.27083,0.32,0,0,1403.64
44655.29167,0.4,0,0,1404.03
44655.3125,0.6,0,0,1405.01
44655.33333,0.52,0,0,1404.62
44655.35417,-0.17,0,0,1401.24
44655.375,-0.7,0,0,1398.57
44655.39583,-0.82,0,0,1397.95
44655.41667,-0.91,0,0,1397.53
44655.4375,-0.99,0,0,1397.11
44655.45833,-0.99,0,0,1397.11
44655.47917,-0.99,0,0,1397.11
44655.5,-0.99,0,0,1397.11
44655.52083,-1.03,0,0,1396.9
44655.54167,-1.03,0,0,1396.9
44655.5625,-0.99,0,0,1397.11
44655.58333,-0.91,0,0,1397.53
44655.60417,-0.78,0,0,1398.16
44655.625,-0.7,0,0,1398.57
44655.64583,-0.66,0,0,1398.78
44655.66667,-0.62,0,0,1398.99
44655.6875,-0.62,0,0,1398.99
44655.70833,-0.62,0,0,1398.99
44655.72917,-0.62,0,0,1398.99
44655.75,-0.62,0,0,1398.99
44655.77083,-0.62,0,0,1398.99
44655.79167,-0.66,0,0,1398.78
44655.8125,-0.7,0,0,1398.57
44655.83333,-0.74,0,0,1398.37
44655.85417,-0.82,0,0,1397.95
44655.875,-0.91,0,0,1397.53
44655.89583,-0.99,0,0,1397.11
44655.91667,-1.03,0,0,1396.9
44655.9375,-1.07,0,0,1396.69
44655.95833,-1.07,0,0,1396.69
44655.97917,-1.11,0,0,1396.48
44656,-1.16,0,0,1396.27
44656.02083,-1.2,0,0,1396.06
44656.04167,-1.24,0,0,1395.85
44656.0625,-1.24,0,0,1395.85
44656.08333,-1.24,0,0,1395.85
44656.10417,-1.24,0,0,1395.85
44656.125,-1.28,0,0,1395.63
44656.14583,-1.32,0,0,1395.42
44656.16667,-1.36,0,0,1395.21
44656.1875,-1.41,0,0,1394.99
44656.20833,-1.41,0,0,1394.99
44656.22917,-1.49,0,0,1394.56
44656.25,-1.53,0,0,1394.35
44656.27083,-1.53,0,0,1394.35
44656.29167,-1.45,0,0,1394.78
44656.3125,-1.24,0,0,1395.85
44656.33333,-0.99,0,0,1397.11
44656.35417,-0.62,0,0,1398.99
44656.375,-0.29,0,0,1400.63
44656.39583,-0.17,0,0,1401.24
44656.41667,-0.17,0,0,1401.24
44656.4375,-0.25,0,0,1400.83
44656.45833,-0.37,0,0,1400.22
44656.47917,-0.49,0,0,1399.61
44656.5,-0.7,0,0,1398.57
44656.52083,-0.82,0,0,1397.95
44656.54167,-0.74,0,0,1398.37
44656.5625,-0.7,0,0,1398.57
44656.58333,-0.74,0,0,1398.37
44656.60417,-0.74,0,0,1398.37
44656.625,-0.82,0,0,1397.95
44656.64583,-0.74,0,0,1398.37
44656.66667,-0.7,0,0,1398.57
44656.6875,-0.7,0,0,1398.57
44656.70833,-0.7,0,0,1398.57
44656.72917,-0.74,0,0,1398.37
44656.75,-0.82,0,0,1397.95
44656.77083,-0.91,0,0,1397.53
44656.79167,-0.95,0,0,1397.32
44656.8125,-1.03,0,0,1396.9
44656.83333,-0.95,0,0,1397.32
44656.85417,-0.86,0,0,1397.74
44656.875,-0.91,0,0,1397.53
44656.89583,-0.99,0,0,1397.11
44656.91667,-1.16,0,0,1396.27
44656.9375,-1.2,0,0,1396.06
44656.95833,-1.24,0,0,1395.85
44656.97917,-1.41,0,0,1394.99
44657,-1.49,0,0,1394.56
44657.02083,-1.53,0,0,1394.35
44657.04167,-1.49,0,0,1394.56
44657.0625,-1.53,0,0,1394.35
44657.08333,-1.96,0,0,1392.17
44657.10417,-2.51,0,0,1389.28
44657.125,-2.69,0,0,1388.38
44657.14583,-2.69,0,0,1388.38
44657.16667,-2.73,0,0,1388.15
44657.1875,-2.73,0,0,1388.15
44657.20833,-2.73,0,0,1388.15
44657.22917,-2.82,0,0,1387.69
44657.25,-2.77,0,0,1387.92
44657.27083,-2.73,0,0,1388.15
44657.29167,-2.38,0,0,1389.96
44657.3125,-1.96,0,0,1392.17
44657.33333,-1.16,0,0,1396.27
44657.35417,-0.41,0,0,1400.02
44657.375,-0.04,0,0,1401.84
44657.39583,0.12,0,0,1402.64
44657.41667,0.24,0,0,1403.24
44657.4375,0.32,0,0,1403.64
44657.45833,0.52,0,0,1404.62
44657.47917,0.76,0,0,1405.79
44657.5,1.2,0,0,1407.9
44657.52083,1.78,0,0,1410.72
44657.54167,2.13,0,0,1412.37
44657.5625,2.44,0,0,1413.82
44657.58333,2.67,0,0,1414.9
44657.60417,3.05,0,0,1416.66
44657.625,3.31,0,0,1417.88
44657.64583,3.09,0,0,1416.84
44657.66667,2.59,0,0,1414.54
44657.6875,2.32,0,0,1413.28
44657.70833,2.05,0,0,1412.01
44657.72917,1.59,0,0,1409.79
44657.75,1.2,0,0,1407.9
44657.77083,0.76,0,0,1405.79
44657.79167,0.4,0,0,1404.03
44657.8125,0.12,0,0,1402.64
44657.83333,-0.04,0,0,1401.84
44657.85417,-0.17,0,0,1401.24
