Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,0.24,28.88,24.55,1441.86
45390.02083,0.24,28.88,24.55,1441.86
45390.04167,0.24,28.97,24.62,1441.98
45390.0625,0.24,28.97,24.62,1441.98
45390.08333,0.24,29.01,24.66,1442.04
45390.10417,0.24,28.88,24.55,1441.86
45390.125,0.24,28.97,24.62,1441.98
45390.14583,0.24,28.97,24.62,1441.98
45390.16667,0.28,28.93,24.62,1442.12
45390.1875,0.28,28.98,24.66,1442.18
45390.20833,0.28,28.93,24.62,1442.12
45390.22917,0.28,28.93,24.62,1442.12
45390.25,0.28,28.89,24.59,1442.06
45390.27083,0.28,28.89,24.59,1442.06
45390.29167,0.28,28.89,24.59,1442.06
45390.3125,0.28,28.84,24.56,1442
45390.33333,0.28,28.84,24.56,1442
45390.35417,0.32,28.8,24.56,1442.14
45390.375,0.32,28.8,24.56,1442.14
45390.39583,0.32,28.76,24.52,1442.08
45390.41667,0.32,28.72,24.49,1442.02
45390.4375,0.32,28.76,24.52,1442.08
45390.45833,0.32,28.72,24.49,1442.02
45390.47917,0.32,28.72,24.49,1442.02
45390.5,0.32,28.72,24.49,1442.02
45390.52083,0.32,28.67,24.45,1441.96
45390.54167,0.32,28.67,24.45,1441.96
45390.5625,0.36,28.63,24.45,1442.09
45390.58333,0.36,28.63,24.45,1442.09
45390.60417,0.36,28.63,24.45,1442.09
45390.625,0.36,28.59,24.42,1442.03
45390.64583,0.4,28.6,24.45,1442.23
45390.66667,0.4,28.55,24.42,1442.17
45390.6875,0.4,28.55,24.42,1442.17
45390.70833,0.4,28.55,24.42,1442.17
45390.72917,0.4,28.6,24.45,1442.23
45390.75,0.44,28.56,24.45,1442.37
45390.77083,0.44,28.56,24.45,1442.37
45390.79167,0.44,28.56,24.45,1442.37
45390.8125,0.48,28.39,24.35,1442.33
45390.83333,0.44,28.34,24.28,1442.07
45390.85417,0.44,28.34,24.28,1442.07
45390.875,0.44,28.34,24.28,1442.07
45390.89583,0.4,28.33,24.25,1441.88
45390.91667,0.4,28.29,24.21,1441.82
45390.9375,0.4,28.29,24.21,1441.82
45390.95833,0.4,28.29,24.21,1441.82
45390.97917,0.4,28.29,24.21,1441.82
45391,0.4,28.29,24.21,1441.82
45391.02083,0.4,28.29,24.21,1441.82
45391.04167,0.4,28.29,24.21,1441.82
45391.0625,0.4,28.29,24.21,1441.82
45391.08333,0.4,28.29,24.21,1441.82
45391.10417,0.4,28.24,24.18,1441.76
45391.125,0.36,28.28,24.18,1441.62
45391.14583,0.36,28.24,24.14,1441.56
45391.16667,0.36,28.24,24.14,1441.56
45391.1875,0.36,28.24,24.14,1441.56
45391.20833,0.36,28.24,24.14,1441.56
45391.22917,0.4,28.24,24.18,1441.76
45391.25,0.44,28.21,24.18,1441.89
45391.27083,0.4,28.24,24.18,1441.76
45391.29167,0.4,28.2,24.14,1441.7
45391.3125,0.36,28.24,24.14,1441.56
45391.33333,0.36,28.24,24.14,1441.56
45391.35417,0.36,28.24,24.14,1441.56
45391.375,0.36,28.24,24.14,1441.56
