Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,0.29,30.77,26.06,1444.64
45390.02083,0.29,30.86,26.13,1444.76
45390.04167,0.29,30.77,26.06,1444.64
45390.0625,0.29,31.63,26.72,1445.8
45390.08333,0.25,31.26,26.41,1445.12
45390.10417,0.21,31.85,26.83,1445.72
45390.125,0.17,30.93,26.09,1444.31
45390.14583,0.21,30.89,26.09,1444.44
45390.16667,0.21,30.71,25.95,1444.19
45390.1875,0.21,30.85,26.05,1444.38
45390.20833,0.25,30.76,26.02,1444.45
45390.22917,0.25,30.81,26.06,1444.51
45390.25,0.25,30.9,26.13,1444.63
45390.27083,0.25,30.76,26.02,1444.45
45390.29167,0.25,30.76,26.02,1444.45
45390.3125,0.25,30.76,26.02,1444.45
45390.33333,0.25,30.76,26.02,1444.45
45390.35417,0.29,30.95,26.2,1444.88
45390.375,0.29,30.77,26.06,1444.64
45390.39583,0.29,30.68,25.99,1444.52
45390.41667,0.29,31.86,26.9,1446.1
45390.4375,0.33,30.82,26.13,1444.89
45390.45833,0.37,31.37,26.58,1445.81
45390.47917,0.37,31.01,26.3,1445.33
45390.5,0.37,30.92,26.23,1445.21
45390.52083,0.37,30.82,26.16,1445.08
45390.54167,0.37,30.64,26.02,1444.84
45390.5625,0.41,30.74,26.13,1445.16
45390.58333,0.45,31.7,26.9,1446.62
45390.60417,0.45,30.75,26.16,1445.35
45390.625,0.49,30.8,26.23,1445.6
45390.64583,0.53,30.85,26.3,1445.85
45390.66667,0.57,30.9,26.37,1446.1
45390.6875,1.4,30.66,26.84,1449.55
45390.70833,0.81,30.66,26.37,1446.87
45390.72917,0.85,30.67,26.41,1447.06
45390.75,0.81,30.62,26.34,1446.81
45390.77083,0.77,30.66,26.34,1446.69
45390.79167,0.49,30.66,26.13,1445.42
45390.8125,0.45,30.88,26.27,1445.53
45390.83333,0.45,30.75,26.16,1445.35
45390.85417,0.45,30.52,25.99,1445.04
45390.875,0.49,30.52,26.02,1445.24
45390.89583,0.77,30.48,26.2,1446.45
45390.91667,0.69,30.47,26.13,1446.07
45390.9375,0.53,30.49,26.02,1445.37
45390.95833,0.61,30.45,26.06,1445.69
45390.97917,0.65,30.41,26.06,1445.82
45391,0.53,30.44,25.99,1445.31
45391.02083,0.49,30.48,25.99,1445.18
45391.04167,0.57,30.45,26.02,1445.5
45391.0625,0.45,30.47,25.95,1444.98
45391.08333,0.49,30.43,25.95,1445.11
45391.10417,0.49,30.43,25.95,1445.11
45391.125,0.53,30.4,25.95,1445.25
45391.14583,0.49,30.39,25.92,1445.05
45391.16667,0.57,30.45,26.02,1445.5
45391.1875,0.65,30.46,26.09,1445.88
45391.20833,0.53,30.44,25.99,1445.31
45391.22917,0.53,30.4,25.95,1445.25
45391.25,0.57,30.31,25.92,1445.32
45391.27083,0.81,31.38,26.93,1447.83
45391.29167,0.81,30.3,26.09,1446.4
45391.3125,0.77,30.48,26.2,1446.45
45391.33333,0.81,30.35,26.13,1446.46
45391.35417,0.89,30.59,26.38,1447.13
45391.375,0.57,30.4,25.99,1445.44
45391.39583,0.61,30.99,26.48,1446.41
45391.41667,0.49,30.8,26.23,1445.6
45391.4375,0.61,30.59,26.16,1445.87
45391.45833,0.57,30.81,26.3,1445.98
45391.47917,0.65,31.54,26.93,1447.32
45391.5,0.61,31.49,26.86,1447.07
45391.52083,0.65,31.31,26.76,1447.02
45391.54167,0.69,30.51,26.16,1446.13
45391.5625,0.65,30.82,26.37,1446.36
45391.58333,0.61,30.95,26.44,1446.35
45391.60417,0.69,30.73,26.34,1446.43
45391.625,0.65,31,26.51,1446.6
45391.64583,0.61,31.85,27.14,1447.55
45391.66667,0.65,31.4,26.83,1447.14
45391.6875,0.65,31.45,26.86,1447.2
45391.70833,0.73,31.32,26.83,1447.39
45391.72917,0.73,31.32,26.83,1447.39
45391.75,0.69,31.68,27.07,1447.69
45391.77083,0.61,30.36,25.99,1445.57
45391.79167,0.61,30.99,26.48,1446.41
45391.8125,0.61,30.41,26.02,1445.63
45391.83333,0.57,30.72,26.23,1445.86
45391.85417,0.57,31.08,26.51,1446.34
45391.875,0.53,30.44,25.99,1445.31
45391.89583,0.53,31.16,26.55,1446.27
45391.91667,0.53,30.58,26.09,1445.49
45391.9375,0.49,31.02,26.41,1445.9
45391.95833,0.45,30.79,26.2,1445.41
45391.97917,0.45,30.61,26.06,1445.17
45392,0.49,30.98,26.37,1445.84
45392.02083,0.53,30.85,26.3,1445.85
45392.04167,0.49,31.25,26.58,1446.2
45392.0625,0.57,30.99,26.44,1446.22
45392.08333,0.65,30.86,26.41,1446.42
45392.10417,0.65,30.73,26.3,1446.24
