Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
44655,0,0,0,1402.08
44655.02083,0,0,0,1402.08
44655.04167,0,0,0,1402.08
44655.0625,0,0,0,1402.08
44655.08333,-0.12,0,0,1401.47
44655.10417,-0.28,0,0,1400.66
44655.125,-0.4,0,0,1400.05
44655.14583,-0.4,0,0,1400.05
44655.16667,-0.32,0,0,1400.46
44655.1875,-0.24,0,0,1400.87
44655.20833,-0.08,0,0,1401.68
44655.22917,0.04,0,0,1402.28
44655.25,0.17,0,0,1402.88
44655.27083,0.29,0,0,1403.47
44655.29167,0.37,0,0,1403.87
44655.3125,0.53,0,0,1404.65
44655.33333,0.45,0,0,1404.26
44655.35417,0,0,0,1402.08
44655.375,-0.2,0,0,1401.07
44655.39583,-0.36,0,0,1400.26
44655.41667,-0.53,0,0,1399.44
44655.4375,-0.65,0,0,1398.82
44655.45833,-0.65,0,0,1398.82
44655.47917,-0.65,0,0,1398.82
44655.5,-0.77,0,0,1398.2
44655.52083,-0.94,0,0,1397.36
44655.54167,-0.98,0,0,1397.15
44655.5625,-0.86,0,0,1397.78
44655.58333,-0.61,0,0,1399.03
44655.60417,-0.44,0,0,1399.85
44655.625,-0.44,0,0,1399.85
44655.64583,-0.53,0,0,1399.44
44655.66667,-0.73,0,0,1398.41
44655.6875,-0.86,0,0,1397.78
44655.70833,-0.94,0,0,1397.36
44655.72917,-0.94,0,0,1397.36
44655.75,-0.98,0,0,1397.15
44655.77083,-1.15,0,0,1396.31
44655.79167,-1.27,0,0,1395.68
44655.8125,-1.4,0,0,1395.04
44655.83333,-1.52,0,0,1394.39
44655.85417,-1.65,0,0,1393.75
44655.875,-1.69,0,0,1393.53
44655.89583,-1.73,0,0,1393.31
44655.91667,-1.73,0,0,1393.31
44655.9375,-1.69,0,0,1393.53
44655.95833,-1.65,0,0,1393.75
44655.97917,-1.61,0,0,1393.96
44656,-1.61,0,0,1393.96
44656.02083,-1.52,0,0,1394.39
44656.04167,-1.44,0,0,1394.82
44656.0625,-1.4,0,0,1395.04
44656.08333,-1.36,0,0,1395.25
44656.10417,-1.36,0,0,1395.25
44656.125,-1.4,0,0,1395.04
44656.14583,-1.4,0,0,1395.04
44656.16667,-1.4,0,0,1395.04
44656.1875,-1.44,0,0,1394.82
44656.20833,-1.44,0,0,1394.82
44656.22917,-1.48,0,0,1394.61
44656.25,-1.52,0,0,1394.39
44656.27083,-1.44,0,0,1394.82
44656.29167,-1.23,0,0,1395.89
44656.3125,-0.94,0,0,1397.36
44656.33333,-0.69,0,0,1398.61
44656.35417,-0.49,0,0,1399.64
44656.375,-0.28,0,0,1400.66
44656.39583,-0.12,0,0,1401.47
44656.41667,-0.08,0,0,1401.68
44656.4375,-0.04,0,0,1401.88
44656.45833,-0.04,0,0,1401.88
44656.47917,-0.04,0,0,1401.88
44656.5,0,0,0,1402.08
44656.52083,0.08,0,0,1402.48
44656.54167,0.12,0,0,1402.68
44656.5625,0.08,0,0,1402.48
44656.58333,0.08,0,0,1402.48
44656.60417,0.12,0,0,1402.68
44656.625,0.12,0,0,1402.68
44656.64583,0.12,0,0,1402.68
44656.66667,0.08,0,0,1402.48
44656.6875,0.04,0,0,1402.28
44656.70833,-0.04,0,0,1401.88
44656.72917,-0.08,0,0,1401.68
44656.75,-0.2,0,0,1401.07
44656.77083,-0.36,0,0,1400.26
44656.79167,-0.81,0,0,1397.99
44656.8125,-1.11,0,0,1396.52
44656.83333,-1.36,0,0,1395.25
44656.85417,-1.52,0,0,1394.39
44656.875,-1.69,0,0,1393.53
44656.89583,-1.95,0,0,1392.22
44656.91667,-2.12,0,0,1391.34
44656.9375,-2.33,0,0,1390.24
44656.95833,-2.55,0,0,1389.12
44656.97917,-2.67,0,0,1388.44
44657,-2.8,0,0,1387.76
44657.02083,-2.93,0,0,1387.07
44657.04167,-3.2,0,0,1385.69
44657.0625,-3.37,0,0,1384.76
44657.08333,-3.46,0,0,1384.29
44657.10417,-3.77,0,0,1382.63
44657.125,-3.95,0,0,1381.68
44657.14583,-4.04,0,0,1381.2
44657.16667,-4.17,0,0,1380.47
44657.1875,-4.17,0,0,1380.47
44657.20833,-4.13,0,0,1380.71
44657.22917,-4.08,0,0,1380.95
44657.25,-3.77,0,0,1382.63
44657.27083,-1.9,0,0,1392.44
44657.29167,0,0,0,1402.08
44657.3125,2.41,0,0,1413.67
44657.33333,4.17,0,0,1421.81
44657.35417,4.06,0,0,1421.31
44657.375,4.61,0,0,1423.79
44657.39583,5.87,0,0,1429.35
44657.41667,6.75,0,0,1433.15
44657.4375,6.44,0,0,1431.8
44657.45833,6.26,0,0,1431.04
44657.47917,5.73,0,0,1428.73
44657.5,5.19,0,0,1426.37
44657.52083,4.72,0,0,1424.28
44657.54167,4.14,0,0,1421.64
44657.5625,3.8,0,0,1420.13
44657.58333,3.65,0,0,1419.45
44657.60417,3.54,0,0,1418.94
44657.625,3.39,0,0,1418.25
44657.64583,3.24,0,0,1417.56
44657.66667,2.98,0,0,1416.34
44657.6875,2.67,0,0,1414.92
44657.70833,2.37,0,0,1413.49
44657.72917,2.02,0,0,1411.85
44657.75,1.59,0,0,1409.82
44657.77083,1.2,0,0,1407.93
44657.79167,0.77,0,0,1405.82
44657.8125,0.29,0,0,1403.47
44657.83333,-0.12,0,0,1401.47
44657.85417,-0.44,0,0,1399.85
44657.875,-0.73,0,0,1398.41
44657.89583,-0.98,0,0,1397.15
44657.91667,-1.15,0,0,1396.31
44657.9375,-1.27,0,0,1395.68
44657.95833,-1.44,0,0,1394.82
44657.97917,-1.69,0,0,1393.53
44658,-1.86,0,0,1392.66
44658.02083,-1.95,0,0,1392.22
44658.04167,-2.12,0,0,1391.34
44658.0625,-2.29,0,0,1390.46
44658.08333,-2.46,0,0,1389.56
44658.10417,-2.59,0,0,1388.89
44658.125,-2.5,0,0,1389.34
44658.14583,-2.37,0,0,1390.01
44658.16667,-2.24,0,0,1390.68
44658.1875,-1.95,0,0,1392.22
44658.20833,-1.69,0,0,1393.53
44658.22917,-1.48,0,0,1394.61
44658.25,-1.19,0,0,1396.1
44658.27083,1.16,0,0,1407.74
44658.29167,4.83,0,0,1424.76
44658.3125,7.34,0,0,1435.65
44658.33333,6.86,0,0,1433.59
44658.35417,6.75,0,0,1433.15
44658.375,5.23,0,0,1426.53
44658.39583,4.58,0,0,1423.62
44658.41667,4.43,0,0,1422.97
44658.4375,4.58,0,0,1423.62
44658.45833,5.19,0,0,1426.37
44658.47917,5.84,0,0,1429.2
44658.5,6.05,0,0,1430.12
44658.52083,6.16,0,0,1430.58
44658.54167,6.51,0,0,1432.1
44658.5625,6.23,0,0,1430.89
44658.58333,5.84,0,0,1429.2
44658.60417,5.26,0,0,1426.69
44658.625,5.08,0,0,1425.89
44658.64583,4.83,0,0,1424.76
44658.66667,4.83,0,0,1424.76
44658.6875,4.65,0,0,1423.95
44658.70833,4.32,0,0,1422.47
44658.72917,4.02,0,0,1421.14
44658.75,3.58,0,0,1419.11
44658.77083,3.13,0,0,1417.04
44658.79167,2.64,0,0,1414.74
44658.8125,2.14,0,0,1412.4
44658.83333,1.59,0,0,1409.82
44658.85417,1.16,0,0,1407.74
44658.875,0.81,0,0,1406.02
44658.89583,0.49,0,0,1404.46
44658.91667,0.25,0,0,1403.27
44658.9375,-0.04,0,0,1401.88
44658.95833,-0.2,0,0,1401.07
44658.97917,-0.32,0,0,1400.46
44659,-0.53,0,0,1399.44
44659.02083,-0.69,0,0,1398.61
44659.04167,-0.81,0,0,1397.99
44659.0625,-0.98,0,0,1397.15
44659.08333,-1.11,0,0,1396.52
44659.10417,-1.19,0,0,1396.1
44659.125,-1.27,0,0,1395.68
44659.14583,-1.23,0,0,1395.89
44659.16667,-1.02,0,0,1396.95
44659.1875,-0.81,0,0,1397.99
44659.20833,-0.57,0,0,1399.23
44659.22917,-0.4,0,0,1400.05
44659.25,0.29,0,0,1403.47
44659.27083,0.93,0,0,1406.6
44659.29167,2.02,0,0,1411.85
44659.3125,1.48,0,0,1409.26
44659.33333,1.36,0,0,1408.69
44659.35417,1.63,0,0,1410
44659.375,2.21,0,0,1412.76
44659.39583,2.79,0,0,1415.45
44659.41667,3.43,0,0,1418.42
44659.4375,3.99,0,0,1420.97
44659.45833,4.9,0,0,1425.09
44659.47917,5.16,0,0,1426.21
44659.5,4.94,0,0,1425.25
44659.52083,4.5,0,0,1423.3
44659.54167,4.17,0,0,1421.81
44659.5625,4.21,0,0,1421.97
44659.58333,4.02,0,0,1421.14
44659.60417,3.73,0,0,1419.79
44659.625,3.58,0,0,1419.11
44659.64583,3.5,0,0,1418.76
44659.66667,3.32,0,0,1417.9
44659.6875,2.75,0,0,1415.28
44659.70833,2.48,0,0,1414.03
44659.72917,2.52,0,0,1414.21
44659.75,2.52,0,0,1414.21
44659.77083,2.44,0,0,1413.85
44659.79167,2.41,0,0,1413.67
44659.8125,2.41,0,0,1413.67
44659.83333,2.41,0,0,1413.67
44659.85417,2.52,0,0,1414.21
44659.875,2.6,0,0,1414.56
44659.89583,2.71,0,0,1415.1
44659.91667,2.64,0,0,1414.74
44659.9375,2.56,0,0,1414.39
44659.95833,2.25,0,0,1412.95
44659.97917,2.48,0,0,1414.03
44660,2.9,0,0,1415.98
44660.02083,3.05,0,0,1416.69
44660.04167,4.02,0,0,1421.14
44660.0625,3.43,0,0,1418.42
44660.08333,2.98,0,0,1416.34
44660.10417,2.64,0,0,1414.74
44660.125,2.56,0,0,1414.39
44660.14583,2.71,0,0,1415.1
44660.16667,2.52,0,0,1414.21
44660.1875,2.44,0,0,1413.85
44660.20833,2.56,0,0,1414.39
