Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45383,0.87,14.68,13.44,1425.88
45383.02083,0.87,14.69,13.45,1425.89
45383.04167,0.91,14.67,13.45,1426.05
45383.0625,0.87,14.67,13.43,1425.86
45383.08333,0.91,14.64,13.42,1426.02
45383.10417,0.91,14.62,13.41,1425.99
45383.125,0.91,14.61,13.4,1425.98
45383.14583,0.91,14.6,13.39,1425.97
45383.16667,0.91,14.6,13.39,1425.96
45383.1875,0.91,14.59,13.38,1425.95
45383.20833,0.91,14.59,13.38,1425.94
45383.22917,0.91,14.6,13.39,1425.96
45383.25,0.91,14.59,13.38,1425.94
45383.27083,0.91,14.59,13.38,1425.94
45383.29167,0.91,14.58,13.37,1425.94
45383.3125,0.87,14.59,13.37,1425.77
45383.33333,0.87,14.59,13.36,1425.76
45383.35417,0.87,14.58,13.36,1425.75
45383.375,0.87,14.57,13.35,1425.74
45383.39583,0.87,14.58,13.36,1425.75
45383.41667,0.87,14.59,13.37,1425.77
45383.4375,0.87,14.59,13.37,1425.77
45383.45833,0.87,14.6,13.37,1425.77
45383.47917,0.87,14.63,13.4,1425.81
45383.5,0.87,14.64,13.4,1425.82
45383.52083,0.91,14.63,13.41,1426
45383.54167,0.91,14.64,13.42,1426.01
45383.5625,0.91,14.64,13.42,1426.01
45383.58333,0.87,14.65,13.42,1425.85
45383.60417,0.91,14.64,13.42,1426.01
45383.625,0.91,14.64,13.42,1426.02
45383.64583,0.91,14.65,13.43,1426.03
45383.66667,0.91,14.65,13.43,1426.03
45383.6875,0.91,14.64,13.42,1426.02
45383.70833,0.91,14.64,13.42,1426.01
45383.72917,0.91,14.57,13.36,1425.92
45383.75,0.91,14.59,13.38,1425.94
45383.77083,0.91,14.65,13.43,1426.03
45383.79167,0.91,14.67,13.45,1426.06
45383.8125,0.91,14.67,13.45,1426.05
45383.83333,0.91,14.69,13.46,1426.08
45383.85417,0.91,14.67,13.45,1426.06
45383.875,0.91,14.67,13.45,1426.05
45383.89583,0.91,14.67,13.45,1426.06
45383.91667,0.91,14.68,13.46,1426.07
45383.9375,0.95,14.66,13.46,1426.23
45383.95833,0.95,14.66,13.46,1426.23
45383.97917,0.99,14.63,13.45,1426.38
45384,0.99,14.63,13.45,1426.38
45384.02083,0.99,14.63,13.44,1426.37
45384.04167,0.99,14.62,13.44,1426.36
45384.0625,0.99,14.62,13.43,1426.36
45384.08333,0.95,14.62,13.42,1426.18
45384.10417,0.95,14.61,13.41,1426.16
45384.125,0.91,14.63,13.41,1426
45384.14583,0.91,14.63,13.41,1426
45384.16667,0.91,14.62,13.41,1425.99
45384.1875,0.91,14.63,13.41,1426
45384.20833,0.91,14.64,13.42,1426.01
45384.22917,0.91,14.62,13.41,1425.99
45384.25,0.95,14.6,13.41,1426.15
45384.27083,0.95,14.62,13.42,1426.17
45384.29167,0.95,14.62,13.42,1426.18
45384.3125,0.95,14.62,13.42,1426.17
45384.33333,0.99,14.57,13.4,1426.3
45384.35417,0.99,14.55,13.38,1426.27
45384.375,0.99,14.62,13.43,1426.36
45384.39583,1.03,14.57,13.41,1426.48
45384.41667,1.07,14.58,13.43,1426.68
45384.4375,1.03,14.59,13.43,1426.51
45384.45833,1.07,14.56,13.42,1426.66
45384.47917,1.11,14.54,13.42,1426.81
45384.5,1.15,14.53,13.43,1426.99
45384.52083,1.11,14.53,13.41,1426.8
45384.54167,1.07,14.53,13.4,1426.62
45384.5625,1.07,14.53,13.4,1426.62
45384.58333,1.11,14.52,13.4,1426.78
45384.60417,1.11,14.52,13.4,1426.78
45384.625,1.07,14.52,13.39,1426.6
45384.64583,1.11,14.5,13.39,1426.76
45384.66667,1.11,14.5,13.38,1426.76
45384.6875,1.11,14.5,13.39,1426.76
45384.70833,1.11,14.5,13.39,1426.76
45384.72917,1.11,14.47,13.35,1426.72
45384.75,1.11,14.5,13.39,1426.76
45384.77083,1.11,14.49,13.38,1426.75
45384.79167,1.15,14.49,13.39,1426.93
45384.8125,1.19,14.48,13.4,1427.11
45384.83333,1.23,14.46,13.39,1427.26
45384.85417,1.19,14.46,13.38,1427.08
45384.875,1.19,14.44,13.36,1427.05
45384.89583,1.19,14.44,13.36,1427.05
45384.91667,1.23,14.42,13.36,1427.2
45384.9375,1.23,14.4,13.35,1427.19
45384.95833,1.19,14.43,13.35,1427.04
45384.97917,1.23,14.42,13.36,1427.2
45385,1.23,14.42,13.36,1427.2
45385.02083,1.23,14.4,13.35,1427.19
45385.04167,1.23,14.39,13.33,1427.16
45385.0625,1.23,14.39,13.33,1427.16
45385.08333,1.23,14.38,13.33,1427.16
45385.10417,1.23,14.37,13.32,1427.15
45385.125,1.27,14.36,13.33,1427.31
45385.14583,1.15,14.41,13.32,1426.83
45385.16667,1.19,14.39,13.32,1426.99
45385.1875,1.31,14.37,13.35,1427.51
45385.20833,1.43,14.35,13.38,1428.03
45385.22917,1.54,14.31,13.39,1428.53
45385.25,1.58,14.25,13.35,1428.63
45385.27083,1.54,14.21,13.3,1428.39
45385.29167,1.54,14.17,13.27,1428.35
45385.3125,1.54,14.16,13.26,1428.33
45385.33333,1.54,14.16,13.26,1428.33
45385.35417,1.51,14.17,13.25,1428.16
45385.375,1.51,14.17,13.26,1428.16
45385.39583,1.54,14.15,13.26,1428.32
45385.41667,1.54,14.13,13.24,1428.29
45385.4375,1.51,14.18,13.27,1428.18
45385.45833,1.54,14.17,13.27,1428.34
45385.47917,1.54,14.18,13.28,1428.35
45385.5,1.54,14.2,13.29,1428.38
45385.52083,1.39,14.26,13.28,1427.73
45385.54167,1.39,14.29,13.31,1427.77
45385.5625,1.39,14.31,13.33,1427.8
45385.58333,1.35,14.35,13.35,1427.67
45385.60417,1.35,14.38,13.37,1427.71
45385.625,1.35,14.38,13.37,1427.71
45385.64583,1.35,14.4,13.39,1427.74
45385.66667,1.35,14.42,13.41,1427.76
45385.6875,1.35,14.43,13.42,1427.78
45385.70833,1.35,14.44,13.43,1427.79
45385.72917,1.35,14.44,13.43,1427.79
45385.75,1.35,14.44,13.43,1427.79
45385.77083,1.35,14.44,13.43,1427.79
45385.79167,1.35,14.44,13.43,1427.79
45385.8125,1.35,14.44,13.43,1427.79
45385.83333,1.35,14.43,13.41,1427.77
45385.85417,1.35,14.44,13.43,1427.79
45385.875,1.35,14.44,13.43,1427.79
45385.89583,1.35,14.44,13.43,1427.79
45385.91667,1.35,14.44,13.43,1427.79
45385.9375,1.35,14.44,13.43,1427.79
45385.95833,1.35,14.44,13.43,1427.79
45385.97917,1.35,14.44,13.43,1427.79
45386,1.31,14.45,13.42,1427.62
45386.02083,1.31,14.46,13.43,1427.64
45386.04167,1.31,14.46,13.43,1427.64
45386.0625,1.39,14.43,13.43,1427.95
45386.08333,1.43,14.42,13.44,1428.13
45386.10417,1.54,14.38,13.45,1428.63
45386.125,1.43,14.36,13.39,1428.05
45386.14583,1.39,14.37,13.38,1427.87
45386.16667,1.43,14.36,13.39,1428.05
45386.1875,1.43,14.34,13.37,1428.02
45386.20833,1.86,14.26,13.47,1429.91
45386.22917,2.05,14.23,13.52,1430.76
45386.25,2.05,14.16,13.47,1430.68
45386.27083,2.05,14.08,13.39,1430.56
45386.29167,2.01,14.04,13.34,1430.33
45386.3125,1.97,14.02,13.31,1430.13
45386.33333,1.97,14.04,13.32,1430.15
45386.35417,1.93,14.05,13.31,1429.98
45386.375,1.78,14.1,13.31,1429.34
45386.39583,1.78,14.14,13.34,1429.39
45386.41667,1.78,14.16,13.36,1429.42
45386.4375,1.78,14.15,13.34,1429.4
45386.45833,1.82,14.12,13.33,1429.54
45386.47917,1.86,14.09,13.33,1429.69
45386.5,1.82,14.06,13.28,1429.47
45386.52083,1.9,14,13.26,1429.75
45386.54167,1.86,14.01,13.25,1429.58
45386.5625,1.86,14.02,13.26,1429.59
45386.58333,1.9,14.01,13.27,1429.76
45386.60417,1.93,13.98,13.26,1429.9
45386.625,1.93,13.96,13.24,1429.87
45386.64583,1.93,13.96,13.24,1429.87
45386.66667,1.97,13.92,13.22,1429.99
45386.6875,2.13,13.85,13.22,1430.62
45386.70833,2.13,13.83,13.2,1430.59
45386.72917,2.21,13.78,13.19,1430.88
45386.75,2.24,13.74,13.16,1431
45386.77083,2.4,13.69,13.18,1431.63
45386.79167,2.36,13.66,13.14,1431.42
45386.8125,2.36,13.64,13.12,1431.4
45386.83333,2.32,13.66,13.12,1431.24
45386.85417,2.17,13.7,13.1,1430.59
45386.875,2.17,13.67,13.08,1430.56
45386.89583,2.17,13.68,13.08,1430.57
45386.91667,2.13,13.64,13.03,1430.33
45386.9375,2.13,13.54,12.94,1430.21
45386.95833,2.13,13.33,12.76,1429.93
45386.97917,2.13,13.21,12.65,1429.77
45387,2.13,13.01,12.47,1429.5
45387.02083,2.17,12.35,11.9,1428.82
45387.04167,2.17,19.44,18.09,1438.16
45387.0625,2.21,20.4,18.93,1439.6
45387.08333,2.21,21.2,19.61,1440.66
45387.10417,2.17,21.63,19.95,1441.05
45387.125,2.13,21.19,19.55,1440.29
45387.14583,2.09,21.77,20.02,1440.88
45387.16667,2.09,21.75,20,1440.85
45387.1875,2.13,20.92,19.33,1439.94
45387.20833,2.17,21.3,19.67,1440.61
45387.22917,2.21,21.37,19.75,1440.87
45387.25,2.24,20.33,18.89,1439.68
45387.27083,2.32,19.67,18.37,1439.16
45387.29167,2.36,19.29,18.06,1438.83
45387.3125,2.4,19.19,17.99,1438.87
45387.33333,2.44,19.28,18.09,1439.17
45387.35417,2.48,19,17.87,1438.97
45387.375,2.48,18.92,17.8,1438.86
45387.39583,2.48,18.93,17.81,1438.88
45387.41667,2.51,18.94,17.84,1439.06
45387.4375,2.48,18.55,17.48,1438.37
45387.45833,2.4,18.59,17.48,1438.09
45387.47917,2.32,18.3,17.19,1437.35
45387.5,2.09,18.43,17.18,1436.48
