Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,0.19,11.51,10.51,1418.39
45390.02083,0.19,11.51,10.51,1418.39
45390.04167,0.19,11.51,10.51,1418.39
45390.0625,0.19,11.51,10.51,1418.39
45390.08333,0.19,11.51,10.51,1418.39
45390.10417,0.19,11.51,10.51,1418.39
45390.125,0.19,11.51,10.51,1418.39
45390.14583,0.19,11.51,10.51,1418.39
45390.16667,0.19,11.51,10.51,1418.39
45390.1875,0.19,11.51,10.51,1418.39
45390.20833,0.19,11.51,10.51,1418.39
45390.22917,0.19,11.51,10.51,1418.39
45390.25,0.15,11.49,10.48,1418.17
45390.27083,0.19,11.51,10.51,1418.39
45390.29167,0.19,11.51,10.51,1418.39
45390.3125,0.23,11.49,10.51,1418.57
45390.33333,0.19,11.51,10.51,1418.39
45390.35417,0.23,11.49,10.51,1418.57
45390.375,0.23,11.49,10.51,1418.57
45390.39583,0.23,11.49,10.51,1418.57
45390.41667,0.27,11.48,10.51,1418.74
45390.4375,0.27,11.48,10.51,1418.74
45390.45833,0.27,11.48,10.51,1418.74
45390.47917,0.27,11.48,10.51,1418.74
45390.5,0.27,11.48,10.51,1418.74
45390.52083,0.27,11.48,10.51,1418.74
45390.54167,0.27,11.48,10.51,1418.74
45390.5625,0.27,11.48,10.51,1418.74
45390.58333,0.27,11.48,10.51,1418.74
45390.60417,0.31,11.5,10.54,1418.96
45390.625,0.31,11.5,10.54,1418.96
45390.64583,0.31,11.5,10.54,1418.96
45390.66667,0.31,11.46,10.51,1418.92
45390.6875,0.31,11.5,10.54,1418.96
45390.70833,0.31,11.53,10.57,1419
45390.72917,0.35,11.48,10.54,1419.13
45390.75,0.39,11.53,10.6,1419.4
45390.77083,0.39,11.5,10.57,1419.35
45390.79167,0.39,11.53,10.6,1419.4
45390.8125,0.35,11.51,10.57,1419.18
45390.83333,0.35,11.51,10.57,1419.18
45390.85417,0.35,11.51,10.57,1419.18
45390.875,0.39,11.5,10.57,1419.35
45390.89583,0.39,11.5,10.57,1419.35
45390.91667,0.43,11.52,10.6,1419.57
45390.9375,0.43,11.52,10.6,1419.57
45390.95833,0.43,11.52,10.6,1419.57
45390.97917,0.43,11.52,10.6,1419.57
45391,0.43,11.52,10.6,1419.57
45391.02083,0.43,11.52,10.6,1419.57
45391.04167,0.43,11.52,10.6,1419.57
45391.0625,0.43,11.55,10.62,1419.61
45391.08333,0.43,11.52,10.6,1419.57
45391.10417,0.43,11.52,10.6,1419.57
45391.125,0.43,11.52,10.6,1419.57
45391.14583,0.39,11.53,10.6,1419.4
45391.16667,0.39,11.5,10.57,1419.35
45391.1875,0.39,11.5,10.57,1419.35
45391.20833,0.39,11.5,10.57,1419.35
45391.22917,0.39,11.5,10.57,1419.35
45391.25,0.39,11.5,10.57,1419.35
45391.27083,0.35,11.55,10.59,1419.22
45391.29167,0.35,11.51,10.57,1419.18
45391.3125,0.35,11.48,10.54,1419.13
45391.33333,0.35,11.48,10.54,1419.13
45391.35417,0.31,11.56,10.59,1419.05
45391.375,0.35,11.55,10.59,1419.22
45391.39583,0.39,11.53,10.6,1419.4
45391.41667,0.39,11.53,10.6,1419.4
45391.4375,0.43,11.52,10.6,1419.57
45391.45833,0.47,11.5,10.6,1419.74
45391.47917,0.47,11.54,10.62,1419.79
45391.5,0.51,11.52,10.63,1419.96
45391.52083,0.51,11.52,10.63,1419.96
45391.54167,0.47,11.54,10.62,1419.79
45391.5625,0.47,11.54,10.62,1419.79
45391.58333,0.47,11.5,10.6,1419.74
45391.60417,0.51,11.52,10.63,1419.96
45391.625,0.51,11.52,10.63,1419.96
45391.64583,0.55,11.51,10.63,1420.13
45391.66667,0.55,11.51,10.63,1420.13
45391.6875,0.55,11.51,10.63,1420.13
45391.70833,0.55,11.51,10.63,1420.13
45391.72917,0.55,11.51,10.63,1420.13
45391.75,0.55,11.51,10.63,1420.13
45391.77083,0.55,11.51,10.63,1420.13
45391.79167,0.51,11.52,10.63,1419.96
45391.8125,0.47,11.5,10.6,1419.74
45391.83333,0.43,11.52,10.6,1419.57
45391.85417,0.43,11.55,10.62,1419.61
45391.875,0.39,11.53,10.6,1419.4
45391.89583,0.39,11.53,10.6,1419.4
45391.91667,0.39,11.53,10.6,1419.4
45391.9375,0.39,11.53,10.6,1419.4
45391.95833,0.39,11.53,10.6,1419.4
45391.97917,0.35,11.55,10.59,1419.22
45392,0.35,11.55,10.59,1419.22
45392.02083,0.39,11.53,10.6,1419.4
45392.04167,0.39,11.53,10.6,1419.4
45392.0625,0.39,11.53,10.6,1419.4
45392.08333,0.43,11.52,10.6,1419.57
45392.10417,0.47,11.54,10.62,1419.79
45392.125,0.51,11.52,10.63,1419.96
45392.14583,0.51,11.52,10.63,1419.96
45392.16667,0.51,11.52,10.63,1419.96
45392.1875,0.51,11.52,10.63,1419.96
45392.20833,0.51,11.52,10.63,1419.96
45392.22917,0.51,11.52,10.63,1419.96
45392.25,0.51,11.52,10.63,1419.96
45392.27083,0.47,11.54,10.62,1419.79
45392.29167,0.43,11.52,10.6,1419.57
45392.3125,0.39,11.53,10.6,1419.4
45392.33333,0.39,11.53,10.6,1419.4
45392.35417,0.39,11.5,10.57,1419.35
45392.375,0.39,11.53,10.6,1419.4
45392.39583,0.39,11.53,10.6,1419.4
45392.41667,0.43,11.52,10.6,1419.57
45392.4375,0.51,11.52,10.63,1419.96
45392.45833,0.55,11.51,10.63,1420.13
45392.47917,0.63,11.51,10.65,1420.52
45392.5,0.63,11.54,10.68,1420.57
45392.52083,0.67,11.53,10.68,1420.74
45392.54167,0.71,11.55,10.71,1420.95
45392.5625,0.71,11.55,10.71,1420.95
45392.58333,0.71,11.52,10.68,1420.91
45392.60417,0.75,11.53,10.71,1421.12
45392.625,0.75,11.53,10.71,1421.12
