Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
45390,1.57,27.77,24.64,1446.46
45390.02083,1.57,27.53,24.44,1446.13
45390.04167,1.53,27.6,24.47,1446.05
45390.0625,1.57,27.57,24.47,1446.18
45390.08333,1.57,27.61,24.51,1446.24
45390.10417,1.53,27.6,24.47,1446.05
45390.125,1.53,27.6,24.47,1446.05
45390.14583,1.53,27.6,24.47,1446.05
45390.16667,1.53,27.56,24.44,1446
45390.1875,1.53,27.56,24.44,1446
45390.20833,1.53,27.56,24.44,1446
45390.22917,1.53,27.56,24.44,1446
45390.25,1.53,27.6,24.47,1446.05
45390.27083,1.53,27.56,24.44,1446
45390.29167,1.53,27.56,24.44,1446
45390.3125,1.49,27.51,24.37,1445.75
45390.33333,1.53,27.52,24.41,1445.94
45390.35417,1.53,27.48,24.37,1445.89
45390.375,1.57,27.44,24.37,1446.02
45390.39583,1.57,27.49,24.41,1446.07
45390.41667,1.57,27.53,24.44,1446.13
45390.4375,1.57,27.53,24.44,1446.13
45390.45833,1.57,27.53,24.44,1446.13
45390.47917,1.61,27.49,24.44,1446.26
45390.5,1.53,27.52,24.41,1445.94
45390.52083,1.53,27.48,24.37,1445.89
45390.54167,1.61,27.54,24.47,1446.32
45390.5625,1.61,27.37,24.34,1446.1
45390.58333,1.64,27.38,24.37,1446.28
45390.60417,1.64,27.34,24.34,1446.23
45390.625,1.64,27.34,24.34,1446.23
45390.64583,1.64,27.38,24.37,1446.28
45390.66667,1.68,27.35,24.38,1446.42
45390.6875,1.68,27.35,24.38,1446.42
45390.70833,1.72,27.35,24.41,1446.6
45390.72917,1.68,27.35,24.38,1446.42
45390.75,1.68,27.35,24.38,1446.42
45390.77083,1.68,27.39,24.41,1446.47
45390.79167,1.72,27.35,24.41,1446.6
45390.8125,1.72,27.35,24.41,1446.6
45390.83333,1.72,27.35,24.41,1446.6
45390.85417,1.72,27.31,24.38,1446.55
45390.875,1.76,27.28,24.38,1446.68
45390.89583,1.76,27.32,24.41,1446.73
45390.91667,1.76,27.32,24.41,1446.73
45390.9375,1.76,27.36,24.44,1446.79
45390.95833,1.76,27.36,24.44,1446.79
45390.97917,1.76,27.32,24.41,1446.73
45391,1.76,27.32,24.41,1446.73
45391.02083,1.72,27.27,24.34,1446.49
45391.04167,1.72,27.31,24.38,1446.55
45391.0625,1.72,27.35,24.41,1446.6
45391.08333,1.68,27.14,24.21,1446.14
45391.10417,1.68,27.14,24.21,1446.14
45391.125,1.68,27.1,24.17,1446.09
45391.14583,1.68,27.06,24.14,1446.03
45391.16667,1.68,27.1,24.17,1446.09
45391.1875,1.68,27.1,24.17,1446.09
45391.20833,1.68,27.1,24.17,1446.09
45391.22917,1.68,27.06,24.14,1446.03
45391.25,1.68,27.06,24.14,1446.03
45391.27083,1.68,27.1,24.17,1446.09
45391.29167,1.68,27.06,24.14,1446.03
45391.3125,1.68,27.06,24.14,1446.03
45391.33333,1.68,27.02,24.11,1445.98
45391.35417,1.72,26.98,24.11,1446.11
45391.375,1.72,26.98,24.11,1446.11
45391.39583,1.72,27.07,24.18,1446.22
45391.41667,1.76,27.07,24.21,1446.41
45391.4375,1.76,27.07,24.21,1446.41
45391.45833,1.8,27.12,24.28,1446.65
45391.47917,1.8,27.12,24.28,1446.65
45391.5,1.8,27.12,24.28,1446.65
45391.52083,1.8,27.08,24.24,1446.59
45391.54167,1.8,27,24.18,1446.48
45391.5625,1.8,26.88,24.08,1446.32
45391.58333,1.76,26.95,24.11,1446.24
45391.60417,1.76,26.95,24.11,1446.24
45391.625,1.72,27.02,24.14,1446.17
45391.64583,1.72,27.11,24.21,1446.28
45391.66667,1.76,27.07,24.21,1446.41
45391.6875,1.76,27.07,24.21,1446.41
45391.70833,1.76,27.07,24.21,1446.41
45391.72917,1.76,27.07,24.21,1446.41
45391.75,1.76,27.07,24.21,1446.41
45391.77083,1.8,27.04,24.21,1446.54
45391.79167,1.8,27.08,24.24,1446.59
45391.8125,1.8,27.04,24.21,1446.54
45391.83333,1.8,26.96,24.14,1446.43
45391.85417,1.8,27.04,24.21,1446.54
45391.875,1.84,27.01,24.21,1446.67
45391.89583,1.84,27.05,24.25,1446.72
45391.91667,1.88,27.1,24.31,1446.96
45391.9375,1.88,27.14,24.35,1447.02
45391.95833,1.88,27.14,24.35,1447.02
45391.97917,1.88,27.18,24.38,1447.07
45392,1.88,27.14,24.35,1447.02
45392.02083,1.88,27.14,24.35,1447.02
45392.04167,1.84,27.05,24.25,1446.72
45392.0625,1.84,26.97,24.18,1446.62
45392.08333,1.8,27,24.18,1446.48
45392.10417,1.76,26.91,24.08,1446.19
45392.125,1.76,27.07,24.21,1446.41
45392.14583,1.76,27.07,24.21,1446.41
45392.16667,1.72,27.15,24.24,1446.33
45392.1875,1.76,27.07,24.21,1446.41
45392.20833,1.76,27.07,24.21,1446.41
45392.22917,1.8,27.08,24.24,1446.59
45392.25,1.8,27.04,24.21,1446.54
45392.27083,1.8,27.04,24.21,1446.54
45392.29167,1.76,27.07,24.21,1446.41
45392.3125,1.76,27.07,24.21,1446.41
45392.33333,1.72,27.11,24.21,1446.28
45392.35417,1.72,27.11,24.21,1446.28
45392.375,1.76,27.07,24.21,1446.41
45392.39583,1.8,27.08,24.24,1446.59
45392.41667,1.8,27.17,24.31,1446.7
45392.4375,1.84,27.17,24.35,1446.89
45392.45833,1.88,27.18,24.38,1447.07
45392.47917,1.88,27.18,24.38,1447.07
45392.5,1.88,27.18,24.38,1447.07
45392.52083,1.88,27.14,24.35,1447.02
45392.54167,1.88,27.14,24.35,1447.02
45392.5625,1.88,27.06,24.28,1446.91
45392.58333,1.88,27.1,24.31,1446.96
45392.60417,1.88,27.02,24.25,1446.86
45392.625,1.92,27.11,24.35,1447.15
45392.64583,1.92,27.48,24.65,1447.63
45392.66667,1.92,27.48,24.65,1447.63
45392.6875,1.96,27.44,24.65,1447.76
45392.70833,2.03,27.42,24.68,1448.08
45392.72917,2.07,27.35,24.65,1448.15
45392.75,2.07,27.35,24.65,1448.15
45392.77083,2.07,27.35,24.65,1448.15
45392.79167,2.07,27.35,24.65,1448.15
45392.8125,2.03,27.42,24.68,1448.08
45392.83333,2.03,27.42,24.68,1448.08
45392.85417,1.99,27.45,24.68,1447.95
45392.875,1.96,27.44,24.65,1447.76
45392.89583,1.96,27.44,24.65,1447.76
45392.91667,1.99,27.41,24.65,1447.89
45392.9375,1.99,27.45,24.68,1447.95
45392.95833,1.99,27.49,24.72,1448
45392.97917,2.07,27.47,24.75,1448.31
45393,2.03,27.5,24.75,1448.19
45393.02083,2.03,27.46,24.72,1448.13
45393.04167,1.99,27.45,24.68,1447.95
45393.0625,1.99,27.41,24.65,1447.89
45393.08333,1.99,27.41,24.65,1447.89
45393.10417,1.96,27.44,24.65,1447.76
45393.125,1.96,27.44,24.65,1447.76
45393.14583,1.92,27.52,24.68,1447.69
45393.16667,1.96,27.49,24.68,1447.82
45393.1875,1.99,27.45,24.68,1447.95
45393.20833,2.03,27.46,24.72,1448.13
45393.22917,2.07,27.39,24.69,1448.21
45393.25,2.11,27.36,24.69,1448.34
45393.27083,2.11,27.36,24.69,1448.34
45393.29167,2.11,27.31,24.65,1448.28
45393.3125,2.11,27.36,24.69,1448.34
45393.33333,2.07,27.43,24.72,1448.26
45393.35417,2.03,27.42,24.68,1448.08
45393.375,1.99,27.49,24.72,1448
45393.39583,1.99,27.45,24.68,1447.95
45393.41667,1.96,27.44,24.65,1447.76
45393.4375,1.96,27.44,24.65,1447.76
45393.45833,1.96,27.49,24.68,1447.82
45393.47917,1.99,27.49,24.72,1448
45393.5,1.99,27.53,24.75,1448.06
45393.52083,1.99,27.49,24.72,1448
45393.54167,1.99,27.49,24.72,1448
45393.5625,1.99,27.45,24.68,1447.95
45393.58333,1.99,27.45,24.68,1447.95
45393.60417,1.99,27.49,24.72,1448
45393.625,2.11,27.48,24.79,1448.5
45393.64583,2.11,27.27,24.62,1448.23
45393.66667,2.19,27.37,24.75,1448.7
45393.6875,2.26,27.31,24.76,1448.96
45393.70833,2.26,27.31,24.76,1448.96
45393.72917,2.34,27.28,24.79,1449.27
45393.75,2.42,27.22,24.79,1449.52
45393.77083,2.46,27.15,24.76,1449.6
45393.79167,2.46,27.15,24.76,1449.6
45393.8125,2.42,27.18,24.76,1449.47
45393.83333,2.42,27.18,24.76,1449.47
45393.85417,2.42,27.22,24.79,1449.52
45393.875,2.42,27.22,24.79,1449.52
45393.89583,2.34,27.28,24.79,1449.27
45393.91667,2.23,27.38,24.79,1448.88
45393.9375,2.23,27.34,24.76,1448.83
45393.95833,2.19,27.37,24.75,1448.7
45393.97917,2.15,27.36,24.72,1448.52
45394,2.11,27.4,24.72,1448.39
45394.02083,2.11,27.4,24.72,1448.39
45394.04167,2.11,27.4,24.72,1448.39
45394.0625,2.11,27.4,24.72,1448.39
45394.08333,2.11,27.4,24.72,1448.39
45394.10417,2.15,27.4,24.75,1448.57
45394.125,2.19,27.37,24.75,1448.7
45394.14583,2.19,27.37,24.75,1448.7
45394.16667,2.23,27.38,24.79,1448.88
45394.1875,2.26,27.31,24.76,1448.96
45394.20833,2.3,27.28,24.76,1449.09
45394.22917,2.34,27.24,24.76,1449.22
45394.25,2.38,27.13,24.69,1449.24
45394.27083,2.42,27.14,24.73,1449.42
45394.29167,2.46,27.07,24.69,1449.49
45394.3125,2.46,27.07,24.69,1449.49
45394.33333,2.46,27.07,24.69,1449.49
45394.35417,2.46,27.11,24.73,1449.55
45394.375,2.46,27.11,24.73,1449.55
45394.39583,2.38,27.21,24.76,1449.34
45394.41667,2.38,27.25,24.79,1449.4
45394.4375,2.3,27.32,24.79,1449.14
45394.45833,2.26,27.35,24.79,1449.01
